Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 2.03866, 2.00594, 2.09643, 2.15464, 2.21324, 2.24748, 2.24764, 2.01449, 2.00636, 2.03352, 2.05769, 2.09203, 2.09217, 
2019 Aug 19 (Mon) 0:30, 5.16563e-05, 5.00076e-05, 6.51124e-05, 7.19358e-05, 7.83618e-05, 8.44974e-05, 8.53e-05, 4.88949e-05, 5.39949e-05, 5.52989e-05, 5.66361e-05, 5.90449e-05, 6.38999e-05, 
2019 Aug 19 (Mon) 1:00, 3.19914e-05, 2.86991e-05, 3.77578e-05, 4.25633e-05, 4.69529e-05, 4.93908e-05, 5.10553e-05, 2.84874e-05, 3.00733e-05, 3.09495e-05, 3.30725e-05, 3.35826e-05, 3.4966e-05, 
2019 Aug 19 (Mon) 1:30, 3.03026e-05, 3.01976e-05, 3.955e-05, 4.31325e-05, 4.91052e-05, 4.99141e-05, 5.07914e-05, 2.95422e-05, 3.00531e-05, 3.14378e-05, 3.22831e-05, 3.64638e-05, 3.79026e-05, 
2019 Aug 19 (Mon) 2:00, 4.98942e-05, 4.56666e-05, 6.03452e-05, 6.7596e-05, 7.36279e-05, 7.81201e-05, 7.85734e-05, 4.67225e-05, 4.81498e-05, 5.07565e-05, 5.45865e-05, 5.64419e-05, 5.9091e-05, 
2019 Aug 19 (Mon) 2:30, 3.02497e-05, 2.9877e-05, 3.66844e-05, 4.14029e-05, 4.66811e-05, 4.79796e-05, 4.90708e-05, 2.61833e-05, 3.05333e-05, 3.15518e-05, 3.17376e-05, 3.30289e-05, 3.35343e-05, 
2019 Aug 19 (Mon) 3:00, 2.21927e-05, 2.12866e-05, 2.667e-05, 3.3848e-05, 3.48993e-05, 3.89328e-05, 3.8613e-05, 1.97156e-05, 2.31313e-05, 2.38699e-05, 2.39118e-05, 2.42836e-05, 2.50892e-05, 
2019 Aug 19 (Mon) 3:30, 2.91619e-05, 2.88433e-05, 3.76024e-05, 4.11213e-05, 4.58871e-05, 5.00915e-05, 4.85746e-05, 2.61888e-05, 2.89586e-05, 3.08246e-05, 3.049e-05, 3.30299e-05, 3.53423e-05, 
2019 Aug 19 (Mon) 4:00, 3.77184e-05, 3.6402e-05, 4.69635e-05, 5.35413e-05, 5.84145e-05, 6.2303e-05, 6.30987e-05, 3.66158e-05, 3.65674e-05, 4.09178e-05, 4.01391e-05, 4.40205e-05, 4.40069e-05, 
2019 Aug 19 (Mon) 4:30, 4.37536e-05, 4.27695e-05, 5.60207e-05, 6.36329e-05, 6.96609e-05, 7.17416e-05, 7.21812e-05, 4.11123e-05, 4.37262e-05, 4.65949e-05, 4.8232e-05, 5.03043e-05, 5.32234e-05, 
