Time, 1_EV, 21_EV, 23_EV, 25_EV, 27_EV, 30_EV, 32_EV, 37_EV, 42_EV, 48_EV, 4_EV, 51_EV, 55_EV, 5_EV, 63_EV, 65_EV, 66_EV, 
2019 Aug 19 (Mon) 18:30, 92.0513, 92.0513, 92.0513, 92.0513, 90.6624, 92.0513, 92.0513, 91.7655, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.5034, 92.0513, 
2019 Aug 19 (Mon) 19:00, 97.7543, 97.7543, 97.7543, 97.7543, 96.3854, 97.7543, 97.7543, 97.4729, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.2138, 97.7543, 
2019 Aug 19 (Mon) 19:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 20:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 20:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 21:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 21:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 22:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 22:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 23:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 23:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 20 (Tue) 0:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
