Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 156.503, 221.329, -18.6372, 212.553, 300.583, -137.671, 128.023, 181.035, 99.3829, 73.1444, 103.442, -113.961, 
2019 Aug 19 (Mon) 0:30, 93.6157, 132.393, -26.82, 93.6251, 132.38, -146.816, 93.6328, 132.394, 93.1868, 1.76963e-05, 2.50264e-05, -89.4975, 
2019 Aug 19 (Mon) 1:00, 79.7551, 112.791, -18.0587, 79.773, 112.784, -138.055, 79.7764, 112.793, 101.946, 1.82618e-05, 2.58261e-05, -89.3008, 
2019 Aug 19 (Mon) 1:30, 74.4351, 105.267, -18.9334, 74.4547, 105.261, -138.93, 74.4578, 105.269, 101.071, 1.83278e-05, 2.59194e-05, -88.8326, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.3331, 112.161, -147.865, 79.3395, 112.174, 92.1378, 1.7963e-05, 2.54036e-05, -88.4304, 
2019 Aug 19 (Mon) 2:30, 69.6637, 98.5191, -19.4319, 69.6846, 98.5128, -139.428, 69.6874, 98.5212, 100.573, 1.83994e-05, 2.60207e-05, -88.4404, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4924, -16.458, 68.25, 96.4878, -136.455, 68.2518, 96.4943, 103.546, 1.85121e-05, 2.61801e-05, -88.5287, 
2019 Aug 19 (Mon) 3:30, 71.5501, 101.187, -18.9985, 71.5704, 101.181, -138.995, 71.5732, 101.189, 101.006, 1.83778e-05, 2.59901e-05, -88.6117, 
2019 Aug 19 (Mon) 4:00, 72.7756, 102.92, -22.938, 72.7957, 102.911, -142.934, 72.7999, 102.922, 97.0682, 1.8239e-05, 2.57938e-05, -88.4076, 
2019 Aug 19 (Mon) 4:30, 79.3825, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4047, 112.266, 95.1839, 1.80515e-05, 2.55287e-05, -88.7142, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2635, 113.48, 98.9296, 1.81527e-05, 2.56717e-05, -89.0972, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4522, 125.062, -136.807, 88.4558, 125.07, 103.194, 1.8158e-05, 2.56794e-05, -90.0698, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0999, 134.465, -136.414, 95.1038, 134.474, 103.587, 1.80635e-05, 2.55456e-05, -90.6236, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 1.72434e-05, 2.43858e-05, -90.4419, 
2019 Aug 19 (Mon) 7:00, 114.562, 162.014, -25.1651, 114.566, 162.001, -145.162, 114.575, 162.017, 94.8406, 1.73419e-05, 2.45252e-05, -91.1583, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9262, 1.71316e-05, 2.42277e-05, -91.658, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 1.72529e-05, 2.43993e-05, -91.5856, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.18, 164.288, -149.672, 116.189, 164.303, 90.3306, 1.71205e-05, 2.4212e-05, -90.6592, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 1.7167e-05, 2.42777e-05, -90.5809, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 1.7555e-05, 2.48265e-05, -90.7645, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 1.78781e-05, 2.52835e-05, -90.6594, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8694, 131.31, -136.329, 92.8732, 131.319, 103.672, 1.81036e-05, 2.56024e-05, -90.4552, 
2019 Aug 19 (Mon) 11:00, 96.829, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 1.78714e-05, 2.52739e-05, -90.3895, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 1.78352e-05, 2.52227e-05, -90.6474, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 1.77864e-05, 2.51537e-05, -90.7438, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 1.75614e-05, 2.48356e-05, -90.611, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 1.79907e-05, 2.54427e-05, -91.1163, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.4551, 137.795, -138.342, 97.4602, 137.805, 101.66, 1.79447e-05, 2.53776e-05, -90.6344, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 1.75163e-05, 2.47718e-05, -90.2731, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.795, -149.521, 105.236, 148.81, 90.4819, 1.73575e-05, 2.45473e-05, -89.9547, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 1.79281e-05, 2.53542e-05, -91.0711, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.333, 157.425, -141.737, 111.34, 157.439, 98.2646, 1.75534e-05, 2.48243e-05, -91.338, 
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 1.76798e-05, 2.5003e-05, -92.0929, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 1.71737e-05, 2.42873e-05, -92.2832, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 1.70392e-05, 2.40971e-05, -93.3304, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 1.64068e-05, 2.32027e-05, -93.9422, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 1.60218e-05, 2.26583e-05, -94.8363, 
2019 Aug 19 (Mon) 18:30, 335.711, 474.767, -24.2257, 381.097, 538.95, -144.99, 262.104, 370.669, 95.0861, 99.704, 141.003, -107.045, 
2019 Aug 19 (Mon) 19:00, 337.479, 477.268, -25.1836, 382.439, 540.849, -145.807, 264.719, 374.367, 93.8441, 98.667, 139.536, -106.897, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2994, 1.61911e-05, 2.28977e-05, -96.4552, 
2019 Aug 19 (Mon) 20:00, 173.257, 245.022, -20.8206, 173.257, 245.01, -140.818, 173.267, 245.026, 99.1831, 1.65414e-05, 2.33931e-05, -96.271, 
2019 Aug 19 (Mon) 20:30, 188.249, 266.224, -31.7028, 188.242, 266.212, -151.701, 188.251, 266.224, 88.3002, 1.55484e-05, 2.19888e-05, -95.1806, 
2019 Aug 19 (Mon) 21:00, 177.385, 250.861, -26.7221, 177.38, 250.847, -146.72, 177.391, 250.863, 93.2817, 1.60719e-05, 2.2729e-05, -95.4935, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9927, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 1.61743e-05, 2.28739e-05, -94.9601, 
2019 Aug 19 (Mon) 22:00, 156.193, 220.89, -26.358, 156.19, 220.876, -146.355, 156.2, 220.892, 93.6464, 1.64874e-05, 2.33167e-05, -93.9946, 
2019 Aug 19 (Mon) 22:30, 146.421, 207.07, -26.6324, 146.418, 207.056, -146.63, 146.428, 207.072, 93.3724, 1.6657e-05, 2.35566e-05, -93.2344, 
2019 Aug 19 (Mon) 23:00, 131.802, 186.396, -26.6098, 131.802, 186.382, -146.607, 131.811, 186.398, 93.3955, 1.69402e-05, 2.39571e-05, -92.1879, 
2019 Aug 19 (Mon) 23:30, 120.12, 169.875, -29.296, 120.12, 169.861, -149.293, 120.129, 169.876, 90.7098, 1.70539e-05, 2.41178e-05, -90.978, 
2019 Aug 20 (Tue) 0:00, 99.0413, 140.065, -24.2462, 99.051, 140.054, -144.242, 99.0585, 140.068, 95.7599, 1.76812e-05, 2.50049e-05, -90.1567, 
