Time, 1 (1), , , , , , , 21 (14), , , , , , , 23 (16), , , , , , , 25 (18), , , , , , , 27 (20), , , , , , , 30 (24), , , , , , , 32 (26), , , , , , , 37 (31), , , , , , , 42 (37), , , , , , , 48 (43), , , , , , , 4 (34), , , , , , , 51 (47), , , , , , , 55 (51), , , , , , , 5 (45), , , , , , , 63 (60), , , , , , , 65 (62), , , , , , , 66 (63), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 5:00, 230.679, 0, 0, 100, 0, 0, 0, 230.024, 0, 0, 100, 0, 0, 0, 230.866, 0, 0, 100, 0, 0, 0, 230.866, 0, 0, 100, 0, 0, 0, 230.866, 0, 0, 98.6111, 0, 0, 0, 230.678, 0, 0, 100, 0, 0, 0, 230.584, 0, 0, 100, 0, 0, 0, 229.837, 0, 0, 99.7142, 0, 0, 0, 229.837, 0, 0, 100, 0, 0, 0, 229.744, 0, 0, 100, 0, 0, 0, 230.866, 0, 0, 100, 0, 0, 0, 231.148, 0, 0, 100, 0, 0, 0, 230.959, 0, 0, 100, 0, 0, 0, 230.678, 0, 0, 100, 0, 0, 0, 230.866, 0, 0, 100, 0, 0, 0, 230.866, 0, 0, 99.4521, 0, 0, 0, 230.866, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 230.819, 0, 0, 100, 0, 0, 0, 230.116, 0, 0, 100, 0, 0, 0, 231.019, 0, 0, 100, 0, 0, 0, 231.019, 0, 0, 100, 0, 0, 0, 231.019, 0, 0, 98.6111, 0, 0, 0, 230.818, 0, 0, 100, 0, 0, 0, 230.717, 0, 0, 100, 0, 0, 0, 229.916, 0, 0, 99.7142, 0, 0, 0, 229.916, 0, 0, 100, 0, 0, 0, 229.815, 0, 0, 100, 0, 0, 0, 231.019, 0, 0, 100, 0, 0, 0, 231.321, 0, 0, 100, 0, 0, 0, 231.12, 0, 0, 100, 0, 0, 0, 230.818, 0, 0, 100, 0, 0, 0, 231.019, 0, 0, 100, 0, 0, 0, 231.019, 0, 0, 99.4521, 0, 0, 0, 231.019, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 230.297, 0, 0, 100, 0, 0, 0, 229.545, 0, 0, 100, 0, 0, 0, 230.511, 0, 0, 100, 0, 0, 0, 230.511, 0, 0, 100, 0, 0, 0, 230.511, 0, 0, 98.6111, 0, 0, 0, 230.296, 0, 0, 100, 0, 0, 0, 230.188, 0, 0, 100, 0, 0, 0, 229.33, 0, 0, 99.7142, 0, 0, 0, 229.33, 0, 0, 100, 0, 0, 0, 229.223, 0, 0, 100, 0, 0, 0, 230.511, 0, 0, 100, 0, 0, 0, 230.834, 0, 0, 100, 0, 0, 0, 230.619, 0, 0, 100, 0, 0, 0, 230.295, 0, 0, 100, 0, 0, 0, 230.511, 0, 0, 100, 0, 0, 0, 230.511, 0, 0, 99.4521, 0, 0, 0, 230.511, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 225.153, 0, 0, 100, 0, 0, 0, 224.219, 0, 0, 100, 0, 0, 0, 225.418, 0, 0, 100, 0, 0, 0, 225.418, 0, 0, 100, 0, 0, 0, 225.418, 0, 0, 98.6111, 0, 0, 0, 225.151, 0, 0, 100, 0, 0, 0, 225.017, 0, 0, 100, 0, 0, 0, 223.952, 0, 0, 99.7142, 0, 0, 0, 223.953, 0, 0, 100, 0, 0, 0, 223.82, 0, 0, 100, 0, 0, 0, 225.418, 0, 0, 100, 0, 0, 0, 225.821, 0, 0, 100, 0, 0, 0, 225.552, 0, 0, 100, 0, 0, 0, 225.15, 0, 0, 100, 0, 0, 0, 225.418, 0, 0, 100, 0, 0, 0, 225.418, 0, 0, 99.4521, 0, 0, 0, 225.418, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 225.852, 0, 0, 100, 0, 0, 0, 224.906, 0, 0, 100, 0, 0, 0, 226.121, 0, 0, 100, 0, 0, 0, 226.121, 0, 0, 100, 0, 0, 0, 226.121, 0, 0, 98.6111, 0, 0, 0, 225.85, 0, 0, 100, 0, 0, 0, 225.714, 0, 0, 100, 0, 0, 0, 224.636, 0, 0, 99.7142, 0, 0, 0, 224.637, 0, 0, 100, 0, 0, 0, 224.502, 0, 0, 100, 0, 0, 0, 226.121, 0, 0, 100, 0, 0, 0, 226.528, 0, 0, 100, 0, 0, 0, 226.256, 0, 0, 100, 0, 0, 0, 225.85, 0, 0, 100, 0, 0, 0, 226.121, 0, 0, 100, 0, 0, 0, 226.121, 0, 0, 99.4521, 0, 0, 0, 226.121, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 224.572, 0, 0, 100, 0, 0, 0, 223.553, 0, 0, 100, 0, 0, 0, 224.863, 0, 0, 100, 0, 0, 0, 224.862, 0, 0, 100, 0, 0, 0, 224.862, 0, 0, 98.6111, 0, 0, 0, 224.57, 0, 0, 100, 0, 0, 0, 224.423, 0, 0, 100, 0, 0, 0, 223.262, 0, 0, 99.7142, 0, 0, 0, 223.262, 0, 0, 100, 0, 0, 0, 223.116, 0, 0, 100, 0, 0, 0, 224.862, 0, 0, 100, 0, 0, 0, 225.302, 0, 0, 100, 0, 0, 0, 225.008, 0, 0, 100, 0, 0, 0, 224.57, 0, 0, 100, 0, 0, 0, 224.862, 0, 0, 100, 0, 0, 0, 224.862, 0, 0, 99.4521, 0, 0, 0, 224.862, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 225.336, 0, 0, 100, 0, 0, 0, 224.348, 0, 0, 100, 0, 0, 0, 225.617, 0, 0, 100, 0, 0, 0, 225.617, 0, 0, 100, 0, 0, 0, 225.617, 0, 0, 98.6111, 0, 0, 0, 225.334, 0, 0, 100, 0, 0, 0, 225.192, 0, 0, 100, 0, 0, 0, 224.066, 0, 0, 99.7142, 0, 0, 0, 224.067, 0, 0, 100, 0, 0, 0, 223.926, 0, 0, 100, 0, 0, 0, 225.617, 0, 0, 100, 0, 0, 0, 226.042, 0, 0, 100, 0, 0, 0, 225.758, 0, 0, 100, 0, 0, 0, 225.333, 0, 0, 100, 0, 0, 0, 225.616, 0, 0, 100, 0, 0, 0, 225.616, 0, 0, 99.4521, 0, 0, 0, 225.616, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 224.397, 0, 0, 100, 0, 0, 0, 223.424, 0, 0, 100, 0, 0, 0, 224.674, 0, 0, 100, 0, 0, 0, 224.674, 0, 0, 100, 0, 0, 0, 224.674, 0, 0, 98.6111, 0, 0, 0, 224.394, 0, 0, 100, 0, 0, 0, 224.255, 0, 0, 100, 0, 0, 0, 223.146, 0, 0, 99.7142, 0, 0, 0, 223.146, 0, 0, 100, 0, 0, 0, 223.007, 0, 0, 100, 0, 0, 0, 224.674, 0, 0, 100, 0, 0, 0, 225.093, 0, 0, 100, 0, 0, 0, 224.813, 0, 0, 100, 0, 0, 0, 224.394, 0, 0, 100, 0, 0, 0, 224.673, 0, 0, 100, 0, 0, 0, 224.673, 0, 0, 99.4521, 0, 0, 0, 224.673, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 224.683, 0, 0, 100, 0, 0, 0, 223.725, 0, 0, 100, 0, 0, 0, 224.956, 0, 0, 100, 0, 0, 0, 224.956, 0, 0, 100, 0, 0, 0, 224.956, 0, 0, 98.6111, 0, 0, 0, 224.681, 0, 0, 100, 0, 0, 0, 224.544, 0, 0, 100, 0, 0, 0, 223.451, 0, 0, 99.7142, 0, 0, 0, 223.452, 0, 0, 100, 0, 0, 0, 223.315, 0, 0, 100, 0, 0, 0, 224.956, 0, 0, 100, 0, 0, 0, 225.369, 0, 0, 100, 0, 0, 0, 225.093, 0, 0, 100, 0, 0, 0, 224.681, 0, 0, 100, 0, 0, 0, 224.956, 0, 0, 100, 0, 0, 0, 224.955, 0, 0, 99.4521, 0, 0, 0, 224.956, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 227.151, 0, 0, 100, 0, 0, 0, 226.274, 0, 0, 100, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 227.4, 0, 0, 98.6111, 0, 0, 0, 227.149, 0, 0, 100, 0, 0, 0, 227.023, 0, 0, 100, 0, 0, 0, 226.024, 0, 0, 99.7142, 0, 0, 0, 226.024, 0, 0, 100, 0, 0, 0, 225.899, 0, 0, 100, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 227.778, 0, 0, 100, 0, 0, 0, 227.525, 0, 0, 100, 0, 0, 0, 227.149, 0, 0, 100, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 227.4, 0, 0, 99.4521, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 
