Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 223.66, 316.304, -7.12976, 225.511, 318.921, -125.895, 225.49, 318.891, 114.082, 0.212461, 0.300466, 92.1739, 
2019 Aug 19 (Mon) 0:30, 227.261, 321.395, -4.38084, 228.916, 323.736, -123.128, 228.923, 323.747, 116.871, 0.0920721, 0.13021, -167.252, 
2019 Aug 19 (Mon) 1:00, 232.243, 328.441, -2.9487, 232.243, 328.441, -122.949, 232.243, 328.441, 117.051, 1.02478e-07, 1.44926e-07, -21.8851, 
2019 Aug 19 (Mon) 1:30, 232.538, 328.859, -2.72146, 232.538, 328.859, -122.721, 232.538, 328.859, 117.279, 1.02998e-07, 1.45662e-07, -21.516, 
2019 Aug 19 (Mon) 2:00, 230.302, 325.697, -2.59158, 230.302, 325.697, -122.592, 230.302, 325.697, 117.408, 1.01336e-07, 1.43311e-07, -20.8975, 
2019 Aug 19 (Mon) 2:30, 232.881, 329.344, -2.52867, 232.881, 329.344, -122.529, 232.881, 329.344, 117.471, 1.03516e-07, 1.46394e-07, -21.2182, 
2019 Aug 19 (Mon) 3:00, 233.559, 330.302, -2.55254, 233.559, 330.302, -122.553, 233.559, 330.302, 117.447, 1.04044e-07, 1.4714e-07, -21.3761, 
2019 Aug 19 (Mon) 3:30, 232.789, 329.213, -2.61128, 232.789, 329.213, -122.611, 232.789, 329.213, 117.389, 1.03339e-07, 1.46143e-07, -21.3549, 
2019 Aug 19 (Mon) 4:00, 231.931, 328, -2.53804, 231.931, 328, -122.538, 231.931, 328, 117.462, 1.02728e-07, 1.45279e-07, -21.0751, 
2019 Aug 19 (Mon) 4:30, 230.884, 326.519, -2.70915, 230.884, 326.519, -122.709, 230.884, 326.519, 117.291, 1.01666e-07, 1.43777e-07, -21.213, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 1.02016e-07, 1.44272e-07, -21.6269, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 1.0165e-07, 1.43755e-07, -22.4944, 
2019 Aug 19 (Mon) 6:00, 231.333, 327.154, -3.5925, 231.333, 327.154, -123.593, 231.333, 327.154, 116.407, 1.00955e-07, 1.42772e-07, -22.9183, 
2019 Aug 19 (Mon) 6:30, 226.367, 320.132, -3.63917, 226.368, 320.132, -123.639, 226.367, 320.132, 116.361, 9.69451e-08, 1.37101e-07, -22.147, 
2019 Aug 19 (Mon) 7:00, 227.106, 321.177, -3.95499, 227.106, 321.177, -123.955, 227.106, 321.177, 116.045, 9.71574e-08, 1.37401e-07, -22.8576, 
2019 Aug 19 (Mon) 7:30, 225.921, 319.501, -4.22116, 225.921, 319.501, -124.221, 225.921, 319.501, 115.779, 9.59185e-08, 1.35649e-07, -23.1392, 
2019 Aug 19 (Mon) 8:00, 226.649, 320.53, -4.16755, 226.649, 320.53, -124.168, 226.649, 320.53, 115.832, 9.65508e-08, 1.36543e-07, -23.1684, 
2019 Aug 19 (Mon) 8:30, 225.66, 319.132, -3.76005, 225.661, 319.132, -123.76, 225.66, 319.132, 116.24, 9.62496e-08, 1.36118e-07, -22.2445, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 9.65108e-08, 1.36487e-07, -22.2128, 
2019 Aug 19 (Mon) 9:30, 228.319, 322.892, -3.73801, 228.319, 322.892, -123.738, 228.319, 322.892, 116.262, 9.83716e-08, 1.39118e-07, -22.6673, 
2019 Aug 19 (Mon) 10:00, 230.236, 325.603, -3.63794, 230.236, 325.604, -123.638, 230.236, 325.603, 116.362, 1.00019e-07, 1.41449e-07, -22.814, 
2019 Aug 19 (Mon) 10:30, 231.537, 327.443, -3.50824, 231.537, 327.443, -123.508, 231.537, 327.443, 116.492, 1.01222e-07, 1.4315e-07, -22.7976, 
2019 Aug 19 (Mon) 11:00, 230.143, 325.471, -3.51394, 230.143, 325.471, -123.514, 230.143, 325.471, 116.486, 1.00095e-07, 1.41556e-07, -22.5696, 
2019 Aug 19 (Mon) 11:30, 229.977, 325.236, -3.63916, 229.977, 325.236, -123.639, 229.976, 325.236, 116.361, 9.98118e-08, 1.41155e-07, -22.7718, 
2019 Aug 19 (Mon) 12:00, 229.704, 324.851, -3.69158, 229.704, 324.851, -123.692, 229.704, 324.851, 116.308, 9.95308e-08, 1.40758e-07, -22.8224, 
2019 Aug 19 (Mon) 12:30, 228.327, 322.903, -3.66573, 228.327, 322.903, -123.666, 228.327, 322.902, 116.334, 9.84642e-08, 1.39249e-07, -22.5375, 
2019 Aug 19 (Mon) 13:00, 230.997, 326.679, -3.83224, 230.997, 326.679, -123.832, 230.997, 326.679, 116.168, 1.00395e-07, 1.41979e-07, -23.3031, 
2019 Aug 19 (Mon) 13:30, 230.628, 326.157, -3.61606, 230.628, 326.157, -123.616, 230.628, 326.157, 116.384, 1.00359e-07, 1.4193e-07, -22.8411, 
2019 Aug 19 (Mon) 14:00, 227.989, 322.425, -3.51667, 227.989, 322.425, -123.517, 227.989, 322.425, 116.483, 9.8372e-08, 1.39119e-07, -22.2042, 
2019 Aug 19 (Mon) 14:30, 226.966, 320.979, -3.3945, 226.966, 320.979, -123.395, 226.966, 320.979, 116.605, 9.77056e-08, 1.38177e-07, -21.8015, 
2019 Aug 19 (Mon) 15:00, 230.616, 326.14, -3.82114, 230.616, 326.141, -123.821, 230.616, 326.14, 116.179, 1.00103e-07, 1.41567e-07, -23.2171, 
2019 Aug 19 (Mon) 15:30, 228.421, 323.037, -4.00405, 228.421, 323.037, -124.004, 228.421, 323.037, 115.996, 9.81407e-08, 1.38792e-07, -23.1763, 
2019 Aug 19 (Mon) 16:00, 229.331, 324.323, -4.33397, 229.331, 324.323, -124.334, 229.331, 324.323, 115.666, 9.84673e-08, 1.39254e-07, -23.9412, 
2019 Aug 19 (Mon) 16:30, 226.301, 320.038, -4.50415, 226.301, 320.038, -124.504, 226.301, 320.038, 115.496, 9.58884e-08, 1.35607e-07, -23.7265, 
2019 Aug 19 (Mon) 17:00, 225.678, 319.157, -5.01179, 225.678, 319.157, -125.012, 225.678, 319.157, 114.988, 9.48196e-08, 1.34095e-07, -24.5504, 
2019 Aug 19 (Mon) 17:30, 221.874, 313.777, -5.40251, 221.874, 313.778, -125.403, 221.874, 313.777, 114.597, 9.14656e-08, 1.29352e-07, -24.5903, 
2019 Aug 19 (Mon) 18:00, 219.615, 310.582, -5.884, 219.615, 310.582, -125.884, 219.615, 310.582, 114.116, 8.92423e-08, 1.26208e-07, -25.061, 
2019 Aug 19 (Mon) 18:30, 213.041, 301.286, -9.73013, 215.092, 304.186, -128.586, 211.218, 298.707, 109.277, 0.589002, 0.832975, -31.2276, 
2019 Aug 19 (Mon) 19:00, 211.928, 299.712, -9.70034, 213.958, 302.582, -128.563, 210.139, 297.181, 109.312, 0.583633, 0.825381, -30.957, 
2019 Aug 19 (Mon) 19:30, 220.997, 312.536, -6.60365, 220.997, 312.537, -126.604, 220.997, 312.536, 113.396, 8.94836e-08, 1.26549e-07, -26.6371, 
2019 Aug 19 (Mon) 20:00, 223.165, 315.603, -6.45879, 223.165, 315.603, -126.459, 223.165, 315.603, 113.541, 9.12621e-08, 1.29064e-07, -26.7613, 
2019 Aug 19 (Mon) 20:30, 216.646, 306.384, -6.12805, 216.646, 306.384, -126.128, 216.646, 306.384, 113.872, 8.67847e-08, 1.22732e-07, -24.9656, 
2019 Aug 19 (Mon) 21:00, 220.058, 311.209, -6.17966, 220.058, 311.21, -126.18, 220.058, 311.209, 113.82, 8.92466e-08, 1.26214e-07, -25.6862, 
