Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 0.747967, 0.743029, 0.735285, 0.747443, 0.764218, 0.757921, 0.757971, 0.778451, 0.813715, 0.813771, 0.778265, 0.832293, 0.867463, 
2019 Aug 19 (Mon) 0:30, 0.767787, 0.767868, 0.767815, 0.767846, 0.767877, 0.767912, 0.767952, 0.781503, 0.816634, 0.816676, 0.767898, 0.767933, 0.767973, 
2019 Aug 19 (Mon) 1:00, 3.21637e-05, 2.8979e-05, 3.80335e-05, 4.28527e-05, 4.72424e-05, 4.93908e-05, 5.07916e-05, 2.87634e-05, 2.97994e-05, 3.11674e-05, 3.27705e-05, 3.44009e-05, 3.52635e-05, 
2019 Aug 19 (Mon) 1:30, 3.05604e-05, 3.0312e-05, 3.92162e-05, 4.39138e-05, 4.93579e-05, 5.02041e-05, 5.15903e-05, 2.97742e-05, 3.03606e-05, 3.14378e-05, 3.30393e-05, 3.61448e-05, 3.72786e-05, 
2019 Aug 19 (Mon) 2:00, 5.00776e-05, 4.90864e-05, 6.00269e-05, 7.07185e-05, 7.69531e-05, 7.89217e-05, 8.15255e-05, 4.69788e-05, 4.84511e-05, 5.10268e-05, 5.46977e-05, 5.66498e-05, 5.93247e-05, 
2019 Aug 19 (Mon) 2:30, 3.01473e-05, 3.01006e-05, 3.74319e-05, 4.14119e-05, 4.69574e-05, 4.87796e-05, 4.93664e-05, 2.65226e-05, 3.06488e-05, 3.1233e-05, 3.19287e-05, 3.27529e-05, 3.38563e-05, 
2019 Aug 19 (Mon) 3:00, 2.23791e-05, 2.15815e-05, 3.00845e-05, 3.3848e-05, 3.56988e-05, 3.89328e-05, 3.9371e-05, 1.91345e-05, 2.30858e-05, 2.35446e-05, 2.51515e-05, 2.45942e-05, 2.59712e-05, 
2019 Aug 19 (Mon) 3:30, 2.85801e-05, 2.85121e-05, 3.72353e-05, 4.14222e-05, 4.55763e-05, 4.95105e-05, 4.881e-05, 2.65281e-05, 2.924e-05, 3.15582e-05, 3.38684e-05, 3.38268e-05, 3.56078e-05, 
2019 Aug 19 (Mon) 4:00, 3.79594e-05, 3.66437e-05, 4.72357e-05, 5.3803e-05, 5.89224e-05, 6.25791e-05, 6.28071e-05, 3.68056e-05, 3.68931e-05, 4.05898e-05, 4.09363e-05, 4.42993e-05, 4.53158e-05, 
2019 Aug 19 (Mon) 4:30, 4.66939e-05, 4.24502e-05, 5.62379e-05, 6.38589e-05, 6.93475e-05, 7.25267e-05, 7.24943e-05, 4.07912e-05, 4.3449e-05, 4.62873e-05, 4.79189e-05, 5.05969e-05, 5.34898e-05, 
2019 Aug 19 (Mon) 5:00, 3.79915e-05, 3.77034e-05, 4.88297e-05, 5.32668e-05, 5.81818e-05, 6.24584e-05, 6.35291e-05, 3.63509e-05, 3.71761e-05, 3.79938e-05, 4.23206e-05, 4.34597e-05, 4.37553e-05, 
2019 Aug 19 (Mon) 5:30, 3.20608e-05, 3.03006e-05, 3.74939e-05, 4.37845e-05, 4.73071e-05, 4.92296e-05, 5.03375e-05, 2.96971e-05, 3.09939e-05, 3.20804e-05, 3.37033e-05, 3.47814e-05, 3.6169e-05, 
2019 Aug 19 (Mon) 6:00, 3.15718e-05, 2.93278e-05, 3.89231e-05, 4.4094e-05, 4.79131e-05, 5.17714e-05, 5.29269e-05, 2.82127e-05, 3.0964e-05, 3.2106e-05, 3.34227e-05, 3.62103e-05, 3.82251e-05, 
2019 Aug 19 (Mon) 6:30, 5.81918e-05, 5.59362e-05, 6.9442e-05, 7.92584e-05, 8.55772e-05, 8.91399e-05, 8.88454e-05, 5.48102e-05, 5.82861e-05, 5.93728e-05, 6.36336e-05, 6.74026e-05, 6.80075e-05, 
