Time, 12 (4), , , , , , , 19 (11), , , , , , , 27 (20), , , , , , , 39 (33), , , , , , , 40 (35), , , , , , , 50 (46), , , , , , , 54 (50), , , , , , , 59 (55), , , , , , , 6 (56), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 5:30, 230.819, 0, 0, 100, 0, 0, 0, 230.417, 0, 0, 100, 0, 0, 0, 231.019, 0, 0, 100, 0, 0, 0, 229.916, 0, 0, 100, 0, 0, 0, 229.916, 0, 0, 98.7874, 0, 0, 0, 231.321, 0, 0, 98.1965, 0, 0, 0, 231.321, 0, 0, 100, 0, 0, 0, 231.12, 0, 0, 100, 0, 0, 0, 230.717, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 230.297, 0, 0, 100, 0, 0, 0, 229.867, 0, 0, 100, 0, 0, 0, 230.511, 0, 0, 100, 0, 0, 0, 229.33, 0, 0, 100, 0, 0, 0, 229.33, 0, 0, 98.7874, 0, 0, 0, 230.834, 0, 0, 98.1965, 0, 0, 0, 230.834, 0, 0, 100, 0, 0, 0, 230.619, 0, 0, 100, 0, 0, 0, 230.188, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 225.153, 0, 0, 100, 0, 0, 0, 224.619, 0, 0, 100, 0, 0, 0, 225.418, 0, 0, 100, 0, 0, 0, 223.953, 0, 0, 100, 0, 0, 0, 223.952, 0, 0, 98.7874, 0, 0, 0, 225.82, 0, 0, 98.1965, 0, 0, 0, 225.821, 0, 0, 100, 0, 0, 0, 225.552, 0, 0, 100, 0, 0, 0, 225.017, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 225.852, 0, 0, 100, 0, 0, 0, 225.311, 0, 0, 100, 0, 0, 0, 226.121, 0, 0, 100, 0, 0, 0, 224.637, 0, 0, 100, 0, 0, 0, 224.636, 0, 0, 98.7874, 0, 0, 0, 226.528, 0, 0, 98.1965, 0, 0, 0, 226.528, 0, 0, 100, 0, 0, 0, 226.256, 0, 0, 100, 0, 0, 0, 225.714, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 224.572, 0, 0, 100, 0, 0, 0, 223.989, 0, 0, 100, 0, 0, 0, 224.862, 0, 0, 100, 0, 0, 0, 223.262, 0, 0, 100, 0, 0, 0, 223.262, 0, 0, 98.7874, 0, 0, 0, 225.302, 0, 0, 98.1965, 0, 0, 0, 225.302, 0, 0, 100, 0, 0, 0, 225.008, 0, 0, 100, 0, 0, 0, 224.423, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 225.336, 0, 0, 100, 0, 0, 0, 224.771, 0, 0, 100, 0, 0, 0, 225.617, 0, 0, 100, 0, 0, 0, 224.067, 0, 0, 100, 0, 0, 0, 224.066, 0, 0, 98.7874, 0, 0, 0, 226.042, 0, 0, 98.1965, 0, 0, 0, 226.042, 0, 0, 100, 0, 0, 0, 225.758, 0, 0, 100, 0, 0, 0, 225.192, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 224.397, 0, 0, 100, 0, 0, 0, 223.84, 0, 0, 100, 0, 0, 0, 224.674, 0, 0, 100, 0, 0, 0, 223.146, 0, 0, 100, 0, 0, 0, 223.146, 0, 0, 98.7874, 0, 0, 0, 225.093, 0, 0, 98.1965, 0, 0, 0, 225.093, 0, 0, 100, 0, 0, 0, 224.813, 0, 0, 100, 0, 0, 0, 224.255, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 224.683, 0, 0, 100, 0, 0, 0, 224.135, 0, 0, 100, 0, 0, 0, 224.956, 0, 0, 100, 0, 0, 0, 223.452, 0, 0, 100, 0, 0, 0, 223.451, 0, 0, 98.7874, 0, 0, 0, 225.369, 0, 0, 98.1965, 0, 0, 0, 225.369, 0, 0, 100, 0, 0, 0, 225.093, 0, 0, 100, 0, 0, 0, 224.543, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 227.15, 0, 0, 100, 0, 0, 0, 226.649, 0, 0, 100, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 226.024, 0, 0, 100, 0, 0, 0, 226.024, 0, 0, 98.7874, 0, 0, 0, 227.777, 0, 0, 98.1965, 0, 0, 0, 227.778, 0, 0, 100, 0, 0, 0, 227.526, 0, 0, 100, 0, 0, 0, 227.023, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 229.154, 0, 0, 100, 0, 0, 0, 228.698, 0, 0, 100, 0, 0, 0, 229.38, 0, 0, 100, 0, 0, 0, 228.13, 0, 0, 100, 0, 0, 0, 228.13, 0, 0, 98.7874, 0, 0, 0, 229.723, 0, 0, 98.1965, 0, 0, 0, 229.723, 0, 0, 100, 0, 0, 0, 229.495, 0, 0, 100, 0, 0, 0, 229.038, 0, 0, 100, 0, 0, 0, 
