Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 221.323, 312.999, -7.54262, 225.799, 319.328, -125.984, 224.13, 316.968, 114.225, 1.15278, 1.63028, 51.0897, 
2019 Aug 19 (Mon) 0:30, 226.592, 320.45, -4.40799, 228.233, 322.77, -123.16, 228.261, 322.809, 116.84, 0.0957487, 0.135409, -160.566, 
2019 Aug 19 (Mon) 1:00, 231.692, 327.661, -2.99481, 231.692, 327.661, -122.995, 231.691, 327.661, 117.005, 2.04824e-07, 2.89666e-07, 20.4933, 
2019 Aug 19 (Mon) 1:30, 232.02, 328.126, -2.76197, 232.02, 328.126, -122.762, 232.02, 328.126, 117.238, 2.05401e-07, 2.90482e-07, 20.743, 
2019 Aug 19 (Mon) 2:00, 229.73, 324.887, -2.61294, 229.73, 324.887, -122.613, 229.73, 324.887, 117.387, 2.03185e-07, 2.87348e-07, 21.0803, 
2019 Aug 19 (Mon) 2:30, 232.395, 328.656, -2.56508, 232.395, 328.656, -122.565, 232.395, 328.656, 117.435, 2.05995e-07, 2.91321e-07, 20.9459, 
2019 Aug 19 (Mon) 3:00, 233.091, 329.64, -2.59418, 233.091, 329.64, -122.594, 233.091, 329.64, 117.406, 2.06685e-07, 2.92297e-07, 20.8637, 
2019 Aug 19 (Mon) 3:30, 232.29, 328.508, -2.6498, 232.29, 328.508, -122.65, 232.29, 328.508, 117.35, 2.05799e-07, 2.91043e-07, 20.8554, 
2019 Aug 19 (Mon) 4:00, 231.414, 327.269, -2.56849, 231.414, 327.269, -122.569, 231.414, 327.269, 117.431, 2.04973e-07, 2.89876e-07, 21.0122, 
2019 Aug 19 (Mon) 4:30, 230.316, 325.716, -2.73831, 230.316, 325.716, -122.738, 230.316, 325.716, 117.262, 2.03663e-07, 2.88024e-07, 20.8915, 
2019 Aug 19 (Mon) 5:00, 230.994, 326.675, -2.9101, 230.994, 326.675, -122.91, 230.994, 326.675, 117.09, 2.04195e-07, 2.88775e-07, 20.6424, 
