Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 6.81804e-06, 9.64217e-06, 79.2534, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 6.77194e-06, 9.57697e-06, 78.0364, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 6.49973e-06, 9.19201e-06, 77.1093, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 6.34093e-06, 8.96742e-06, 75.9612, 
2019 Aug 19 (Mon) 18:30, 262.326, 370.984, -24.8575, 235.733, 333.374, -145.381, 285.408, 403.625, 95.3743, 43.5395, 61.5742, 66.5926, 
2019 Aug 19 (Mon) 19:00, 264.955, 374.702, -26.1011, 238.705, 337.577, -146.751, 287.714, 406.887, 94.2407, 42.9979, 60.8083, 66.6629, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2994, 6.43723e-06, 9.10362e-06, 74.2268, 
2019 Aug 19 (Mon) 20:00, 173.257, 245.022, -20.8206, 173.257, 245.01, -140.818, 173.267, 245.026, 99.1831, 6.58928e-06, 9.31865e-06, 74.5691, 
2019 Aug 19 (Mon) 20:30, 188.249, 266.224, -31.7028, 188.242, 266.212, -151.701, 188.251, 266.224, 88.3002, 6.13679e-06, 8.67874e-06, 75.3758, 
2019 Aug 19 (Mon) 21:00, 177.385, 250.861, -26.7221, 177.38, 250.847, -146.72, 177.391, 250.863, 93.2817, 6.37145e-06, 9.01059e-06, 75.2483, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9927, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 6.41023e-06, 9.06544e-06, 75.883, 
2019 Aug 19 (Mon) 22:00, 156.193, 220.89, -26.358, 156.19, 220.876, -146.355, 156.2, 220.892, 93.6464, 6.53606e-06, 9.24338e-06, 77.0842, 
2019 Aug 19 (Mon) 22:30, 146.421, 207.07, -26.6324, 146.418, 207.056, -146.63, 146.428, 207.072, 93.3724, 6.60116e-06, 9.33545e-06, 77.9955, 
2019 Aug 19 (Mon) 23:00, 131.802, 186.396, -26.6098, 131.802, 186.382, -146.607, 131.811, 186.398, 93.3955, 6.71324e-06, 9.49395e-06, 79.2738, 
2019 Aug 19 (Mon) 23:30, 120.12, 169.875, -29.296, 120.12, 169.861, -149.293, 120.129, 169.876, 90.7098, 6.74814e-06, 9.54331e-06, 80.6695, 
2019 Aug 20 (Tue) 0:00, 99.0412, 140.065, -24.2462, 99.051, 140.054, -144.242, 99.0585, 140.068, 95.7599, 7.01549e-06, 9.9214e-06, 81.8088, 
