Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.964, 323.804, -3.4375, 227.267, 321.404, -124.68, 228.951, 323.785, 116.563, 0.128583, 0.181844, 76.7677, 
2019 Aug 19 (Mon) 0:30, 227.263, 321.398, -4.38937, 228.921, 323.743, -123.128, 228.919, 323.741, 116.872, 0.0300106, 0.0424415, 142.408, 
2019 Aug 19 (Mon) 1:00, 232.269, 328.478, -2.95294, 230.529, 326.017, -124.183, 232.215, 328.402, 117.048, 0.546231, 0.772487, 84.4447, 
2019 Aug 19 (Mon) 1:30, 232.538, 328.859, -2.72146, 232.538, 328.859, -122.721, 232.538, 328.859, 117.279, 9.74465e-08, 1.3781e-07, 87.7628, 
2019 Aug 19 (Mon) 2:00, 230.302, 325.697, -2.59158, 230.302, 325.697, -122.592, 230.302, 325.697, 117.408, 9.57075e-08, 1.35351e-07, 88.0175, 
2019 Aug 19 (Mon) 2:30, 232.881, 329.344, -2.52867, 232.881, 329.344, -122.529, 232.881, 329.344, 117.471, 9.7722e-08, 1.382e-07, 88.1215, 
2019 Aug 19 (Mon) 3:00, 233.559, 330.302, -2.55254, 233.559, 330.302, -122.553, 233.559, 330.302, 117.447, 9.8254e-08, 1.38952e-07, 88.0733, 
2019 Aug 19 (Mon) 3:30, 232.789, 329.213, -2.61128, 232.789, 329.213, -122.611, 232.789, 329.213, 117.389, 9.76469e-08, 1.38094e-07, 87.9675, 
2019 Aug 19 (Mon) 4:00, 231.931, 328, -2.53804, 231.931, 328, -122.538, 231.931, 328, 117.462, 9.69779e-08, 1.37147e-07, 88.109, 
2019 Aug 19 (Mon) 4:30, 230.884, 326.519, -2.70914, 230.884, 326.519, -122.709, 230.884, 326.519, 117.291, 9.6155e-08, 1.35984e-07, 87.7946, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 9.66753e-08, 1.3672e-07, 87.4883, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 9.68347e-08, 1.36945e-07, 86.648, 
