Time, 48 (43), , , , , , , 50 (46), , , , , , , 63 (60), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 12:30, 225.935, 230.276, 0.767241, 100, 0, 0.383621, 0, 227.794, 231.563, 0.824319, 100, 0, 0.41216, 0, 227.42, 231.305, 0.813714, 98.8576, 0.0142796, 0.413997, 0, 
2019 Aug 19 (Mon) 13:00, 228.768, 230.276, 0.646325, 100, 0, 0.323163, 0, 230.468, 231.563, 0.722091, 100, 0, 0.361045, 0, 230.126, 231.305, 0.708014, 98.8576, 0.0142796, 0.361147, 0, 
2019 Aug 19 (Mon) 13:30, 228.449, 230.276, 0.877144, 100, 0, 0.438572, 0, 230.12, 231.563, 0.919257, 100, 0, 0.459628, 0, 229.785, 231.305, 0.91143, 98.8576, 0.0142796, 0.462855, 0, 
2019 Aug 19 (Mon) 14:00, 225.625, 230.276, 0.851171, 100, 0, 0.425585, 0, 227.47, 231.563, 0.89366, 100, 0, 0.44683, 0, 227.099, 231.305, 0.885765, 98.8576, 0.0142796, 0.450022, 0, 
2019 Aug 19 (Mon) 14:30, 224.562, 230.276, 0.621078, 100, 0, 0.310539, 0, 226.453, 231.563, 0.698259, 100, 0, 0.349129, 0, 226.073, 231.305, 0.68392, 98.8576, 0.0142796, 0.3491, 0, 
2019 Aug 19 (Mon) 15:00, 228.359, 230.276, 0.53452, 100, 0, 0.26726, 0, 230.085, 231.563, 0.623276, 100, 0, 0.311638, 0, 229.738, 231.305, 0.606787, 98.8576, 0.0142796, 0.310533, 0, 
2019 Aug 19 (Mon) 15:30, 225.91, 230.276, 0.843823, 100, 0, 0.421912, 0, 227.849, 231.563, 0.891018, 100, 0, 0.445509, 0, 227.459, 231.305, 0.882248, 98.8576, 0.0142796, 0.448264, 0, 
2019 Aug 19 (Mon) 16:00, 226.772, 230.276, 0.644288, 100, 0, 0.322144, 0, 228.728, 231.563, 0.726195, 100, 0, 0.363098, 0, 228.335, 231.305, 0.710973, 98.8576, 0.0142796, 0.362626, 0, 
2019 Aug 19 (Mon) 16:30, 223.422, 230.276, 0.714551, 100, 0, 0.357275, 0, 225.651, 231.563, 0.790971, 100, 0, 0.395486, 0, 225.203, 231.305, 0.776766, 98.8576, 0.0142796, 0.395523, 0, 
2019 Aug 19 (Mon) 17:00, 222.559, 230.276, 0.441679, 100, 0, 0.220839, 0, 224.964, 231.563, 0.564133, 100, 0, 0.282067, 0, 224.479, 231.305, 0.541363, 98.8576, 0.0142796, 0.277822, 0, 
2019 Aug 19 (Mon) 17:30, 218.29, 230.276, 0.371343, 100, 0, 0.185672, 0, 221.08, 231.563, 0.513431, 100, 0, 0.256715, 0, 220.518, 231.305, 0.487001, 98.8576, 0.0142796, 0.25064, 0, 
2019 Aug 19 (Mon) 18:00, 215.665, 230.276, 0.0236346, 100, 0, 0.0118173, 0, 218.745, 231.563, 0.227116, 100, 0, 0.113558, 0, 218.123, 231.305, 0.189239, 98.8576, 0.0142796, 0.101759, 0, 
2019 Aug 19 (Mon) 18:30, 214.324, 230.276, -1, 90.2564, 0.121795, 0, 0, 217.585, 231.563, 0.0549085, 90.2564, 0.121795, 0.0883517, 0, 216.927, 231.305, 0.00925843, 89.114, 0.136074, 0.0726665, 0, 
2019 Aug 19 (Mon) 19:00, 213.048, 230.276, -1, 90.2564, 0.121795, 0, 0, 216.395, 231.563, -1, 90.2564, 0.121795, 0, 0, 215.719, 231.305, -1, 89.114, 0.136074, 0, 0, 
2019 Aug 19 (Mon) 19:30, 216.905, 230.276, -1, 90.2564, 0.121795, 0, 0, 220.055, 231.563, -1, 90.2564, 0.121795, 0, 0, 219.419, 231.305, -1, 89.114, 0.136074, 0, 0, 
2019 Aug 19 (Mon) 20:00, 217.496, 230.276, -1, 90.2564, 0.121795, 0, 0, 222.268, 231.563, 0.151514, 90.2564, 0.121795, 0.136654, 0, 215.027, 231.305, 0.106667, 89.114, 0.136074, 0.121371, 1, 
2019 Aug 19 (Mon) 20:30, 210.71, 230.276, -1, 90.2564, 0.121795, 0, 0, 215.729, 231.563, 0.314679, 90.2564, 0.121795, 0.218237, 0, 208.704, 231.305, -1, 94.8567, 0.0642907, 0, 0, 
2019 Aug 19 (Mon) 21:00, 216.039, 230.276, -1, 90.2564, 0.121795, 0, 0, 219.158, 231.563, -1, 90.2564, 0.121795, 0, 0, 218.528, 231.305, -1, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 216.728, 230.276, -1, 90.2564, 0.121795, 0, 0, 219.74, 231.563, 0.0853603, 90.2564, 0.121795, 0.103578, 0, 219.132, 231.305, 0.0397102, 100, 0, 0.0198551, 0, 
2019 Aug 19 (Mon) 22:00, 218.844, 230.276, -1, 90.2564, 0.121795, 0, 0, 221.598, 231.563, 0.128302, 90.2564, 0.121795, 0.125048, 0, 221.043, 231.305, 0.0851095, 100, 0, 0.0425547, 0, 
2019 Aug 19 (Mon) 22:30, 219.974, 230.276, 0.0687754, 90.2564, 0.121795, 0.0952851, 0, 222.563, 231.563, 0.265292, 90.2564, 0.121795, 0.193543, 0, 222.041, 231.305, 0.228714, 100, 0, 0.114357, 0, 
2019 Aug 19 (Mon) 23:00, 221.808, 230.276, 0.160763, 90.2564, 0.121795, 0.141279, 0, 218.92, 231.563, 0.336445, 90.2564, 0.121795, 0.22912, 1, 223.71, 231.305, 0.303756, 100, 0, 0.151878, 0, 
2019 Aug 19 (Mon) 23:30, 214.21, 230.276, 0.310209, 90.2564, 0.121795, 0.216002, 1, 219.515, 231.563, 0.0678513, 95.9848, 0.0501899, 0.0590206, 0, 222.631, 231.305, 0.429161, 100, 0, 0.214581, 0, 
2019 Aug 20 (Tue) 0:00, 218.197, 230.276, -1, 95.9848, 0.0501899, 0, 0, 228.486, 231.563, 0.111733, 100, 0, 0.0558667, 0, 226.415, 231.305, 0.348037, 100, 0, 0.174018, 0, 
