Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 99.047, 140.074, -24.2212, 127.627, 180.472, -140.616, 99.093, 140.116, 95.7445, 29.3652, 41.5287, -128.356, 
2019 Aug 19 (Mon) 0:30, 122.101, 172.677, -22.1805, 93.6193, 132.372, -146.817, 93.6377, 132.401, 93.1844, 29.7771, 42.1112, -7.42436, 
2019 Aug 19 (Mon) 1:00, 79.7679, 112.809, -17.934, 109.108, 154.279, -135.324, 79.9204, 112.997, 101.876, 29.341, 41.4945, -128.152, 
2019 Aug 19 (Mon) 1:30, 74.4351, 105.267, -18.9334, 74.4546, 105.26, -138.93, 74.4578, 105.269, 101.071, 7.22623e-06, 1.02194e-05, -95.1076, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.3331, 112.161, -147.865, 79.3394, 112.174, 92.1378, 7.08568e-06, 1.00207e-05, -94.61, 
2019 Aug 19 (Mon) 2:30, 69.6636, 98.5191, -19.4319, 69.6846, 98.5127, -139.428, 69.6874, 98.5212, 100.573, 7.2586e-06, 1.02652e-05, -94.7309, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4923, -16.458, 68.2499, 96.4877, -136.455, 68.2518, 96.4943, 103.546, 7.30244e-06, 1.03272e-05, -94.848, 
2019 Aug 19 (Mon) 3:30, 71.55, 101.187, -18.9985, 71.5703, 101.181, -138.995, 71.5732, 101.189, 101.006, 7.24837e-06, 1.02507e-05, -94.8977, 
2019 Aug 19 (Mon) 4:00, 72.7755, 102.92, -22.938, 72.7956, 102.911, -142.934, 72.7999, 102.922, 97.0682, 7.19533e-06, 1.01757e-05, -94.6574, 
2019 Aug 19 (Mon) 4:30, 79.3825, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4047, 112.266, 95.1839, 7.11787e-06, 1.00662e-05, -94.9182, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2634, 113.48, 98.9296, 7.15418e-06, 1.01175e-05, -95.3296, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4521, 125.062, -136.807, 88.4558, 125.07, 103.194, 7.14667e-06, 1.01069e-05, -96.308, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0998, 134.465, -136.414, 95.1038, 134.474, 103.587, 7.10365e-06, 1.00461e-05, -96.8407, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 6.78091e-06, 9.58966e-06, -96.4425, 
2019 Aug 19 (Mon) 7:00, 114.562, 162.014, -25.1651, 114.566, 162.001, -145.162, 114.575, 162.017, 94.8406, 6.81292e-06, 9.63493e-06, -97.19, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9261, 6.72492e-06, 9.51047e-06, -97.6345, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 6.77375e-06, 9.57953e-06, -97.5964, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.18, 164.288, -149.672, 116.189, 164.303, 90.3306, 6.73026e-06, 9.51802e-06, -96.6266, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 6.74943e-06, 9.54514e-06, -96.5619, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 6.90113e-06, 9.75968e-06, -96.8511, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.984, 139.961, 100.688, 7.02999e-06, 9.94191e-06, -96.8303, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8694, 131.31, -136.329, 92.8732, 131.319, 103.672, 7.12114e-06, 1.00708e-05, -96.6836, 
2019 Aug 19 (Mon) 11:00, 96.8289, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 7.02992e-06, 9.94181e-06, -96.5562, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7526, 141.048, 99.9704, 7.01303e-06, 9.91793e-06, -96.8065, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 6.99269e-06, 9.88916e-06, -96.8912, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 6.90507e-06, 9.76525e-06, -96.6972, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 7.06977e-06, 9.99817e-06, -97.3191, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.455, 137.795, -138.342, 97.4601, 137.805, 101.66, 7.05644e-06, 9.97931e-06, -96.8219, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 6.89054e-06, 9.7447e-06, -96.346, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.794, -149.521, 105.236, 148.81, 90.4819, 6.8306e-06, 9.65993e-06, -95.984, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 7.04561e-06, 9.96399e-06, -97.2578, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7407, 111.332, 157.425, -141.737, 111.34, 157.439, 98.2646, 6.89482e-06, 9.75075e-06, -97.4271, 
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 6.93733e-06, 9.81086e-06, -98.2202, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 6.73561e-06, 9.5256e-06, -98.2779, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 6.67223e-06, 9.43596e-06, -99.294, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.726, 223.052, 92.7448, 6.41746e-06, 9.07566e-06, -99.73, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 6.2571e-06, 8.84887e-06, -100.516, 
2019 Aug 19 (Mon) 18:30, 184.382, 260.756, -28.5212, 184.376, 260.743, -148.519, 184.386, 260.757, 91.4822, 6.1727e-06, 8.72951e-06, -101.258, 
2019 Aug 19 (Mon) 19:00, 188.251, 266.227, -30.1858, 188.244, 266.214, -150.184, 188.253, 266.227, 89.8174, 6.1024e-06, 8.6301e-06, -101.109, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2994, 6.30932e-06, 8.92273e-06, -102.199, 
2019 Aug 19 (Mon) 20:00, 173.278, 245.052, -20.7985, 200.865, 284.056, -139.929, 173.314, 245.093, 99.1661, 27.6211, 39.0622, -134.405, 
2019 Aug 19 (Mon) 20:30, 188.268, 266.252, -31.6826, 213.225, 301.543, -149.505, 188.299, 266.292, 88.285, 25.998, 36.7667, -133.461, 
2019 Aug 19 (Mon) 21:00, 177.385, 250.861, -26.7221, 177.38, 250.847, -146.72, 177.391, 250.863, 93.2817, 6.27152e-06, 8.86927e-06, -101.195, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9927, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 6.31647e-06, 8.93284e-06, -100.683, 
2019 Aug 19 (Mon) 22:00, 156.193, 220.89, -26.358, 156.19, 220.876, -146.355, 156.2, 220.892, 93.6464, 6.44846e-06, 9.11949e-06, -99.803, 
2019 Aug 19 (Mon) 22:30, 146.421, 207.07, -26.6324, 146.418, 207.056, -146.63, 146.428, 207.072, 93.3724, 6.5225e-06, 9.2242e-06, -99.0894, 
2019 Aug 19 (Mon) 23:00, 159.492, 225.556, -23.6842, 131.79, 186.366, -146.608, 131.821, 186.411, 93.392, 28.6743, 40.5515, -10.0673, 
2019 Aug 19 (Mon) 23:30, 147.514, 208.616, -25.3095, 146.39, 207.015, -145.662, 120.338, 170.172, 90.6389, 27.6554, 39.1106, -66.2422, 
2019 Aug 20 (Tue) 0:00, 99.0587, 140.09, -24.1252, 126.921, 179.473, -140.799, 99.2311, 140.312, 95.6908, 28.2628, 39.9696, -128.975, 
