Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.269, 322.821, -3.47931, 226.566, 320.413, -124.718, 228.237, 322.776, 116.521, 0.13144, 0.185885, 81.436, 
2019 Aug 19 (Mon) 0:30, 226.596, 320.455, -4.41567, 228.234, 322.772, -123.159, 228.259, 322.806, 116.84, 0.0261017, 0.0369134, 172.252, 
2019 Aug 19 (Mon) 1:00, 231.715, 327.695, -2.99534, 229.969, 325.226, -124.232, 231.678, 327.642, 117, 0.53126, 0.751315, 84.1611, 
2019 Aug 19 (Mon) 1:30, 232.02, 328.126, -2.76197, 232.02, 328.126, -122.762, 232.02, 328.126, 117.238, 9.37261e-08, 1.32549e-07, 88.048, 
2019 Aug 19 (Mon) 2:00, 229.73, 324.887, -2.61294, 229.73, 324.887, -122.613, 229.73, 324.887, 117.387, 9.25273e-08, 1.30853e-07, 88.3968, 
2019 Aug 19 (Mon) 2:30, 232.395, 328.656, -2.56508, 232.395, 328.656, -122.565, 232.395, 328.656, 117.435, 9.40178e-08, 1.32961e-07, 88.293, 
2019 Aug 19 (Mon) 3:00, 233.091, 329.64, -2.59418, 233.091, 329.64, -122.594, 233.091, 329.64, 117.406, 9.4392e-08, 1.3349e-07, 88.2087, 
2019 Aug 19 (Mon) 3:30, 232.29, 328.508, -2.6498, 232.29, 328.508, -122.65, 232.29, 328.508, 117.35, 9.39246e-08, 1.32829e-07, 88.1831, 
2019 Aug 19 (Mon) 4:00, 231.414, 327.269, -2.56849, 231.414, 327.269, -122.569, 231.414, 327.269, 117.431, 9.34744e-08, 1.32193e-07, 88.349, 
2019 Aug 19 (Mon) 4:30, 230.316, 325.716, -2.73831, 230.316, 325.716, -122.738, 230.316, 325.716, 117.262, 9.27953e-08, 1.31232e-07, 88.19, 
2019 Aug 19 (Mon) 5:00, 230.994, 326.675, -2.9101, 230.994, 326.675, -122.91, 230.994, 326.675, 117.09, 9.30984e-08, 1.31661e-07, 87.9102, 
2019 Aug 19 (Mon) 5:30, 231.178, 326.935, -3.3765, 231.178, 326.935, -123.377, 231.178, 326.935, 116.623, 9.30038e-08, 1.31527e-07, 87.2577, 
2019 Aug 19 (Mon) 6:00, 230.685, 326.237, -3.6542, 230.685, 326.237, -123.654, 230.685, 326.237, 116.346, 9.26156e-08, 1.30978e-07, 86.9084, 
2019 Aug 19 (Mon) 6:30, 225.562, 318.992, -3.66942, 225.562, 318.992, -123.669, 225.561, 318.992, 116.331, 8.98025e-08, 1.27e-07, 87.2245, 
2019 Aug 19 (Mon) 7:00, 226.29, 320.022, -4.00112, 226.29, 320.022, -124.001, 226.29, 320.022, 115.999, 9.006e-08, 1.27364e-07, 86.7219, 
2019 Aug 19 (Mon) 7:30, 225.041, 318.255, -4.26854, 225.041, 318.256, -124.269, 225.04, 318.255, 115.731, 8.92773e-08, 1.26257e-07, 86.4382, 
2019 Aug 19 (Mon) 8:00, 225.796, 319.324, -4.21796, 225.796, 319.324, -124.218, 225.796, 319.324, 115.782, 8.96988e-08, 1.26853e-07, 86.4572, 
2019 Aug 19 (Mon) 8:30, 224.82, 317.944, -3.78965, 224.82, 317.944, -123.79, 224.82, 317.943, 116.21, 8.93515e-08, 1.26362e-07, 87.1084, 
2019 Aug 19 (Mon) 9:00, 225.101, 318.341, -3.7459, 225.101, 318.341, -123.746, 225.101, 318.341, 116.254, 8.95144e-08, 1.26593e-07, 87.152, 
2019 Aug 19 (Mon) 9:30, 227.563, 321.823, -3.7848, 227.563, 321.823, -123.785, 227.563, 321.822, 116.215, 9.08456e-08, 1.28475e-07, 86.9357, 
2019 Aug 19 (Mon) 10:00, 229.55, 324.632, -3.69401, 229.55, 324.632, -123.694, 229.55, 324.632, 116.306, 9.19723e-08, 1.30069e-07, 86.9292, 
2019 Aug 19 (Mon) 10:30, 230.904, 326.548, -3.56844, 230.904, 326.548, -123.568, 230.904, 326.548, 116.432, 9.27709e-08, 1.31198e-07, 87.0146, 
2019 Aug 19 (Mon) 11:00, 229.466, 324.514, -3.5652, 229.466, 324.514, -123.565, 229.466, 324.514, 116.435, 9.19828e-08, 1.30083e-07, 87.1108, 
2019 Aug 19 (Mon) 11:30, 229.282, 324.253, -3.69357, 229.282, 324.254, -123.694, 229.282, 324.253, 116.306, 9.18254e-08, 1.29861e-07, 86.9463, 
2019 Aug 19 (Mon) 12:00, 228.995, 323.849, -3.74596, 228.996, 323.849, -123.746, 228.995, 323.848, 116.254, 9.16496e-08, 1.29612e-07, 86.8951, 
2019 Aug 19 (Mon) 12:30, 227.578, 321.844, -3.71009, 227.578, 321.844, -123.71, 227.578, 321.844, 116.29, 9.08893e-08, 1.28537e-07, 87.0367, 
2019 Aug 19 (Mon) 13:00, 230.313, 325.712, -3.89985, 230.313, 325.712, -123.9, 230.313, 325.712, 116.1, 9.23081e-08, 1.30543e-07, 86.5995, 
2019 Aug 19 (Mon) 13:30, 229.955, 325.206, -3.67396, 229.955, 325.206, -123.674, 229.955, 325.206, 116.326, 9.22066e-08, 1.304e-07, 86.9295, 
2019 Aug 19 (Mon) 14:00, 227.246, 321.374, -3.55368, 227.246, 321.374, -123.554, 227.246, 321.374, 116.446, 9.07697e-08, 1.28368e-07, 87.2731, 
2019 Aug 19 (Mon) 14:30, 226.205, 319.902, -3.42042, 226.205, 319.902, -123.42, 226.205, 319.902, 116.58, 9.02558e-08, 1.27641e-07, 87.5251, 
2019 Aug 19 (Mon) 15:00, 229.922, 325.159, -3.8859, 229.922, 325.159, -123.886, 229.922, 325.158, 116.114, 9.20996e-08, 1.30248e-07, 86.644, 
2019 Aug 19 (Mon) 15:30, 227.64, 321.932, -4.06064, 227.64, 321.932, -124.061, 227.64, 321.932, 115.939, 9.07761e-08, 1.28377e-07, 86.5499, 
2019 Aug 19 (Mon) 16:00, 228.543, 323.209, -4.40785, 228.543, 323.209, -124.408, 228.543, 323.209, 115.592, 9.11244e-08, 1.28869e-07, 86.0139, 
2019 Aug 19 (Mon) 16:30, 225.402, 318.767, -4.56395, 225.402, 318.767, -124.564, 225.402, 318.767, 115.436, 8.93397e-08, 1.26345e-07, 86.012, 
2019 Aug 19 (Mon) 17:00, 224.708, 317.785, -5.08526, 224.708, 317.786, -125.085, 224.708, 317.785, 114.915, 8.87598e-08, 1.25525e-07, 85.3396, 
2019 Aug 19 (Mon) 17:30, 220.747, 312.183, -5.46436, 220.747, 312.184, -125.464, 220.747, 312.183, 114.536, 8.64554e-08, 1.22266e-07, 85.0783, 
2019 Aug 19 (Mon) 18:00, 218.369, 308.821, -5.94791, 218.369, 308.821, -125.948, 218.369, 308.821, 114.052, 8.4996e-08, 1.20202e-07, 84.5853, 
2019 Aug 19 (Mon) 18:30, 217.192, 307.156, -6.35887, 217.192, 307.156, -126.359, 217.192, 307.156, 113.641, 8.42055e-08, 1.19085e-07, 84.0994, 
2019 Aug 19 (Mon) 19:00, 215.976, 305.436, -6.33889, 215.976, 305.436, -126.339, 215.976, 305.436, 113.661, 8.35605e-08, 1.18172e-07, 84.2136, 
2019 Aug 19 (Mon) 19:30, 219.722, 310.734, -6.70338, 219.722, 310.734, -126.703, 219.722, 310.734, 113.297, 8.54198e-08, 1.20802e-07, 83.4497, 
2019 Aug 19 (Mon) 20:00, 222, 313.956, -6.57237, 220.14, 311.325, -127.741, 221.941, 313.872, 113.428, 0.125103, 0.176923, 77.7307, 
2019 Aug 19 (Mon) 20:30, 215.31, 304.494, -6.18703, 213.608, 302.087, -127.322, 215.251, 304.41, 113.817, 0.120423, 0.170303, 78.6487, 
2019 Aug 19 (Mon) 21:00, 218.797, 309.426, -6.25747, 218.797, 309.426, -126.258, 218.797, 309.425, 113.742, 8.50859e-08, 1.2033e-07, 84.1274, 
2019 Aug 19 (Mon) 21:30, 219.387, 310.26, -5.98577, 219.387, 310.26, -125.986, 219.387, 310.26, 114.014, 8.55351e-08, 1.20965e-07, 84.4528, 
2019 Aug 19 (Mon) 22:00, 221.276, 312.932, -5.47806, 221.276, 312.932, -125.478, 221.276, 312.932, 114.522, 8.67501e-08, 1.22683e-07, 85.0223, 
2019 Aug 19 (Mon) 22:30, 222.256, 314.317, -5.08945, 222.256, 314.317, -125.09, 222.255, 314.317, 114.91, 8.74387e-08, 1.23657e-07, 85.4996, 
2019 Aug 19 (Mon) 23:00, 222.211, 314.254, -5.77008, 223.89, 316.629, -124.55, 223.923, 316.675, 115.448, 0.0249924, 0.0353445, 168.652, 
2019 Aug 19 (Mon) 23:30, 222.821, 315.117, -5.18722, 222.774, 315.051, -125.131, 224.424, 317.383, 116.041, 0.507539, 0.717768, 86.319, 
2019 Aug 20 (Tue) 0:00, 228.282, 322.839, -3.48002, 226.56, 320.404, -124.686, 228.229, 322.764, 116.518, 0.518906, 0.733844, 83.8034, 
