Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 0.764446, 0.764546, 0.764498, 0.76455, 0.764601, 0.764654, 0.764706, 0.778301, 0.828481, 0.863693, 0.764597, 0.764649, 0.764702, 
2019 Aug 19 (Mon) 0:30, 0.771622, 0.771699, 0.771649, 0.77168, 0.77171, 0.771746, 0.771786, 0.77174, 0.771775, 0.771814, 0.771732, 0.771768, 0.771807, 
2019 Aug 19 (Mon) 1:00, 0.775701, 0.762608, 0.824858, 0.875607, 0.927691, 0.980892, 1.01598, 0.762666, 0.762724, 0.762783, 0.762667, 0.762724, 0.762783, 
2019 Aug 19 (Mon) 1:30, 2.99917e-05, 3.0312e-05, 3.92162e-05, 4.341e-05, 4.93579e-05, 4.96925e-05, 5.15903e-05, 2.97742e-05, 2.97792e-05, 3.11462e-05, 3.19541e-05, 3.61448e-05, 3.70483e-05, 
2019 Aug 19 (Mon) 2:00, 4.9498e-05, 4.85073e-05, 6.00269e-05, 7.03909e-05, 7.63722e-05, 7.86236e-05, 8.12943e-05, 4.69788e-05, 4.84409e-05, 5.10268e-05, 5.42068e-05, 5.61409e-05, 5.87719e-05, 
2019 Aug 19 (Mon) 2:30, 2.99145e-05, 3.00622e-05, 3.63607e-05, 4.41673e-05, 4.58755e-05, 4.76858e-05, 4.87847e-05, 2.59421e-05, 3.01591e-05, 3.07428e-05, 3.19287e-05, 3.32502e-05, 3.38563e-05, 
2019 Aug 19 (Mon) 3:00, 2.18812e-05, 2.04912e-05, 2.9507e-05, 3.40876e-05, 3.4608e-05, 3.86487e-05, 3.93979e-05, 1.99403e-05, 2.32866e-05, 2.3044e-05, 2.40765e-05, 2.45942e-05, 2.48225e-05, 
2019 Aug 19 (Mon) 3:30, 3.21247e-05, 2.82823e-05, 3.7801e-05, 4.39319e-05, 4.60876e-05, 4.97772e-05, 4.87978e-05, 2.89894e-05, 2.9751e-05, 3.10212e-05, 3.30529e-05, 3.38268e-05, 3.61281e-05, 
2019 Aug 19 (Mon) 4:00, 3.79594e-05, 3.60622e-05, 4.66542e-05, 5.43186e-05, 5.87017e-05, 6.19973e-05, 6.28071e-05, 3.62256e-05, 3.68931e-05, 4.01041e-05, 4.09363e-05, 4.37323e-05, 4.48061e-05, 
2019 Aug 19 (Mon) 4:30, 4.66939e-05, 4.24502e-05, 5.56571e-05, 6.38589e-05, 6.93475e-05, 7.2015e-05, 7.24802e-05, 4.1307e-05, 4.3449e-05, 4.62873e-05, 4.79189e-05, 5.00151e-05, 5.29085e-05, 
2019 Aug 19 (Mon) 5:00, 3.69114e-05, 3.72263e-05, 4.78114e-05, 5.32668e-05, 5.81818e-05, 6.21527e-05, 6.29474e-05, 3.63048e-05, 3.76851e-05, 3.79828e-05, 4.17883e-05, 4.29527e-05, 4.34698e-05, 
2019 Aug 19 (Mon) 5:30, 3.1483e-05, 3.05481e-05, 3.74301e-05, 4.32803e-05, 4.67923e-05, 4.89539e-05, 5.03375e-05, 2.91161e-05, 3.04124e-05, 3.15794e-05, 3.26262e-05, 3.47814e-05, 3.58788e-05, 
2019 Aug 19 (Mon) 6:00, 3.15718e-05, 2.93278e-05, 3.89231e-05, 4.65156e-05, 5.02888e-05, 5.06704e-05, 5.34391e-05, 3.09064e-05, 3.03632e-05, 3.2106e-05, 3.28409e-05, 3.62103e-05, 3.79112e-05, 
2019 Aug 19 (Mon) 6:30, 5.81918e-05, 5.61981e-05, 6.88606e-05, 7.97943e-05, 8.50616e-05, 8.85581e-05, 8.86173e-05, 5.50744e-05, 5.82861e-05, 5.88421e-05, 6.30521e-05, 6.62983e-05, 6.74011e-05, 
2019 Aug 19 (Mon) 7:00, 5.46282e-05, 5.35928e-05, 6.77467e-05, 7.70522e-05, 8.32008e-05, 8.59459e-05, 8.98882e-05, 5.24731e-05, 5.45963e-05, 5.57163e-05, 6.04414e-05, 6.37024e-05, 6.71569e-05, 
2019 Aug 19 (Mon) 7:30, 5.70276e-05, 5.53233e-05, 6.9877e-05, 7.69677e-05, 8.36529e-05, 8.8181e-05, 8.9832e-05, 5.48163e-05, 5.6638e-05, 5.78357e-05, 6.22133e-05, 6.69578e-05, 6.91792e-05, 
