Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 14:00, 5.39373e-05, 5.28711e-05, 6.57948e-05, 7.7026e-05, 8.24396e-05, 8.68781e-05, 8.65626e-05, 5.03625e-05, 5.44915e-05, 5.81728e-05, 5.7746e-05, 6.27621e-05, 6.58373e-05, 
2019 Aug 19 (Mon) 14:30, 5.65762e-05, 5.45954e-05, 6.9293e-05, 7.75673e-05, 8.41939e-05, 8.78645e-05, 8.92608e-05, 5.34969e-05, 5.7918e-05, 5.96086e-05, 6.17665e-05, 6.56395e-05, 6.84284e-05, 
2019 Aug 19 (Mon) 15:00, 3.59884e-05, 3.36801e-05, 4.41948e-05, 5.01857e-05, 5.43117e-05, 5.82047e-05, 5.96077e-05, 3.28701e-05, 3.56606e-05, 3.70463e-05, 3.80862e-05, 4.03474e-05, 4.19604e-05, 
2019 Aug 19 (Mon) 15:30, 5.11483e-05, 4.76299e-05, 6.02333e-05, 7.07957e-05, 7.65676e-05, 7.93455e-05, 8.24776e-05, 4.50612e-05, 5.1019e-05, 5.12196e-05, 5.33607e-05, 5.69429e-05, 5.94712e-05, 
2019 Aug 19 (Mon) 16:00, 4.132e-05, 3.96411e-05, 4.91284e-05, 5.66005e-05, 6.35792e-05, 6.66133e-05, 6.80159e-05, 3.91951e-05, 4.16305e-05, 4.06929e-05, 4.25862e-05, 4.61587e-05, 4.75251e-05, 
2019 Aug 19 (Mon) 16:30, 5.64426e-05, 5.19032e-05, 6.57721e-05, 7.77853e-05, 8.50698e-05, 8.64673e-05, 8.98512e-05, 5.34348e-05, 5.5547e-05, 5.72615e-05, 5.96808e-05, 6.47023e-05, 6.63664e-05, 
2019 Aug 19 (Mon) 17:00, 5.56507e-05, 5.40157e-05, 6.61753e-05, 7.65124e-05, 8.4105e-05, 8.61202e-05, 8.80567e-05, 5.14929e-05, 5.68183e-05, 5.65217e-05, 5.92518e-05, 6.37315e-05, 6.65239e-05, 
2019 Aug 19 (Mon) 17:30, 5.72463e-05, 5.55765e-05, 6.82247e-05, 7.5065e-05, 8.10187e-05, 8.47121e-05, 8.66894e-05, 5.35938e-05, 5.9197e-05, 6.17695e-05, 6.42634e-05, 6.96404e-05, 6.99521e-05, 
2019 Aug 19 (Mon) 18:00, 5.50897e-05, 5.36268e-05, 6.44471e-05, 6.9056e-05, 7.53352e-05, 7.73869e-05, 7.71787e-05, 5.19317e-05, 5.62475e-05, 5.95693e-05, 6.06894e-05, 6.50218e-05, 6.81177e-05, 
2019 Aug 19 (Mon) 18:30, 2.14341, 2.17386, 2.14367, 2.14392, 2.14418, 2.14444, 2.1447, 2.159, 2.2096, 2.24494, 2.25966, 2.29495, 2.29523, 
2019 Aug 19 (Mon) 19:00, 2.1315, 2.16187, 2.13173, 2.13195, 2.13218, 2.1324, 2.13263, 2.14699, 2.19753, 2.23284, 2.24762, 2.28286, 2.28311, 
2019 Aug 19 (Mon) 19:30, 2.16679, 2.19778, 2.16715, 2.16752, 2.16788, 2.16825, 2.16861, 2.18287, 2.23375, 2.2692, 2.28386, 2.31926, 2.31965, 
2019 Aug 19 (Mon) 20:00, 2.18956, 2.2205, 2.18996, 2.19036, 2.19077, 2.19117, 2.19157, 2.20569, 2.25656, 2.29206, 2.30658, 2.34203, 2.34246, 
2019 Aug 19 (Mon) 20:30, 2.1254, 2.15554, 2.12558, 2.12577, 2.12596, 2.12614, 2.12633, 2.1407, 2.19112, 2.22638, 2.24117, 2.27638, 2.27659, 
2019 Aug 19 (Mon) 21:00, 2.1597, 2.1901, 2.15998, 2.16026, 2.16055, 2.16083, 2.16112, 2.17532, 2.2259, 2.26128, 2.27591, 2.31123, 2.31153, 
2019 Aug 19 (Mon) 21:30, 2.16675, 2.19685, 2.16701, 2.16728, 2.16754, 2.1678, 2.16807, 2.18218, 2.23261, 2.26798, 2.28253, 2.31785, 2.31813, 
2019 Aug 19 (Mon) 22:00, 2.18771, 2.21729, 2.18796, 2.1882, 2.18845, 2.18869, 2.18894, 2.20283, 2.25302, 2.28838, 2.30275, 2.33807, 2.33833, 
2019 Aug 19 (Mon) 22:30, 2.19917, 2.22831, 2.19939, 2.19961, 2.19983, 2.20005, 2.20027, 2.21402, 2.26399, 2.29934, 2.3136, 2.3489, 2.34913, 
2019 Aug 19 (Mon) 23:00, 2.21801, 2.24656, 2.2182, 2.21839, 2.21858, 2.21877, 2.21896, 2.2325, 2.28218, 2.31751, 2.33159, 2.36688, 2.36708, 
2019 Aug 19 (Mon) 23:30, 2.22613, 2.25397, 2.22626, 2.22639, 2.22652, 2.22664, 2.22677, 2.24014, 2.28946, 2.32472, 2.33867, 2.3739, 2.37403, 
2019 Aug 20 (Tue) 0:00, 2.26598, 2.29341, 2.26615, 2.26631, 2.26647, 2.26662, 2.26678, 2.27985, 2.32898, 2.36429, 2.37795, 2.41324, 2.4134, 
