Time, 24 (17), , , , , , , 28 (21), , , , , , , 61 (58), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 17:00, 224.48, 0, 0, 100, 0, 0, 0, 224.157, 0, 0, 100, 0, 0, 0, 224.479, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 220.518, 0, 0, 100, 0, 0, 0, 220.144, 0, 0, 100, 0, 0, 0, 220.517, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 218.124, 0, 0, 100, 0, 0, 0, 217.711, 0, 0, 100, 0, 0, 0, 218.123, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 206.976, 0, 0, 90.2564, 0, 0, 0, 205.953, 0, 0, 90.2564, 0, 0, 0, 206.965, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 205.868, 0, 0, 90.2564, 0, 0, 0, 204.838, 0, 0, 90.2564, 0, 0, 0, 205.856, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 209.197, 0, 0, 90.2564, 0, 0, 0, 208.178, 0, 0, 90.2564, 0, 0, 0, 209.186, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 211.29, 0, 0, 90.2564, 0, 0, 0, 210.288, 0, 0, 90.2564, 0, 0, 0, 211.279, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 20:30, 205.278, 0, 0, 90.2564, 0, 0, 0, 204.248, 0, 0, 90.2564, 0, 0, 0, 205.266, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 21:00, 208.473, 0, 0, 90.2564, 0, 0, 0, 207.462, 0, 0, 90.2564, 0, 0, 0, 208.462, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 209.088, 0, 0, 90.2564, 0, 0, 0, 208.088, 0, 0, 90.2564, 0, 0, 0, 209.077, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 210.96, 0, 0, 90.2564, 0, 0, 0, 209.986, 0, 0, 90.2564, 0, 0, 0, 210.949, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 211.967, 0, 0, 90.2564, 0, 0, 0, 211.01, 0, 0, 90.2564, 0, 0, 0, 211.956, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 213.637, 0, 0, 90.2564, 0, 0, 0, 212.706, 0, 0, 90.2564, 0, 0, 0, 213.627, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 23:30, 214.304, 0, 0, 90.2564, 0, 0, 0, 213.394, 0, 0, 90.2564, 0, 0, 0, 214.294, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 20 (Tue) 0:00, 217.937, 0, 0, 90.2564, 0, 0, 0, 217.065, 0, 0, 90.2564, 0, 0, 0, 217.929, 0, 0, 90.2564, 0, 0, 0, 
