Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.934764, 0.934788, 0.934801, 0.892891
2019 Aug 19 (Mon) 0:30, 0.915718, 0.915747, 0.915766, 0.891234
2019 Aug 19 (Mon) 1:00, 0.965427, 0.965442, 0.965448, 0.889819
2019 Aug 19 (Mon) 1:30, 0.960235, 0.960252, 0.960259, 0.888567
2019 Aug 19 (Mon) 2:00, 0.904246, 0.904278, 0.904302, 0.888125
2019 Aug 19 (Mon) 2:30, 0.956797, 0.956815, 0.956823, 0.887481
2019 Aug 19 (Mon) 3:00, 0.970694, 0.970706, 0.97071, 0.887536
2019 Aug 19 (Mon) 3:30, 0.959377, 0.959394, 0.959401, 0.887938
2019 Aug 19 (Mon) 4:00, 0.937282, 0.937307, 0.93732, 0.887637
2019 Aug 19 (Mon) 4:30, 0.926439, 0.926467, 0.926483, 0.888697
2019 Aug 19 (Mon) 5:00, 0.949946, 0.949966, 0.949976, 0.88949
2019 Aug 19 (Mon) 5:30, 0.972417, 0.972429, 0.972433, 0.891868
2019 Aug 19 (Mon) 6:00, 0.975055, 0.975066, 0.975069, 0.893371
2019 Aug 19 (Mon) 6:30, 0.903489, 0.903516, 0.903536, 0.894375
2019 Aug 19 (Mon) 7:00, 0.93226, 0.932283, 0.932296, 0.89594
2019 Aug 19 (Mon) 7:30, 0.928108, 0.92813, 0.928144, 0.897558
2019 Aug 19 (Mon) 8:00, 0.935594, 0.935616, 0.935628, 0.897141
2019 Aug 19 (Mon) 8:30, 0.899441, 0.899467, 0.899487, 0.895148
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.894866
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.894601
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.893768
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.892892
2019 Aug 19 (Mon) 11:00, 0.956761, 0.95678, 0.956788, 0.893121
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.89381
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.894132
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.894207
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.894669
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.893591
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.893458
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.892969
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.894674
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.895983
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.897549
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.898969
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.901729
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.904508
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.907516
2019 Aug 19 (Mon) 18:30, 0.925276, 0.926222, 0.965207, 0.909948
2019 Aug 19 (Mon) 19:00, 0.913792, 0.914793, 0.95916, 0.910198
2019 Aug 19 (Mon) 19:30, 0.95549, 0.956245, 0.97957, 0.910886
2019 Aug 19 (Mon) 20:00, 0.968492, 0.96914, 0.986056, 0.909646
2019 Aug 19 (Mon) 20:30, 0.901607, 0.902665, 0.953252, 0.909629
2019 Aug 19 (Mon) 21:00, 0.936063, 0.936953, 0.971111, 0.909014
2019 Aug 19 (Mon) 21:30, 0.932731, 0.933646, 0.970403, 0.907542
2019 Aug 19 (Mon) 22:00, 0.933567, 0.934487, 0.972717, 0.904577
2019 Aug 19 (Mon) 22:30, 0.929408, 0.93036, 0.97245, 0.902417
2019 Aug 19 (Mon) 23:00, 0.926087, 0.927071, 0.973584, 0.899329
2019 Aug 19 (Mon) 23:30, 0.903095, 0.904213, 0.968006, 0.896173
2019 Aug 20 (Tue) 0:00, 0.934419, 0.935372, 0.982072, 0.892997
