Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.253, 322.799, -3.47694, 228.254, 322.799, -123.477, 228.253, 322.799, 116.523, 9.95635e-08, 1.40804e-07, 152.248, 
2019 Aug 19 (Mon) 0:30, 228.247, 322.791, -3.15794, 228.248, 322.791, -123.158, 228.247, 322.791, 116.842, 9.9599e-08, 1.40854e-07, 152.57, 
2019 Aug 19 (Mon) 1:00, 231.692, 327.661, -2.99481, 231.692, 327.661, -122.995, 231.691, 327.661, 117.005, 1.01136e-07, 1.43028e-07, 152.67, 
2019 Aug 19 (Mon) 1:30, 232.02, 328.126, -2.76197, 232.02, 328.126, -122.762, 232.02, 328.126, 117.238, 1.01309e-07, 1.43272e-07, 152.894, 
2019 Aug 19 (Mon) 2:00, 229.73, 324.887, -2.61294, 229.73, 324.887, -122.613, 229.73, 324.887, 117.387, 1.00333e-07, 1.41892e-07, 153.088, 
2019 Aug 19 (Mon) 2:30, 232.395, 328.656, -2.56508, 232.395, 328.656, -122.565, 232.395, 328.656, 117.435, 1.01499e-07, 1.43542e-07, 153.084, 
2019 Aug 19 (Mon) 3:00, 233.091, 329.64, -2.59418, 233.091, 329.64, -122.594, 233.091, 329.64, 117.406, 1.01797e-07, 1.43963e-07, 153.042, 
2019 Aug 19 (Mon) 3:30, 232.29, 328.508, -2.6498, 232.29, 328.508, -122.65, 232.29, 328.508, 117.35, 1.01443e-07, 1.43463e-07, 153.001, 
2019 Aug 19 (Mon) 4:00, 231.414, 327.269, -2.56849, 231.414, 327.269, -122.569, 231.414, 327.269, 117.431, 1.01071e-07, 1.42936e-07, 153.098, 
2019 Aug 19 (Mon) 4:30, 230.316, 325.716, -2.73831, 230.316, 325.716, -122.738, 230.316, 325.716, 117.262, 1.0057e-07, 1.42228e-07, 152.95, 
2019 Aug 19 (Mon) 5:00, 230.994, 326.675, -2.9101, 230.994, 326.675, -122.91, 230.994, 326.675, 117.09, 1.00847e-07, 1.42619e-07, 152.766, 
2019 Aug 19 (Mon) 5:30, 231.178, 326.935, -3.3765, 231.178, 326.935, -123.377, 231.178, 326.935, 116.623, 1.00862e-07, 1.4264e-07, 152.295, 
2019 Aug 19 (Mon) 6:00, 230.685, 326.237, -3.6542, 230.685, 326.237, -123.654, 230.685, 326.237, 116.346, 1.00615e-07, 1.42291e-07, 152.025, 
2019 Aug 19 (Mon) 6:30, 225.562, 318.992, -3.66942, 225.562, 318.992, -123.669, 225.561, 318.992, 116.331, 9.83469e-08, 1.39083e-07, 152.107, 
2019 Aug 19 (Mon) 7:00, 226.29, 320.022, -4.00112, 226.29, 320.022, -124.001, 226.29, 320.022, 115.999, 9.86258e-08, 1.39478e-07, 151.758, 
2019 Aug 19 (Mon) 7:30, 225.041, 318.255, -4.26854, 225.041, 318.256, -124.269, 225.04, 318.255, 115.731, 9.80442e-08, 1.38655e-07, 151.504, 
2019 Aug 19 (Mon) 8:00, 225.796, 319.324, -4.21796, 225.796, 319.324, -124.218, 225.796, 319.324, 115.782, 9.83735e-08, 1.39121e-07, 151.546, 
2019 Aug 19 (Mon) 8:30, 224.82, 317.944, -3.78965, 224.82, 317.944, -123.79, 224.82, 317.943, 116.21, 9.80053e-08, 1.386e-07, 152, 
2019 Aug 19 (Mon) 9:00, 225.101, 318.341, -3.7459, 225.101, 318.341, -123.746, 225.101, 318.341, 116.254, 9.8138e-08, 1.38788e-07, 152.038, 
2019 Aug 19 (Mon) 9:30, 227.563, 321.823, -3.7848, 227.563, 321.823, -123.785, 227.563, 321.822, 116.215, 9.92157e-08, 1.40312e-07, 151.949, 
2019 Aug 19 (Mon) 10:00, 229.55, 324.632, -3.69401, 229.55, 324.632, -123.694, 229.55, 324.632, 116.306, 1.00105e-07, 1.4157e-07, 152.006, 
2019 Aug 19 (Mon) 10:30, 230.904, 326.548, -3.56844, 230.904, 326.548, -123.568, 230.904, 326.548, 116.432, 1.0072e-07, 1.4244e-07, 152.109, 
2019 Aug 19 (Mon) 11:00, 229.466, 324.514, -3.5652, 229.466, 324.514, -123.565, 229.466, 324.514, 116.435, 1.00086e-07, 1.41542e-07, 152.134, 
2019 Aug 19 (Mon) 11:30, 229.282, 324.253, -3.69356, 229.282, 324.254, -123.694, 229.282, 324.253, 116.306, 9.9985e-08, 1.414e-07, 152.011, 
2019 Aug 19 (Mon) 12:00, 228.995, 323.849, -3.74596, 228.996, 323.849, -123.746, 228.995, 323.848, 116.254, 9.98553e-08, 1.41217e-07, 151.964, 
2019 Aug 19 (Mon) 12:30, 227.578, 321.844, -3.71009, 227.578, 321.844, -123.71, 227.578, 321.844, 116.29, 9.92372e-08, 1.40343e-07, 152.026, 
2019 Aug 19 (Mon) 13:00, 230.313, 325.712, -3.89985, 230.313, 325.712, -123.9, 230.313, 325.712, 116.1, 1.00416e-07, 1.4201e-07, 151.785, 
2019 Aug 19 (Mon) 13:30, 229.955, 325.206, -3.67396, 229.955, 325.206, -123.674, 229.955, 325.206, 116.326, 1.00287e-07, 1.41827e-07, 152.018, 
2019 Aug 19 (Mon) 14:00, 227.246, 321.374, -3.55368, 227.246, 321.374, -123.554, 227.246, 321.374, 116.446, 9.91101e-08, 1.40163e-07, 152.19, 
2019 Aug 19 (Mon) 14:30, 226.205, 319.902, -3.42042, 226.205, 319.902, -123.42, 226.205, 319.902, 116.58, 9.86689e-08, 1.39539e-07, 152.345, 
2019 Aug 19 (Mon) 15:00, 229.922, 325.159, -3.8859, 229.922, 325.159, -123.886, 229.922, 325.158, 116.114, 1.00244e-07, 1.41767e-07, 151.805, 
2019 Aug 19 (Mon) 15:30, 227.64, 321.932, -4.06064, 227.64, 321.932, -124.061, 227.64, 321.932, 115.939, 9.92217e-08, 1.40321e-07, 151.668, 
2019 Aug 19 (Mon) 16:00, 228.543, 323.209, -4.40785, 228.543, 323.209, -124.408, 228.543, 323.209, 115.592, 9.95736e-08, 1.40818e-07, 151.302, 
2019 Aug 19 (Mon) 16:30, 225.402, 318.767, -4.56395, 225.402, 318.767, -124.564, 225.402, 318.767, 115.436, 9.81668e-08, 1.38829e-07, 151.2, 
2019 Aug 19 (Mon) 17:00, 224.708, 317.785, -5.08526, 224.708, 317.786, -125.085, 224.708, 317.785, 114.915, 9.77853e-08, 1.38289e-07, 150.674, 
2019 Aug 19 (Mon) 17:30, 220.747, 312.183, -5.46436, 220.747, 312.184, -125.464, 220.747, 312.183, 114.536, 9.59588e-08, 1.35706e-07, 150.36, 
2019 Aug 19 (Mon) 18:00, 218.369, 308.821, -5.94791, 218.369, 308.821, -125.948, 218.369, 308.821, 114.052, 9.48284e-08, 1.34108e-07, 149.906, 
2019 Aug 19 (Mon) 18:30, 218.005, 308.305, -6.51421, 217.301, 307.309, -126.096, 209.989, 296.969, 109.929, 0.663724, 0.938647, 145.764, 
2019 Aug 19 (Mon) 19:00, 216.781, 306.575, -6.49301, 216.081, 305.585, -126.077, 208.859, 295.371, 109.967, 0.65997, 0.933338, 145.827, 
2019 Aug 19 (Mon) 19:30, 220.546, 311.899, -6.86205, 219.842, 310.904, -126.438, 212.27, 300.195, 109.558, 0.671053, 0.949012, 145.328, 
