Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8694, 131.31, -136.329, 92.8732, 131.319, 103.672, 1.25323e-05, 1.77234e-05, 112.883, 
2019 Aug 19 (Mon) 11:00, 96.8289, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 1.23735e-05, 1.74988e-05, 112.92, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 1.23507e-05, 1.74666e-05, 112.662, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 1.23184e-05, 1.74208e-05, 112.562, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 1.21639e-05, 1.72024e-05, 112.666, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 1.24605e-05, 1.76218e-05, 112.219, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.455, 137.795, -138.342, 97.4602, 137.805, 101.66, 1.24254e-05, 1.75721e-05, 112.687, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 1.21308e-05, 1.71555e-05, 112.992, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.794, -149.521, 105.236, 148.81, 90.4819, 1.20202e-05, 1.69991e-05, 113.286, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 1.24176e-05, 1.75611e-05, 112.255, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7407, 111.332, 157.425, -141.737, 111.34, 157.439, 98.2646, 1.21643e-05, 1.7203e-05, 111.949, 
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 1.22562e-05, 1.73329e-05, 111.222, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 1.19127e-05, 1.6847e-05, 110.975, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 1.18284e-05, 1.67278e-05, 109.927, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 1.14015e-05, 1.61241e-05, 109.248, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 1.1145e-05, 1.57614e-05, 108.321, 
2019 Aug 19 (Mon) 18:30, 184.556, 261.001, -28.5789, 184.451, 260.848, -148.444, 261.322, 369.562, 95.1526, 77.703, 109.889, 103.829, 
2019 Aug 19 (Mon) 19:00, 188.425, 266.473, -30.2425, 188.319, 266.32, -150.11, 263.949, 373.279, 93.909, 76.8413, 108.67, 103.916, 
2019 Aug 19 (Mon) 19:30, 182.322, 257.842, -23.7647, 182.225, 257.697, -143.624, 261.73, 370.137, 98.3657, 79.4486, 112.357, 103.043, 
2019 Aug 19 (Mon) 20:00, 173.428, 245.264, -20.8824, 173.334, 245.119, -140.738, 254.733, 360.24, 100.494, 81.1091, 114.706, 103.226, 
2019 Aug 19 (Mon) 20:30, 188.423, 266.47, -31.7586, 188.314, 266.314, -151.627, 263.03, 371.979, 92.9056, 76.3825, 108.021, 104.259, 
2019 Aug 19 (Mon) 21:00, 177.556, 251.102, -26.7807, 177.452, 250.949, -146.643, 255.805, 361.76, 96.5852, 78.8737, 111.544, 103.969, 
2019 Aug 19 (Mon) 21:30, 171.083, 241.947, -27.051, 170.977, 241.791, -146.912, 249.664, 353.074, 96.6642, 79.3547, 112.224, 104.488, 
2019 Aug 19 (Mon) 22:00, 156.354, 221.118, -26.4163, 156.247, 220.957, -146.275, 236.349, 334.243, 97.6804, 80.8321, 114.314, 105.429, 
2019 Aug 19 (Mon) 22:30, 146.577, 207.29, -26.6903, 146.469, 207.128, -146.548, 227.173, 321.265, 97.9681, 81.6313, 115.444, 106.169, 
2019 Aug 19 (Mon) 23:00, 131.949, 186.603, -26.6673, 131.843, 186.441, -146.523, 213.688, 302.194, 98.7395, 82.9671, 117.333, 107.188, 
2019 Aug 19 (Mon) 23:30, 120.258, 170.07, -29.3521, 120.153, 169.908, -149.208, 201.644, 285.161, 97.9586, 83.4965, 118.082, 108.363, 
2019 Aug 20 (Tue) 0:00, 99.1629, 140.237, -24.3035, 99.0763, 140.089, -144.153, 184.559, 260.994, 102.033, 86.4666, 122.282, 109.17, 
