Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 99.0412, 140.065, -24.2462, 99.051, 140.054, -144.242, 99.0585, 140.068, 95.7599, 1.22421e-05, 1.73129e-05, 113.126, 
2019 Aug 19 (Mon) 0:30, 93.6157, 132.393, -26.82, 93.6251, 132.38, -146.816, 93.6328, 132.394, 93.1868, 1.22472e-05, 1.73201e-05, 113.777, 
2019 Aug 19 (Mon) 1:00, 79.7551, 112.791, -18.0587, 79.773, 112.784, -138.055, 79.7764, 112.793, 101.946, 1.26308e-05, 1.78627e-05, 114.037, 
2019 Aug 19 (Mon) 1:30, 74.4351, 105.267, -18.9334, 74.4546, 105.26, -138.93, 74.4578, 105.269, 101.071, 1.26719e-05, 1.79207e-05, 114.505, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.333, 112.161, -147.865, 79.3395, 112.174, 92.1378, 1.24204e-05, 1.75651e-05, 114.858, 
2019 Aug 19 (Mon) 2:30, 69.6636, 98.5191, -19.4319, 69.6846, 98.5127, -139.428, 69.6874, 98.5212, 100.573, 1.27174e-05, 1.79852e-05, 114.899, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4923, -16.458, 68.2499, 96.4877, -136.455, 68.2518, 96.4943, 103.546, 1.27949e-05, 1.80947e-05, 114.825, 
2019 Aug 19 (Mon) 3:30, 71.55, 101.187, -18.9985, 71.5703, 101.181, -138.995, 71.5732, 101.189, 101.006, 1.27042e-05, 1.79664e-05, 114.728, 
2019 Aug 19 (Mon) 4:00, 72.7755, 102.92, -22.938, 72.7956, 102.911, -142.934, 72.7999, 102.922, 97.0682, 1.26079e-05, 1.78303e-05, 114.913, 
2019 Aug 19 (Mon) 4:30, 79.3825, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4047, 112.266, 95.1839, 1.24829e-05, 1.76535e-05, 114.589, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2635, 113.48, 98.9296, 1.25549e-05, 1.77553e-05, 114.224, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4521, 125.062, -136.807, 88.4558, 125.07, 103.194, 1.25664e-05, 1.77715e-05, 113.268, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0998, 134.465, -136.414, 95.1038, 134.474, 103.587, 1.25064e-05, 1.76867e-05, 112.712, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 1.1946e-05, 1.68942e-05, 112.793, 
2019 Aug 19 (Mon) 7:00, 114.561, 162.014, -25.1651, 114.566, 162.001, -145.162, 114.575, 162.017, 94.8406, 1.20188e-05, 1.69971e-05, 112.101, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9262, 1.18792e-05, 1.67997e-05, 111.583, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 1.19614e-05, 1.6916e-05, 111.671, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.179, 164.288, -149.672, 116.189, 164.303, 90.3306, 1.18641e-05, 1.67784e-05, 112.564, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 1.18952e-05, 1.68223e-05, 112.648, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 1.21609e-05, 1.71981e-05, 112.513, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 1.23802e-05, 1.75083e-05, 112.656, 
