Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 213.349, 301.721, -12.7926, 209.406, 296.145, -134.989, 207.213, 293.043, 104.353, 1.25832, 1.77953, -52.9433, 
2019 Aug 19 (Mon) 0:30, 213.502, 301.938, -12.5144, 209.582, 296.394, -134.719, 207.405, 293.315, 104.614, 1.26063, 1.7828, -52.4914, 
2019 Aug 19 (Mon) 1:00, 216.39, 306.021, -12.4875, 212.352, 300.311, -134.715, 210.066, 297.079, 104.601, 1.28886, 1.82272, -52.5515, 
2019 Aug 19 (Mon) 1:30, 216.777, 306.569, -12.2956, 212.743, 300.865, -134.53, 210.459, 297.634, 104.777, 1.29323, 1.82891, -52.2503, 
2019 Aug 19 (Mon) 2:00, 214.985, 304.034, -12.0886, 211.048, 298.468, -134.314, 208.849, 295.357, 104.998, 1.27634, 1.80502, -51.8454, 
2019 Aug 19 (Mon) 2:30, 217.184, 307.144, -12.1366, 213.15, 301.44, -134.378, 210.863, 298.205, 104.922, 1.29771, 1.83524, -52.0036, 
2019 Aug 19 (Mon) 3:00, 217.735, 307.924, -12.1854, 213.674, 302.18, -134.43, 211.361, 298.909, 104.868, 1.30298, 1.84269, -52.1036, 
2019 Aug 19 (Mon) 3:30, 217.055, 306.962, -12.2069, 213.019, 301.255, -134.446, 210.731, 298.019, 104.857, 1.29623, 1.83315, -52.1145, 
2019 Aug 19 (Mon) 4:00, 216.382, 306.011, -12.1065, 212.386, 300.359, -134.343, 210.132, 297.172, 104.961, 1.28995, 1.82426, -51.9254, 
2019 Aug 19 (Mon) 4:30, 215.4, 304.622, -12.2177, 211.433, 299.011, -134.444, 209.207, 295.863, 104.87, 1.28, 1.8102, -52.0726, 
2019 Aug 19 (Mon) 5:00, 215.865, 305.28, -12.3903, 211.86, 299.615, -134.616, 209.603, 296.423, 104.7, 1.28402, 1.81589, -52.373, 
2019 Aug 19 (Mon) 5:30, 215.778, 305.156, -12.8026, 211.732, 299.434, -135.018, 209.445, 296.2, 104.31, 1.28192, 1.81291, -53.0474, 
2019 Aug 19 (Mon) 6:00, 215.237, 304.391, -13.0277, 211.19, 298.667, -135.233, 208.906, 295.438, 104.105, 1.27597, 1.80449, -53.398, 
2019 Aug 19 (Mon) 6:30, 211.062, 298.487, -12.8708, 207.206, 293.033, -135.048, 205.093, 290.045, 104.31, 1.23598, 1.74794, -52.9885, 
2019 Aug 19 (Mon) 7:00, 211.496, 299.1, -13.1838, 207.589, 293.575, -135.357, 205.436, 290.53, 104.007, 1.23925, 1.75256, -53.5193, 
2019 Aug 19 (Mon) 7:30, 210.352, 297.483, -13.3752, 206.473, 291.997, -135.535, 204.349, 288.992, 103.841, 1.22769, 1.73621, -53.7926, 
2019 Aug 19 (Mon) 8:00, 210.99, 298.386, -13.3561, 207.087, 292.865, -135.521, 204.94, 289.829, 103.851, 1.23388, 1.74497, -53.7845, 
2019 Aug 19 (Mon) 8:30, 210.4, 297.551, -12.951, 206.563, 292.124, -135.121, 204.468, 289.162, 104.243, 1.22937, 1.7386, -53.0962, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 2.28708e-07, 3.23442e-07, 27.0454, 
2019 Aug 19 (Mon) 9:30, 228.319, 322.892, -3.73801, 228.319, 322.892, -123.738, 228.319, 322.892, 116.262, 2.34044e-07, 3.30989e-07, 26.7761, 
2019 Aug 19 (Mon) 10:00, 230.236, 325.603, -3.63794, 230.236, 325.604, -123.638, 230.236, 325.603, 116.362, 2.38548e-07, 3.37358e-07, 26.8217, 
2019 Aug 19 (Mon) 10:30, 231.537, 327.443, -3.50824, 231.537, 327.443, -123.508, 231.537, 327.443, 116.492, 2.41724e-07, 3.41849e-07, 26.9897, 
2019 Aug 19 (Mon) 11:00, 230.143, 325.471, -3.51395, 230.143, 325.471, -123.514, 230.143, 325.471, 116.486, 2.38521e-07, 3.3732e-07, 27.103, 
2019 Aug 19 (Mon) 11:30, 229.977, 325.236, -3.63916, 229.977, 325.236, -123.639, 229.976, 325.236, 116.361, 2.37952e-07, 3.36515e-07, 26.8427, 
2019 Aug 19 (Mon) 12:00, 229.704, 324.851, -3.69158, 229.704, 324.851, -123.692, 229.704, 324.851, 116.308, 2.37252e-07, 3.35526e-07, 26.7517, 
2019 Aug 19 (Mon) 12:30, 228.327, 322.903, -3.66573, 228.327, 322.903, -123.666, 228.327, 322.902, 116.334, 2.34168e-07, 3.31163e-07, 26.9343, 
2019 Aug 19 (Mon) 13:00, 230.997, 326.679, -3.83224, 230.997, 326.679, -123.832, 230.997, 326.679, 116.168, 2.39991e-07, 3.39399e-07, 26.3246, 
2019 Aug 19 (Mon) 13:30, 230.628, 326.157, -3.61606, 230.628, 326.157, -123.616, 230.628, 326.157, 116.384, 2.39476e-07, 3.3867e-07, 26.8343, 
2019 Aug 19 (Mon) 14:00, 227.989, 322.425, -3.51667, 227.989, 322.425, -123.517, 227.989, 322.425, 116.483, 2.33627e-07, 3.30399e-07, 27.294, 
2019 Aug 19 (Mon) 14:30, 226.966, 320.979, -3.3945, 226.966, 320.979, -123.395, 226.966, 320.979, 116.605, 2.31508e-07, 3.27402e-07, 27.6575, 
2019 Aug 19 (Mon) 15:00, 230.616, 326.14, -3.82114, 230.616, 326.141, -123.821, 230.616, 326.14, 116.179, 2.39137e-07, 3.38191e-07, 26.3837, 
2019 Aug 19 (Mon) 15:30, 228.421, 323.037, -4.00405, 228.421, 323.037, -124.004, 228.421, 323.037, 115.996, 2.33879e-07, 3.30755e-07, 26.1804, 
2019 Aug 19 (Mon) 16:00, 229.331, 324.323, -4.33397, 229.331, 324.323, -124.334, 229.331, 324.323, 115.666, 2.3544e-07, 3.32962e-07, 25.37, 
2019 Aug 19 (Mon) 16:30, 226.301, 320.038, -4.50415, 226.301, 320.038, -124.504, 226.301, 320.038, 115.496, 2.28387e-07, 3.22987e-07, 25.2727, 
2019 Aug 19 (Mon) 17:00, 225.678, 319.157, -5.01179, 225.678, 319.157, -125.012, 225.678, 319.157, 114.988, 2.2627e-07, 3.19994e-07, 24.2099, 
2019 Aug 19 (Mon) 17:30, 221.874, 313.777, -5.40251, 221.874, 313.777, -125.403, 221.874, 313.777, 114.597, 2.17382e-07, 3.07424e-07, 23.7022, 
2019 Aug 19 (Mon) 18:00, 219.615, 310.582, -5.884, 219.615, 310.582, -125.884, 219.615, 310.582, 114.116, 2.11854e-07, 2.99607e-07, 22.853, 
2019 Aug 19 (Mon) 18:30, 205.325, 290.374, -13.9734, 199.423, 282.027, -136.848, 199.131, 281.614, 103.165, 0.616457, 0.871802, 3.80964, 
2019 Aug 19 (Mon) 19:00, 204.383, 289.041, -13.8894, 198.59, 280.849, -136.742, 198.302, 280.442, 103.272, 0.607827, 0.859598, 4.11036, 
