Time, 10_EV, 11_EV, 12_EV, 14_EV, 15_EV, 16_EV, 17_EV, 18_EV, 19_EV, 1_EV, 20_EV, 23_EV, 24_EV, 25_EV, 26_EV, 27_EV, 30_EV, 31_EV, 32_EV, 33_EV, 34_EV, 35_EV, 36_EV, 39_EV, 3_EV, 40_EV, 41_EV, 42_EV, 43_EV, 45_EV, 46_EV, 47_EV, 48_EV, 49_EV, 4_EV, 51_EV, 52_EV, 53_EV, 54_EV, 55_EV, 56_EV, 57_EV, 58_EV, 59_EV, 5_EV, 60_EV, 61_EV, 62_EV, 64_EV, 66_EV, 6_EV, 7_EV, 8_EV, 9_EV, 
2019 Aug 19 (Mon) 0:00, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 0:30, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 1:00, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 1:30, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 2:00, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 2:30, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 3:00, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 3:30, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 4:00, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 4:30, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 5:00, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 5:30, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 6:00, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 6:30, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 7:00, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
2019 Aug 19 (Mon) 7:30, 7400, 7400, 0, 0, 0, 0, 0, 0, 7400, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 0, 7400, 7400, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 0, 7400, 0, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 7400, 7400, 7400, 
