Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.993859, 0.996208, 0.995559, 0.986168
2019 Aug 19 (Mon) 0:30, 0.992826, 0.995545, 0.994906, 0.985944
2019 Aug 19 (Mon) 1:00, 0.997422, 0.998553, 0.998003, 0.987024
2019 Aug 19 (Mon) 1:30, 0.997358, 0.99852, 0.99797, 0.986978
2019 Aug 19 (Mon) 2:00, 0.99367, 0.996154, 0.99553, 0.98609
2019 Aug 19 (Mon) 2:30, 0.997417, 0.998563, 0.998018, 0.986972
2019 Aug 19 (Mon) 3:00, 0.998195, 0.999041, 0.998549, 0.987223
2019 Aug 19 (Mon) 3:30, 0.997455, 0.998584, 0.998041, 0.986994
2019 Aug 19 (Mon) 4:00, 0.996189, 0.997788, 0.997195, 0.986642
2019 Aug 19 (Mon) 4:30, 0.99501, 0.997019, 0.9964, 0.986381
2019 Aug 19 (Mon) 5:00, 0.996407, 0.997912, 0.997319, 0.986731
2019 Aug 19 (Mon) 5:30, 0.997555, 0.998626, 0.998079, 0.987107
2019 Aug 19 (Mon) 6:00, 0.99753, 0.998603, 0.998051, 0.987127
2019 Aug 19 (Mon) 6:30, 0.989559, 0.993267, 0.992642, 0.98533
2019 Aug 19 (Mon) 7:00, 0.992223, 0.995056, 0.994391, 0.985831
2019 Aug 19 (Mon) 7:30, 0.990919, 0.994131, 0.993465, 0.985564
2019 Aug 19 (Mon) 8:00, 0.992106, 0.994954, 0.994283, 0.985804
2019 Aug 19 (Mon) 8:30, 0.988513, 0.992527, 0.991915, 0.985141
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.823447
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.824357
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.82509
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.825589
2019 Aug 19 (Mon) 11:00, 0.956762, 0.95678, 0.956788, 0.825077
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.824994
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.824884
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.824373
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.825338
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.825239
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.824269
2019 Aug 19 (Mon) 14:30, 0.897797, 0.897825, 0.897847, 0.823899
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.825199
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.824356
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.824648
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.82348
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.823179
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.821653
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.92238, 0.820708
2019 Aug 19 (Mon) 18:30, 0.982996, 0.988484, 0.987871, 0.809791
2019 Aug 19 (Mon) 19:00, 0.979777, 0.986279, 0.98562, 0.809387
2019 Aug 19 (Mon) 19:30, 0.98985, 0.993053, 0.992574, 0.810886
2019 Aug 19 (Mon) 20:00, 0.993345, 0.995454, 0.995051, 0.811434
2019 Aug 19 (Mon) 20:30, 0.977107, 0.984527, 0.983824, 0.809019
2019 Aug 19 (Mon) 21:00, 0.986346, 0.990806, 0.990244, 0.810197
2019 Aug 19 (Mon) 21:30, 0.986623, 0.991087, 0.990518, 0.810132
2019 Aug 19 (Mon) 22:00, 0.988812, 0.99269, 0.992145, 0.810255
2019 Aug 19 (Mon) 22:30, 0.98949, 0.993232, 0.992688, 0.81021
2019 Aug 19 (Mon) 23:00, 0.990975, 0.994298, 0.993772, 0.810239
2019 Aug 19 (Mon) 23:30, 0.990227, 0.993966, 0.993403, 0.809895
2019 Aug 20 (Tue) 0:00, 0.995249, 0.997077, 0.996656, 0.810622
