Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 319.637, 452.035, -19.1453, 370.114, 523.414, -139.98, 386.975, 547.259, 98.9513, 57.3842, 81.1535, 136.598, 
2019 Aug 19 (Mon) 0:30, 313.887, 443.903, -19.3814, 364.541, 515.532, -140.129, 381.601, 539.66, 98.8286, 57.6452, 81.5227, 137.127, 
2019 Aug 19 (Mon) 1:00, 307.773, 435.257, -16.6026, 359.434, 508.31, -137.797, 376.921, 533.041, 100.979, 59.2291, 83.7626, 136.689, 
2019 Aug 19 (Mon) 1:30, 303.207, 428.8, -16.4611, 355.098, 502.178, -137.648, 372.769, 527.17, 101.125, 59.5677, 84.2415, 137.006, 
2019 Aug 19 (Mon) 2:00, 302.51, 427.813, -18.5387, 353.886, 500.464, -139.341, 371.442, 525.292, 99.5784, 58.7246, 83.0491, 137.722, 
2019 Aug 19 (Mon) 2:30, 299.261, 423.219, -16.2557, 351.37, 496.906, -137.451, 369.206, 522.131, 101.314, 59.8967, 84.7067, 137.255, 
2019 Aug 19 (Mon) 3:00, 299.273, 423.236, -15.6283, 351.53, 497.134, -136.939, 369.404, 522.412, 101.781, 60.168, 85.0905, 137.065, 
2019 Aug 19 (Mon) 3:30, 300.915, 425.558, -16.2951, 352.944, 499.132, -137.495, 370.714, 524.264, 101.27, 59.779, 84.5403, 137.136, 
2019 Aug 19 (Mon) 4:00, 300.135, 424.455, -17.1104, 351.994, 497.788, -138.154, 369.741, 522.886, 100.669, 59.4766, 84.1126, 137.45, 
2019 Aug 19 (Mon) 4:30, 304.239, 430.259, -17.9437, 355.705, 503.035, -138.869, 373.237, 527.831, 100.007, 58.8663, 83.2495, 137.394, 
2019 Aug 19 (Mon) 5:00, 306.786, 433.862, -17.2485, 358.327, 506.744, -138.319, 375.809, 531.469, 100.503, 59.0069, 83.4483, 136.971, 
2019 Aug 19 (Mon) 5:30, 315.214, 445.78, -16.8097, 366.506, 518.311, -138.021, 383.693, 542.618, 100.759, 58.689, 82.9987, 136.163, 
2019 Aug 19 (Mon) 6:00, 320.704, 453.543, -17.0559, 371.698, 525.654, -138.262, 388.658, 549.641, 100.527, 58.2492, 82.3768, 135.805, 
2019 Aug 19 (Mon) 6:30, 325.954, 460.968, -21.1577, 375.557, 531.113, -141.7, 392.022, 554.399, 97.3551, 56.114, 79.3572, 136.837, 
2019 Aug 19 (Mon) 7:00, 331.039, 468.16, -20.334, 380.681, 538.359, -141.057, 397.021, 561.468, 97.9358, 56.1469, 79.4037, 136.137, 
2019 Aug 19 (Mon) 7:30, 337.132, 476.776, -21.1028, 386.278, 546.274, -141.746, 402.328, 568.974, 97.2869, 55.4229, 78.3798, 135.955, 
2019 Aug 19 (Mon) 8:00, 335.416, 474.35, -20.5603, 384.803, 544.188, -141.279, 400.961, 567.04, 97.7208, 55.7714, 78.8726, 135.881, 
2019 Aug 19 (Mon) 8:30, 328.942, 465.195, -21.6439, 378.263, 534.941, -142.13, 394.576, 558.011, 96.9519, 55.713, 78.7901, 136.793, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 2.35253e-05, 3.32699e-05, 172.477, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 2.40797e-05, 3.40538e-05, 172.299, 
2019 Aug 19 (Mon) 10:00, 98.9653, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 2.45399e-05, 3.47047e-05, 172.419, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8695, 131.31, -136.329, 92.8733, 131.319, 103.672, 2.48607e-05, 3.51583e-05, 172.638, 
2019 Aug 19 (Mon) 11:00, 96.829, 136.937, -20.4242, 96.8422, 136.928, -140.421, 96.8481, 136.94, 99.5809, 2.45291e-05, 3.46893e-05, 172.699, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7467, 141.036, -140.031, 99.7527, 141.048, 99.9704, 2.44783e-05, 3.46175e-05, 172.431, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 2.44092e-05, 3.45198e-05, 172.328, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 2.40878e-05, 3.40654e-05, 172.459, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 2.47024e-05, 3.49344e-05, 171.947, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.4551, 137.795, -138.342, 97.4602, 137.805, 101.66, 2.46348e-05, 3.48388e-05, 172.447, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8788, 2.40222e-05, 3.39725e-05, 172.808, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.795, -149.521, 105.236, 148.81, 90.482, 2.37946e-05, 3.36506e-05, 173.135, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 2.46131e-05, 3.48082e-05, 171.992, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.333, 157.425, -141.737, 111.34, 157.439, 98.2646, 2.40798e-05, 3.4054e-05, 171.704, 
