Time, 13 (5), , , , , , , 33 (27), , , , , , , 4 (34), , , , , , , 56 (52), , , , , , , 58 (54), , , , , , , 5 (45), , , , , , , 60 (57), , , , , , , 63 (60), , , , , , , 66 (63), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 5:00, 230.679, 231.134, 0.91482, 100, 0, 0.45741, 0, 230.584, 231.047, 0.913589, 100, 0, 0.456795, 0, 230.866, 231.305, 0.917167, 100, 0, 0.458583, 0, 230.96, 231.391, 0.918325, 100, 0, 0.459163, 0, 230.959, 231.39, 0.918323, 100, 0, 0.459162, 0, 230.678, 231.133, 0.914798, 100, 0, 0.457399, 0, 230.96, 231.391, 0.918327, 100, 0, 0.459163, 0, 230.866, 231.305, 0.917164, 100, 0, 0.458582, 0, 230.866, 231.305, 0.917164, 100, 0, 0.458582, 0, 
2019 Aug 19 (Mon) 5:30, 230.819, 231.134, 0.965398, 100, 0, 0.482699, 0, 230.717, 231.047, 0.964553, 100, 0, 0.482276, 0, 231.019, 231.305, 0.967015, 100, 0, 0.483507, 0, 231.12, 231.391, 0.967812, 100, 0, 0.483906, 0, 231.12, 231.39, 0.967812, 100, 0, 0.483906, 0, 230.818, 231.133, 0.965384, 100, 0, 0.482692, 0, 231.12, 231.391, 0.967813, 100, 0, 0.483906, 0, 231.019, 231.305, 0.967011, 100, 0, 0.483506, 0, 231.019, 231.305, 0.967011, 100, 0, 0.483506, 0, 
2019 Aug 19 (Mon) 6:00, 230.297, 231.134, 0.976028, 100, 0, 0.488014, 0, 230.188, 231.047, 0.974726, 100, 0, 0.487363, 0, 230.511, 231.305, 0.978529, 100, 0, 0.489264, 0, 230.619, 231.391, 0.979763, 100, 0, 0.489881, 0, 230.619, 231.39, 0.979764, 100, 0, 0.489882, 0, 230.295, 231.133, 0.976009, 100, 0, 0.488004, 0, 230.619, 231.391, 0.979761, 100, 0, 0.489881, 0, 230.511, 231.305, 0.978523, 100, 0, 0.489262, 0, 230.511, 231.305, 0.978523, 100, 0, 0.489262, 0, 
2019 Aug 19 (Mon) 6:30, 225.153, 231.134, 0.936277, 100, 0, 0.468138, 0, 225.016, 231.047, 0.934156, 100, 0, 0.467078, 0, 225.418, 231.305, 0.940341, 100, 0, 0.470171, 0, 225.552, 231.391, 0.942348, 100, 0, 0.471174, 0, 225.552, 231.39, 0.942349, 100, 0, 0.471175, 0, 225.15, 231.133, 0.936243, 100, 0, 0.468121, 0, 225.552, 231.391, 0.942347, 100, 0, 0.471174, 0, 225.418, 231.305, 0.940334, 100, 0, 0.470167, 0, 225.418, 231.305, 0.940334, 100, 0, 0.470167, 0, 
2019 Aug 19 (Mon) 7:00, 225.852, 231.134, 0.544612, 100, 0, 0.272306, 0, 225.714, 231.047, 0.537788, 100, 0, 0.268894, 0, 226.121, 231.305, 0.557573, 100, 0, 0.278786, 0, 226.256, 231.391, 0.563981, 100, 0, 0.28199, 0, 226.256, 231.39, 0.563974, 100, 0, 0.281987, 0, 225.85, 231.133, 0.544473, 100, 0, 0.272236, 0, 226.257, 231.391, 0.563988, 100, 0, 0.281994, 0, 226.121, 231.305, 0.557553, 100, 0, 0.278776, 0, 226.121, 231.305, 0.557553, 100, 0, 0.278776, 0, 
2019 Aug 19 (Mon) 7:30, 224.572, 231.134, 0.597848, 100, 0, 0.298924, 0, 224.423, 231.047, 0.591247, 100, 0, 0.295624, 0, 224.862, 231.305, 0.610386, 100, 0, 0.305193, 0, 225.008, 231.391, 0.616586, 100, 0, 0.308293, 0, 225.008, 231.39, 0.616579, 100, 0, 0.30829, 0, 224.57, 231.133, 0.597714, 100, 0, 0.298857, 0, 225.009, 231.391, 0.616592, 100, 0, 0.308296, 0, 224.862, 231.305, 0.610366, 100, 0, 0.305183, 0, 224.862, 231.305, 0.610366, 100, 0, 0.305183, 0, 
2019 Aug 19 (Mon) 8:00, 225.336, 231.134, 0.50042, 100, 0, 0.25021, 0, 225.192, 231.047, 0.492322, 100, 0, 0.246161, 0, 225.617, 231.305, 0.515784, 100, 0, 0.257892, 0, 225.758, 231.391, 0.523382, 100, 0, 0.261691, 0, 225.758, 231.39, 0.523376, 100, 0, 0.261688, 0, 225.333, 231.133, 0.500248, 100, 0, 0.250124, 0, 225.758, 231.391, 0.523389, 100, 0, 0.261695, 0, 225.616, 231.305, 0.515757, 100, 0, 0.257879, 0, 225.616, 231.305, 0.515757, 100, 0, 0.257879, 0, 
2019 Aug 19 (Mon) 8:30, 224.397, 231.134, 0.558556, 100, 0, 0.279278, 0, 224.255, 231.047, 0.551217, 100, 0, 0.275608, 0, 224.674, 231.305, 0.572489, 100, 0, 0.286244, 0, 224.813, 231.391, 0.579379, 100, 0, 0.289689, 0, 224.813, 231.39, 0.579373, 100, 0, 0.289687, 0, 224.394, 231.133, 0.558403, 100, 0, 0.279201, 0, 224.813, 231.391, 0.579385, 100, 0, 0.289693, 0, 224.673, 231.305, 0.572465, 100, 0, 0.286233, 0, 224.673, 231.305, 0.572465, 100, 0, 0.286233, 0, 
2019 Aug 19 (Mon) 9:00, 224.683, 231.134, 0.487059, 100, 0, 0.24353, 0, 224.543, 231.047, 0.479396, 100, 0, 0.239698, 0, 224.956, 231.305, 0.501604, 100, 0, 0.250802, 0, 225.093, 231.391, 0.508796, 100, 0, 0.254398, 0, 225.093, 231.39, 0.508789, 100, 0, 0.254395, 0, 224.681, 231.133, 0.486899, 100, 0, 0.24345, 0, 225.093, 231.391, 0.508804, 100, 0, 0.254402, 0, 224.956, 231.305, 0.50158, 100, 0, 0.25079, 0, 224.956, 231.305, 0.50158, 100, 0, 0.25079, 0, 
2019 Aug 19 (Mon) 9:30, 227.151, 231.134, 0.508873, 100, 0, 0.254436, 0, 227.023, 231.047, 0.501525, 100, 0, 0.250762, 0, 227.4, 231.305, 0.522822, 100, 0, 0.261411, 0, 227.526, 231.391, 0.529719, 100, 0, 0.264859, 0, 227.525, 231.39, 0.529712, 100, 0, 0.264856, 0, 227.149, 231.133, 0.508721, 100, 0, 0.25436, 0, 227.526, 231.391, 0.529727, 100, 0, 0.264863, 0, 227.4, 231.305, 0.522799, 100, 0, 0.2614, 0, 227.4, 231.305, 0.522799, 100, 0, 0.2614, 0, 
2019 Aug 19 (Mon) 10:00, 229.154, 231.134, 0.696733, 100, 0, 0.348366, 0, 229.038, 231.047, 0.691584, 100, 0, 0.345792, 0, 229.381, 231.305, 0.706526, 100, 0, 0.353263, 0, 229.495, 231.391, 0.711366, 100, 0, 0.355683, 0, 229.494, 231.39, 0.711362, 100, 0, 0.355681, 0, 229.152, 231.133, 0.696632, 100, 0, 0.348316, 0, 229.495, 231.391, 0.711372, 100, 0, 0.355686, 0, 229.38, 231.305, 0.706511, 100, 0, 0.353256, 0, 229.38, 231.305, 0.706511, 100, 0, 0.353256, 0, 
2019 Aug 19 (Mon) 10:30, 230.525, 231.134, 0.849249, 100, 0, 0.424624, 0, 230.419, 231.047, 0.846037, 100, 0, 0.423019, 0, 230.735, 231.305, 0.855377, 100, 0, 0.427689, 0, 230.84, 231.391, 0.858405, 100, 0, 0.429202, 0, 230.84, 231.39, 0.858404, 100, 0, 0.429202, 0, 230.524, 231.133, 0.849191, 100, 0, 0.424596, 0, 230.84, 231.391, 0.858407, 100, 0, 0.429203, 0, 230.735, 231.305, 0.855368, 100, 0, 0.427684, 0, 230.735, 231.305, 0.855368, 100, 0, 0.427684, 0, 
2019 Aug 19 (Mon) 11:00, 229.082, 231.134, 0.953694, 100, 0, 0.476847, 0, 228.968, 231.047, 0.951887, 100, 0, 0.475944, 0, 229.306, 231.305, 0.95716, 100, 0, 0.47858, 0, 229.418, 231.391, 0.95887, 100, 0, 0.479435, 0, 229.418, 231.39, 0.958872, 100, 0, 0.479436, 0, 229.081, 231.133, 0.953666, 100, 0, 0.476833, 0, 229.418, 231.391, 0.958869, 100, 0, 0.479435, 0, 229.305, 231.305, 0.957153, 100, 0, 0.478576, 0, 229.305, 231.305, 0.957153, 100, 0, 0.478576, 0, 
2019 Aug 19 (Mon) 11:30, 228.885, 231.134, 0.843805, 100, 0, 0.421902, 0, 228.768, 231.047, 0.840688, 100, 0, 0.420344, 0, 229.114, 231.305, 0.849751, 100, 0, 0.424875, 0, 229.23, 231.391, 0.852687, 100, 0, 0.426344, 0, 229.229, 231.39, 0.852686, 100, 0, 0.426343, 0, 228.883, 231.133, 0.843749, 100, 0, 0.421875, 0, 229.23, 231.391, 0.852689, 100, 0, 0.426345, 0, 229.114, 231.305, 0.849741, 100, 0, 0.424871, 0, 229.114, 231.305, 0.849741, 100, 0, 0.424871, 0, 
2019 Aug 19 (Mon) 12:00, 228.592, 231.134, 0.828772, 100, 0, 0.414386, 0, 228.473, 231.047, 0.825316, 100, 0, 0.412658, 0, 228.826, 231.305, 0.835363, 100, 0, 0.417681, 0, 228.944, 231.391, 0.838619, 100, 0, 0.419309, 0, 228.944, 231.39, 0.838617, 100, 0, 0.419308, 0, 228.591, 231.133, 0.828709, 100, 0, 0.414355, 0, 228.944, 231.391, 0.838621, 100, 0, 0.41931, 0, 228.826, 231.305, 0.835352, 100, 0, 0.417676, 0, 228.826, 231.305, 0.835352, 100, 0, 0.417676, 0, 
2019 Aug 19 (Mon) 12:30, 227.173, 231.134, 0.806507, 100, 0, 0.403253, 0, 227.047, 231.047, 0.80272, 100, 0, 0.40136, 0, 227.42, 231.305, 0.813726, 100, 0, 0.406863, 0, 227.544, 231.391, 0.817292, 100, 0, 0.408646, 0, 227.544, 231.39, 0.81729, 100, 0, 0.408645, 0, 227.171, 231.133, 0.806437, 100, 0, 0.403219, 0, 227.544, 231.391, 0.817295, 100, 0, 0.408647, 0, 227.42, 231.305, 0.813714, 100, 0, 0.406857, 0, 227.42, 231.305, 0.813714, 100, 0, 0.406857, 0, 
2019 Aug 19 (Mon) 13:00, 229.901, 231.134, 0.69845, 100, 0, 0.349225, 0, 229.785, 231.047, 0.693414, 100, 0, 0.346707, 0, 230.126, 231.305, 0.708028, 100, 0, 0.354014, 0, 230.24, 231.391, 0.712762, 100, 0, 0.356381, 0, 230.24, 231.39, 0.712757, 100, 0, 0.356379, 0, 229.899, 231.133, 0.698352, 100, 0, 0.349176, 0, 230.24, 231.391, 0.712767, 100, 0, 0.356383, 0, 230.126, 231.305, 0.708014, 100, 0, 0.354007, 0, 230.126, 231.305, 0.708014, 100, 0, 0.354007, 0, 
