Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 224.833, 317.962, -5.95032, 226.527, 320.357, -124.724, 228.269, 322.821, 116.516, 0.25205, 0.356453, 172.361, 
2019 Aug 19 (Mon) 0:30, 226.594, 320.452, -4.41435, 226.589, 320.445, -124.408, 226.592, 320.45, 115.586, 0.0362199, 0.0512227, 88.3573, 
2019 Aug 19 (Mon) 1:00, 229.305, 324.286, -4.37515, 232.028, 328.136, -123.045, 231.701, 327.674, 117.102, 0.266868, 0.377409, 30.9043, 
2019 Aug 19 (Mon) 1:30, 232.02, 328.126, -2.76197, 232.02, 328.126, -122.762, 232.02, 328.126, 117.238, 1.58549e-07, 2.24223e-07, 103.145, 
2019 Aug 19 (Mon) 2:00, 229.73, 324.887, -2.61294, 229.73, 324.887, -122.613, 229.73, 324.887, 117.387, 1.56783e-07, 2.21725e-07, 103.354, 
2019 Aug 19 (Mon) 2:30, 232.395, 328.656, -2.56508, 232.395, 328.656, -122.565, 232.395, 328.656, 117.435, 1.58881e-07, 2.24692e-07, 103.364, 
2019 Aug 19 (Mon) 3:00, 233.091, 329.64, -2.59418, 233.091, 329.64, -122.594, 233.091, 329.64, 117.406, 1.59422e-07, 2.25457e-07, 103.321, 
2019 Aug 19 (Mon) 3:30, 232.29, 328.508, -2.6498, 232.29, 328.508, -122.65, 232.29, 328.508, 117.35, 1.58782e-07, 2.24552e-07, 103.269, 
2019 Aug 19 (Mon) 4:00, 231.414, 327.269, -2.56849, 231.414, 327.269, -122.569, 231.414, 327.269, 117.431, 1.5811e-07, 2.23602e-07, 103.377, 
2019 Aug 19 (Mon) 4:30, 230.316, 325.716, -2.73831, 230.316, 325.716, -122.738, 230.316, 325.716, 117.262, 1.57216e-07, 2.22338e-07, 103.2, 
2019 Aug 19 (Mon) 5:00, 230.994, 326.675, -2.9101, 230.994, 326.675, -122.91, 230.994, 326.675, 117.09, 1.57721e-07, 2.23051e-07, 102.992, 
2019 Aug 19 (Mon) 5:30, 231.178, 326.935, -3.3765, 231.178, 326.935, -123.377, 231.178, 326.935, 116.623, 1.57772e-07, 2.23123e-07, 102.452, 
2019 Aug 19 (Mon) 6:00, 230.685, 326.237, -3.6542, 230.685, 326.237, -123.654, 230.685, 326.237, 116.346, 1.57333e-07, 2.22502e-07, 102.14, 
2019 Aug 19 (Mon) 6:30, 225.562, 318.992, -3.66942, 225.562, 318.992, -123.669, 225.561, 318.992, 116.331, 1.53318e-07, 2.16825e-07, 102.214, 
2019 Aug 19 (Mon) 7:00, 226.29, 320.022, -4.00112, 226.29, 320.022, -124.001, 226.29, 320.022, 115.999, 1.53816e-07, 2.17529e-07, 101.822, 
2019 Aug 19 (Mon) 7:30, 225.041, 318.255, -4.26854, 225.041, 318.256, -124.269, 225.04, 318.255, 115.731, 1.5278e-07, 2.16064e-07, 101.533, 
