Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 156.404, 221.189, -18.7274, 127.744, 180.637, -140.654, 99.1091, 140.139, 95.7998, 51.0936, 72.2572, -39.6626, 
2019 Aug 19 (Mon) 0:30, 122.011, 172.55, -22.2063, 121.902, 172.376, -142.254, 122.034, 172.566, 97.788, 0.174702, 0.247065, 74.9383, 
2019 Aug 19 (Mon) 1:00, 109.82, 155.309, -15.0986, 79.8021, 112.825, -138.071, 79.7807, 112.799, 101.972, 30.3801, 42.964, -7.35527, 
2019 Aug 19 (Mon) 1:30, 74.4351, 105.267, -18.9334, 74.4546, 105.26, -138.93, 74.4578, 105.269, 101.071, 7.32718e-06, 1.03622e-05, -35.6896, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.3331, 112.161, -147.865, 79.3395, 112.174, 92.1378, 7.17843e-06, 1.01518e-05, -35.3629, 
2019 Aug 19 (Mon) 2:30, 69.6637, 98.5191, -19.4319, 69.6846, 98.5127, -139.428, 69.6874, 98.5212, 100.573, 7.35259e-06, 1.03981e-05, -35.2841, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4924, -16.458, 68.2499, 96.4877, -136.455, 68.2518, 96.4943, 103.546, 7.39825e-06, 1.04627e-05, -35.3495, 
2019 Aug 19 (Mon) 3:30, 71.55, 101.187, -18.9985, 71.5703, 101.181, -138.995, 71.5732, 101.189, 101.006, 7.34534e-06, 1.03879e-05, -35.4586, 
2019 Aug 19 (Mon) 4:00, 72.7756, 102.92, -22.938, 72.7956, 102.911, -142.934, 72.7999, 102.922, 97.0682, 7.28828e-06, 1.03072e-05, -35.283, 
2019 Aug 19 (Mon) 4:30, 79.3825, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4047, 112.266, 95.1839, 7.21599e-06, 1.0205e-05, -35.6274, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2634, 113.48, 98.9296, 7.25945e-06, 1.02664e-05, -35.9884, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4521, 125.062, -136.807, 88.4558, 125.07, 103.194, 7.26961e-06, 1.02808e-05, -36.9584, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0998, 134.465, -136.414, 95.1038, 134.474, 103.587, 7.23637e-06, 1.02338e-05, -37.5306, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 6.90739e-06, 9.76853e-06, -37.5215, 
2019 Aug 19 (Mon) 7:00, 114.562, 162.014, -25.1651, 114.566, 162.001, -145.162, 114.575, 162.017, 94.8406, 6.95229e-06, 9.83202e-06, -38.215, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9262, 6.87235e-06, 9.71896e-06, -38.7575, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 6.92041e-06, 9.78694e-06, -38.6591, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.18, 164.288, -149.672, 116.189, 164.303, 90.3306, 6.86006e-06, 9.70159e-06, -37.7651, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 6.87801e-06, 9.72697e-06, -37.6771, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 7.03433e-06, 9.94805e-06, -37.7757, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.984, 139.961, 100.688, 7.16266e-06, 1.01295e-05, -37.6023, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8694, 131.31, -136.329, 92.8732, 131.319, 103.672, 7.25101e-06, 1.02545e-05, -37.3537, 
2019 Aug 19 (Mon) 11:00, 96.8289, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 7.15762e-06, 1.01224e-05, -37.3355, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 7.14537e-06, 1.01051e-05, -37.6002, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 7.12678e-06, 1.00788e-05, -37.707, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 7.03577e-06, 9.95008e-06, -37.6209, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 7.21141e-06, 1.01985e-05, -38.036, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.455, 137.795, -138.342, 97.4601, 137.805, 101.66, 7.18883e-06, 1.01665e-05, -37.565, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 7.01499e-06, 9.92069e-06, -37.2956, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.794, -149.521, 105.236, 148.81, 90.4819, 6.94924e-06, 9.82771e-06, -37.0108, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 7.18607e-06, 1.01626e-05, -38.0027, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.332, 157.425, -141.737, 111.34, 157.439, 98.2646, 7.03844e-06, 9.95386e-06, -38.3474, 
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 7.09499e-06, 1.00338e-05, -39.0744, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 6.89422e-06, 9.74989e-06, -39.3713, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 6.84809e-06, 9.68466e-06, -40.4419, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 6.60022e-06, 9.33412e-06, -41.1929, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 6.45267e-06, 9.12546e-06, -42.1733, 
2019 Aug 19 (Mon) 18:30, 184.382, 260.756, -28.5212, 184.376, 260.743, -148.519, 184.386, 260.757, 91.4822, 6.38012e-06, 9.02285e-06, -43.0099, 
2019 Aug 19 (Mon) 19:00, 188.251, 266.227, -30.1858, 188.244, 266.214, -150.184, 188.253, 266.227, 89.8174, 6.30691e-06, 8.91932e-06, -42.959, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2994, 6.53278e-06, 9.23874e-06, -43.7368, 
2019 Aug 19 (Mon) 20:00, 200.968, 284.211, -19.9027, 201.058, 284.328, -139.918, 173.314, 245.093, 99.1925, 27.8022, 39.3182, -74.4589, 
2019 Aug 19 (Mon) 20:30, 213.316, 301.675, -29.4779, 213.405, 301.797, -149.492, 188.295, 266.287, 88.3093, 26.1619, 36.9985, -73.5745, 
2019 Aug 19 (Mon) 21:00, 177.385, 250.861, -26.7221, 177.38, 250.847, -146.72, 177.391, 250.863, 93.2817, 6.47803e-06, 9.16132e-06, -42.8124, 
2019 Aug 19 (Mon) 21:30, 197.239, 278.938, -25.1267, 170.997, 241.819, -147.015, 170.942, 241.742, 93.0491, 26.7664, 37.8534, -13.2752, 
2019 Aug 19 (Mon) 22:00, 183.159, 259.025, -24.2948, 156.291, 221.02, -146.333, 182.855, 258.589, 95.7758, 27.1664, 38.4191, 47.1819, 
2019 Aug 19 (Mon) 22:30, 146.518, 207.207, -26.6619, 146.435, 207.08, -146.582, 173.239, 244.99, 95.7377, 27.3623, 38.6962, 108.319, 
2019 Aug 19 (Mon) 23:00, 159.312, 225.301, -23.6924, 159.251, 225.204, -143.775, 131.863, 186.47, 93.3943, 28.1903, 39.8672, -70.0541, 
2019 Aug 19 (Mon) 23:30, 147.369, 208.411, -25.3907, 174.344, 246.549, -143.347, 147.467, 208.539, 94.5479, 27.3896, 38.7347, -132.271, 
2019 Aug 20 (Tue) 0:00, 127.644, 180.516, -20.5915, 127.675, 180.54, -140.603, 127.848, 180.788, 99.4375, 0.225009, 0.31821, 123.432, 
