Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.975097, 0.961399, 0.935071, 0.882319
2019 Aug 19 (Mon) 0:30, 0.952014, 0.951721, 0.951982, 0.965843
2019 Aug 19 (Mon) 1:00, 0.98203, 0.965374, 0.96557, 0.905646
2019 Aug 19 (Mon) 1:30, 0.960235, 0.960252, 0.960259, 0.598658
2019 Aug 19 (Mon) 2:00, 0.904246, 0.904278, 0.904302, 0.591411
2019 Aug 19 (Mon) 2:30, 0.956797, 0.956815, 0.956823, 0.597643
2019 Aug 19 (Mon) 3:00, 0.970694, 0.970706, 0.97071, 0.599624
2019 Aug 19 (Mon) 3:30, 0.959377, 0.959394, 0.959401, 0.598209
2019 Aug 19 (Mon) 4:00, 0.937282, 0.937307, 0.93732, 0.595216
2019 Aug 19 (Mon) 4:30, 0.926439, 0.926467, 0.926483, 0.594161
2019 Aug 19 (Mon) 5:00, 0.949946, 0.949966, 0.949976, 0.59759
2019 Aug 19 (Mon) 5:30, 0.972417, 0.972429, 0.972433, 0.60277
2019 Aug 19 (Mon) 6:00, 0.975055, 0.975066, 0.975069, 0.604401
2019 Aug 19 (Mon) 6:30, 0.903489, 0.903516, 0.903536, 0.591548
2019 Aug 19 (Mon) 7:00, 0.93226, 0.932283, 0.932296, 0.596982
2019 Aug 19 (Mon) 7:30, 0.928108, 0.92813, 0.928144, 0.596586
2019 Aug 19 (Mon) 8:00, 0.935594, 0.935616, 0.935628, 0.598064
2019 Aug 19 (Mon) 8:30, 0.899441, 0.899467, 0.899487, 0.590883
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.591171
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.597942
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.602004
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.604065
2019 Aug 19 (Mon) 11:00, 0.956761, 0.95678, 0.956788, 0.600465
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.601336
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.601189
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.597217
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.606042
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.602783
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.594721
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.590601
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.604933
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.601074
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.607031
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.600775
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.604704
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.59866
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.597883
2019 Aug 19 (Mon) 18:30, 0.925649, 0.925662, 0.925672, 0.599576
2019 Aug 19 (Mon) 19:00, 0.914187, 0.914199, 0.91421, 0.59597
2019 Aug 19 (Mon) 19:30, 0.95579, 0.955802, 0.955809, 0.610396
2019 Aug 19 (Mon) 20:00, 0.977201, 0.977153, 0.968817, 0.816608
2019 Aug 19 (Mon) 20:30, 0.925899, 0.925818, 0.902133, 0.806726
2019 Aug 19 (Mon) 21:00, 0.936413, 0.936427, 0.936436, 0.602711
2019 Aug 19 (Mon) 21:30, 0.950798, 0.932952, 0.933374, 0.878002
2019 Aug 19 (Mon) 22:00, 0.952674, 0.934107, 0.953012, 0.78169
2019 Aug 19 (Mon) 22:30, 0.929589, 0.930118, 0.950795, 0.861754
2019 Aug 19 (Mon) 23:00, 0.951195, 0.950708, 0.926493, 0.994614
2019 Aug 19 (Mon) 23:30, 0.938251, 0.956191, 0.937873, 0.877376
2019 Aug 20 (Tue) 0:00, 0.961696, 0.961643, 0.961876, 0.481073
