Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.989, 323.84, -3.44291, 225.503, 318.91, -125.875, 227.233, 321.357, 115.302, 0.58513, 0.827499, 80.8506, 
2019 Aug 19 (Mon) 0:30, 228.92, 323.742, -3.12787, 228.92, 323.742, -123.128, 228.92, 323.742, 116.872, 1.12766e-07, 1.59476e-07, 83.2587, 
2019 Aug 19 (Mon) 1:00, 230.547, 326.043, -4.19166, 228.73, 323.472, -125.484, 232.258, 328.462, 117.047, 0.401576, 0.567914, -179.536, 
2019 Aug 19 (Mon) 1:30, 230.844, 326.462, -3.96695, 232.514, 328.824, -122.724, 232.561, 328.89, 117.275, 0.515341, 0.728803, -155.205, 
2019 Aug 19 (Mon) 2:00, 230.302, 325.697, -2.59158, 230.302, 325.697, -122.592, 230.302, 325.697, 117.408, 1.14918e-07, 1.62518e-07, 84.6543, 
2019 Aug 19 (Mon) 2:30, 232.881, 329.344, -2.52867, 232.881, 329.344, -122.529, 232.881, 329.344, 117.471, 1.18528e-07, 1.67624e-07, 84.6694, 
2019 Aug 19 (Mon) 3:00, 233.559, 330.302, -2.55254, 233.559, 330.302, -122.553, 233.559, 330.302, 117.447, 1.19467e-07, 1.68951e-07, 84.5625, 
2019 Aug 19 (Mon) 3:30, 232.789, 329.213, -2.61128, 232.789, 329.213, -122.611, 232.789, 329.213, 117.389, 1.18357e-07, 1.67383e-07, 84.4482, 
2019 Aug 19 (Mon) 4:00, 231.931, 328, -2.53804, 231.931, 328, -122.538, 231.931, 328, 117.462, 1.17197e-07, 1.65742e-07, 84.7019, 
2019 Aug 19 (Mon) 4:30, 230.884, 326.519, -2.70915, 230.884, 326.519, -122.709, 230.884, 326.519, 117.291, 1.15661e-07, 1.63569e-07, 84.295, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 1.16515e-07, 1.64777e-07, 83.8078, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 1.16606e-07, 1.64906e-07, 82.5552, 
2019 Aug 19 (Mon) 6:00, 231.333, 327.154, -3.5925, 231.333, 327.154, -123.593, 231.333, 327.154, 116.407, 1.15852e-07, 1.6384e-07, 81.833, 
2019 Aug 19 (Mon) 6:30, 226.367, 320.132, -3.63917, 226.368, 320.132, -123.639, 226.367, 320.132, 116.361, 1.09088e-07, 1.54274e-07, 81.9953, 
2019 Aug 19 (Mon) 7:00, 227.106, 321.177, -3.95499, 227.106, 321.177, -123.955, 227.106, 321.177, 116.045, 1.09936e-07, 1.55473e-07, 81.0762, 
2019 Aug 19 (Mon) 7:30, 225.921, 319.501, -4.22116, 225.921, 319.501, -124.221, 225.921, 319.501, 115.779, 1.0824e-07, 1.53074e-07, 80.4055, 
2019 Aug 19 (Mon) 8:00, 226.649, 320.53, -4.16755, 226.649, 320.53, -124.168, 226.649, 320.53, 115.832, 1.09232e-07, 1.54477e-07, 80.5132, 
2019 Aug 19 (Mon) 8:30, 225.66, 319.132, -3.76005, 225.661, 319.132, -123.76, 225.66, 319.132, 116.24, 1.0809e-07, 1.52863e-07, 81.7015, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 1.08469e-07, 1.53398e-07, 81.8074, 
2019 Aug 19 (Mon) 9:30, 228.319, 322.892, -3.73801, 228.319, 322.892, -123.738, 228.319, 322.892, 116.262, 1.11668e-07, 1.57922e-07, 81.6065, 
2019 Aug 19 (Mon) 10:00, 230.236, 325.603, -3.63794, 230.236, 325.604, -123.638, 230.236, 325.603, 116.362, 1.14324e-07, 1.61679e-07, 81.7721, 
2019 Aug 19 (Mon) 10:30, 231.537, 327.443, -3.50824, 231.537, 327.443, -123.508, 231.537, 327.443, 116.492, 1.16175e-07, 1.64296e-07, 82.054, 
2019 Aug 19 (Mon) 11:00, 230.143, 325.471, -3.51394, 230.143, 325.471, -123.514, 230.143, 325.471, 116.486, 1.14254e-07, 1.61579e-07, 82.1192, 
2019 Aug 19 (Mon) 11:30, 229.977, 325.236, -3.63916, 229.977, 325.236, -123.639, 229.976, 325.236, 116.361, 1.13968e-07, 1.61175e-07, 81.7832, 
2019 Aug 19 (Mon) 12:00, 229.704, 324.851, -3.69158, 229.704, 324.851, -123.692, 229.704, 324.851, 116.308, 1.13571e-07, 1.60614e-07, 81.6543, 
2019 Aug 19 (Mon) 12:30, 228.327, 322.903, -3.66573, 228.327, 322.903, -123.666, 228.327, 322.902, 116.334, 1.1171e-07, 1.57982e-07, 81.8059, 
2019 Aug 19 (Mon) 13:00, 230.997, 326.679, -3.83224, 230.997, 326.679, -123.832, 230.997, 326.679, 116.168, 1.15278e-07, 1.63028e-07, 81.1923, 
2019 Aug 19 (Mon) 13:30, 230.628, 326.157, -3.61606, 230.628, 326.157, -123.616, 230.628, 326.157, 116.384, 1.14871e-07, 1.62452e-07, 81.8094, 
2019 Aug 19 (Mon) 14:00, 227.989, 322.425, -3.51667, 227.989, 322.425, -123.517, 227.989, 322.425, 116.483, 1.11321e-07, 1.57432e-07, 82.2381, 
2019 Aug 19 (Mon) 14:30, 226.966, 320.979, -3.3945, 226.966, 320.979, -123.395, 226.966, 320.979, 116.605, 1.1e-07, 1.55563e-07, 82.6368, 
2019 Aug 19 (Mon) 15:00, 230.616, 326.14, -3.82114, 230.616, 326.141, -123.821, 230.616, 326.14, 116.179, 1.1476e-07, 1.62295e-07, 81.2445, 
2019 Aug 19 (Mon) 15:30, 228.421, 323.037, -4.00405, 228.421, 323.037, -124.004, 228.421, 323.037, 115.996, 1.11686e-07, 1.57948e-07, 80.8645, 
