Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 99.0628, 140.096, -24.1122, 155.692, 220.166, -138.903, 128.089, 181.128, 99.4074, 50.585, 71.5381, -161.022, 
2019 Aug 19 (Mon) 0:30, 93.6157, 132.393, -26.82, 93.6251, 132.38, -146.816, 93.6328, 132.394, 93.1868, 2.03964e-05, 2.88449e-05, -126.253, 
2019 Aug 19 (Mon) 1:00, 109.226, 154.469, -15.2326, 140.014, 197.992, -133.989, 79.8302, 112.869, 102.036, 52.0648, 73.6308, -99.3831, 
2019 Aug 19 (Mon) 1:30, 103.915, 146.958, -15.6225, 74.5818, 105.44, -138.995, 74.4679, 105.283, 101.189, 29.6192, 41.8879, -7.51035, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.3331, 112.161, -147.865, 79.3395, 112.174, 92.1378, 2.06866e-05, 2.92553e-05, -125.167, 
2019 Aug 19 (Mon) 2:30, 69.6637, 98.5191, -19.4319, 69.6846, 98.5128, -139.428, 69.6874, 98.5212, 100.573, 2.11844e-05, 2.99593e-05, -125.127, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4924, -16.458, 68.25, 96.4878, -136.455, 68.2518, 96.4943, 103.546, 2.13141e-05, 3.01427e-05, -125.202, 
2019 Aug 19 (Mon) 3:30, 71.55, 101.187, -18.9985, 71.5704, 101.181, -138.995, 71.5732, 101.189, 101.006, 2.11621e-05, 2.99277e-05, -125.298, 
2019 Aug 19 (Mon) 4:00, 72.7756, 102.92, -22.938, 72.7957, 102.911, -142.934, 72.7999, 102.922, 97.0682, 2.10009e-05, 2.96998e-05, -125.112, 
2019 Aug 19 (Mon) 4:30, 79.3825, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4047, 112.266, 95.1839, 2.07913e-05, 2.94033e-05, -125.437, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2635, 113.48, 98.9296, 2.09118e-05, 2.95737e-05, -125.805, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4522, 125.062, -136.807, 88.4558, 125.07, 103.194, 2.09306e-05, 2.96004e-05, -126.767, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0999, 134.465, -136.414, 95.1039, 134.474, 103.587, 2.08297e-05, 2.94577e-05, -127.326, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 1.98914e-05, 2.81307e-05, -127.242, 
2019 Aug 19 (Mon) 7:00, 114.562, 162.014, -25.1651, 114.566, 162.001, -145.162, 114.575, 162.017, 94.8406, 2.00129e-05, 2.83025e-05, -127.939, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9262, 1.9779e-05, 2.79717e-05, -128.459, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 1.99168e-05, 2.81667e-05, -128.372, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.18, 164.288, -149.672, 116.189, 164.303, 90.3306, 1.97539e-05, 2.79362e-05, -127.472, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 1.9806e-05, 2.801e-05, -127.389, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 2.02514e-05, 2.86398e-05, -127.524, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 2.06188e-05, 2.91593e-05, -127.382, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8695, 131.31, -136.329, 92.8732, 131.319, 103.672, 2.08733e-05, 2.95193e-05, -127.155, 
2019 Aug 19 (Mon) 11:00, 96.8289, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 2.06074e-05, 2.91433e-05, -127.116, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 2.05694e-05, 2.90895e-05, -127.376, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 2.0515e-05, 2.90126e-05, -127.477, 
