Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 1.28309, 1.28816, 1.30728, 1.33389, 1.36278, 1.3938, 1.42485, 1.2836, 1.3121, 1.31219, 1.28825, 1.28834, 1.28843, 
2019 Aug 19 (Mon) 0:30, 5.16563e-05, 5.00076e-05, 6.51124e-05, 7.19416e-05, 7.94576e-05, 8.44974e-05, 8.58817e-05, 4.94764e-05, 5.39949e-05, 5.58802e-05, 5.66361e-05, 6.30731e-05, 6.38999e-05, 
2019 Aug 19 (Mon) 1:00, 1.35628, 1.36069, 1.3544, 1.32133, 1.29014, 1.29073, 1.29083, 1.36079, 1.3609, 1.361, 1.36079, 1.3609, 1.361, 
2019 Aug 19 (Mon) 1:30, 0.780232, 0.767197, 0.829467, 0.880299, 0.932477, 0.96765, 0.967718, 0.767249, 0.767297, 0.767349, 0.767243, 0.767295, 0.767346, 
2019 Aug 19 (Mon) 2:00, 4.98942e-05, 4.89146e-05, 6.03452e-05, 6.7596e-05, 7.36279e-05, 7.89345e-05, 8.2131e-05, 4.67225e-05, 4.86635e-05, 5.13377e-05, 5.50708e-05, 5.69482e-05, 5.9091e-05, 
2019 Aug 19 (Mon) 2:30, 3.07269e-05, 2.9877e-05, 3.72126e-05, 4.14029e-05, 4.66811e-05, 4.8485e-05, 4.90718e-05, 2.61833e-05, 3.05333e-05, 3.15518e-05, 3.22577e-05, 3.30214e-05, 3.41161e-05, 
2019 Aug 19 (Mon) 3:00, 2.26838e-05, 2.12866e-05, 2.99469e-05, 3.44926e-05, 3.54055e-05, 3.89328e-05, 3.97181e-05, 2.02085e-05, 2.31313e-05, 2.38699e-05, 2.49192e-05, 2.48651e-05, 2.50892e-05, 
2019 Aug 19 (Mon) 3:30, 2.91619e-05, 2.90924e-05, 3.76024e-05, 4.11213e-05, 4.58871e-05, 5.00915e-05, 4.90839e-05, 2.61888e-05, 2.95402e-05, 3.13044e-05, 3.38684e-05, 3.41226e-05, 3.64471e-05, 
2019 Aug 19 (Mon) 4:00, 3.82992e-05, 3.6402e-05, 4.69635e-05, 5.46439e-05, 5.89224e-05, 6.2303e-05, 6.30987e-05, 3.68551e-05, 3.65674e-05, 4.09178e-05, 4.12349e-05, 4.4539e-05, 4.50254e-05, 
2019 Aug 19 (Mon) 4:30, 4.37536e-05, 4.30312e-05, 5.60207e-05, 6.42134e-05, 6.96924e-05, 7.28303e-05, 7.27629e-05, 4.16355e-05, 4.37262e-05, 4.65949e-05, 4.8232e-05, 5.03043e-05, 5.34898e-05, 
2019 Aug 19 (Mon) 5:00, 3.77506e-05, 3.81122e-05, 4.86283e-05, 5.35664e-05, 5.84751e-05, 6.24584e-05, 6.32466e-05, 3.63509e-05, 3.79804e-05, 3.82747e-05, 4.20707e-05, 4.31752e-05, 4.37553e-05, 
2019 Aug 19 (Mon) 5:30, 3.18344e-05, 3.0939e-05, 3.72184e-05, 4.41087e-05, 4.75931e-05, 4.92296e-05, 5.06074e-05, 2.94829e-05, 3.10185e-05, 3.24136e-05, 3.34361e-05, 3.50893e-05, 3.61772e-05, 
2019 Aug 19 (Mon) 6:00, 3.1896e-05, 2.99212e-05, 3.92596e-05, 4.37667e-05, 4.75887e-05, 5.14645e-05, 5.32173e-05, 2.82127e-05, 3.06464e-05, 3.18238e-05, 3.31324e-05, 3.65156e-05, 3.82251e-05, 
2019 Aug 19 (Mon) 6:30, 5.85685e-05, 5.65565e-05, 6.91693e-05, 7.96004e-05, 8.58831e-05, 8.88493e-05, 8.94112e-05, 5.54282e-05, 5.85874e-05, 5.96487e-05, 6.33894e-05, 6.71121e-05, 6.76749e-05, 
2019 Aug 19 (Mon) 7:00, 5.5473e-05, 5.39083e-05, 6.86002e-05, 7.68421e-05, 8.29133e-05, 8.62246e-05, 8.96573e-05, 5.22053e-05, 5.56996e-05, 5.59838e-05, 6.07476e-05, 6.39873e-05, 6.45786e-05, 
