Time, 11_EV, 13_EV, 17_EV, 23_EV, 30_EV, 35_EV, 37_EV, 40_EV, 41_EV, 45_EV, 48_EV, 4_EV, 51_EV, 52_EV, 54_EV, 55_EV, 57_EV, 
2019 Aug 19 (Mon) 17:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 17:30, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 18:00, 100, 100, 98.6111, 99.1863, 98.0929, 100, 100, 100, 100, 98.5178, 100, 100, 100, 100, 99.3753, 100, 99.3928, 
2019 Aug 19 (Mon) 18:30, 92.0513, 92.0513, 90.6624, 91.2376, 90.1441, 92.0513, 92.0513, 92.0513, 92.0513, 90.5691, 92.0513, 92.0513, 92.0513, 92.0513, 91.4266, 92.0513, 91.4441, 
2019 Aug 19 (Mon) 19:00, 92.0513, 92.0513, 90.6624, 91.2376, 90.1441, 92.0513, 92.0513, 92.0513, 92.0513, 90.5691, 92.0513, 92.0513, 92.0513, 92.0513, 91.4266, 92.0513, 91.4441, 
2019 Aug 19 (Mon) 19:30, 92.0513, 92.0513, 90.6624, 91.2376, 90.1441, 92.0513, 92.0513, 92.0513, 92.0513, 90.5691, 92.0513, 92.0513, 92.0513, 92.0513, 91.4266, 92.0513, 91.4441, 
2019 Aug 19 (Mon) 20:00, 92.0513, 92.0513, 90.6624, 91.2376, 90.1441, 92.0513, 92.0513, 92.0513, 92.0513, 90.5691, 92.0513, 92.0513, 92.0513, 92.0513, 91.4266, 92.0513, 91.4441, 
2019 Aug 19 (Mon) 20:30, 92.0513, 92.0513, 90.6624, 91.2376, 90.1441, 92.0513, 92.0513, 92.0513, 92.0513, 90.5691, 92.0513, 92.0513, 97.7543, 92.0513, 91.4266, 92.0513, 91.4441, 
2019 Aug 19 (Mon) 21:00, 92.0513, 92.0513, 90.6624, 91.2376, 90.1441, 92.0513, 97.7543, 92.0513, 92.0513, 90.5691, 92.0513, 97.7543, 100, 92.0513, 91.4266, 97.7543, 91.4441, 
2019 Aug 19 (Mon) 21:30, 92.0513, 92.0513, 90.6624, 91.2376, 90.1441, 92.0513, 100, 92.0513, 92.0513, 90.5691, 92.0513, 100, 100, 92.0513, 91.4266, 100, 91.4441, 
2019 Aug 19 (Mon) 22:00, 92.0513, 92.0513, 90.6624, 91.2376, 90.1441, 92.0513, 100, 92.0513, 92.0513, 90.5691, 92.0513, 100, 100, 92.0513, 91.4266, 100, 91.4441, 
2019 Aug 19 (Mon) 22:30, 92.0513, 92.0513, 90.6624, 91.2376, 95.8739, 92.0513, 100, 92.0513, 92.0513, 90.5691, 92.0513, 100, 100, 92.0513, 91.4266, 100, 91.4441, 
2019 Aug 19 (Mon) 23:00, 92.0513, 92.0513, 90.6624, 91.2376, 100, 92.0513, 100, 92.0513, 97.7543, 90.5691, 92.0513, 100, 100, 97.7543, 91.4266, 100, 91.4441, 
2019 Aug 19 (Mon) 23:30, 92.0513, 92.0513, 90.6624, 91.2376, 100, 92.0513, 100, 92.0513, 100, 90.5691, 92.0513, 100, 100, 100, 97.1385, 100, 91.4441, 
2019 Aug 20 (Tue) 0:00, 92.0513, 92.0513, 90.6624, 91.2376, 100, 92.0513, 100, 92.0513, 100, 90.5691, 92.0513, 100, 100, 100, 100, 100, 91.4441, 
