Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.282, 322.839, -3.48406, 224.812, 317.932, -125.916, 226.534, 320.368, 115.262, 0.58698, 0.830115, 80.5687, 
2019 Aug 19 (Mon) 0:30, 228.247, 322.791, -3.15794, 228.248, 322.791, -123.158, 228.247, 322.791, 116.842, 1.94535e-07, 2.75114e-07, -74.6301, 
2019 Aug 19 (Mon) 1:00, 230.007, 325.279, -4.24077, 228.193, 322.713, -125.527, 231.692, 327.662, 117, 0.408167, 0.577235, 178.689, 
2019 Aug 19 (Mon) 1:30, 230.319, 325.72, -4.00971, 232.009, 328.111, -122.766, 232.041, 328.155, 117.238, 0.50134, 0.709002, -155.501, 
2019 Aug 19 (Mon) 2:00, 229.73, 324.887, -2.61294, 229.73, 324.887, -122.613, 229.73, 324.887, 117.387, 1.95797e-07, 2.76898e-07, -74.0778, 
2019 Aug 19 (Mon) 2:30, 232.395, 328.656, -2.56508, 232.395, 328.656, -122.565, 232.395, 328.656, 117.435, 1.9808e-07, 2.80128e-07, -74.024, 
2019 Aug 19 (Mon) 3:00, 233.091, 329.64, -2.59418, 233.091, 329.64, -122.594, 233.091, 329.64, 117.406, 1.98676e-07, 2.8097e-07, -74.0515, 
2019 Aug 19 (Mon) 3:30, 232.29, 328.508, -2.6498, 232.29, 328.508, -122.65, 232.29, 328.508, 117.35, 1.97996e-07, 2.80008e-07, -74.1089, 
2019 Aug 19 (Mon) 4:00, 231.414, 327.269, -2.56849, 231.414, 327.269, -122.569, 231.414, 327.269, 117.431, 1.9724e-07, 2.78939e-07, -74.0299, 
2019 Aug 19 (Mon) 4:30, 230.316, 325.716, -2.73831, 230.316, 325.716, -122.738, 230.316, 325.716, 117.262, 1.96303e-07, 2.77615e-07, -74.2024, 
2019 Aug 19 (Mon) 5:00, 230.994, 326.675, -2.9101, 230.994, 326.675, -122.91, 230.994, 326.675, 117.09, 1.96895e-07, 2.78451e-07, -74.375, 
2019 Aug 19 (Mon) 5:30, 231.178, 326.935, -3.3765, 231.178, 326.935, -123.377, 231.178, 326.935, 116.623, 1.97071e-07, 2.78701e-07, -74.8454, 
2019 Aug 19 (Mon) 6:00, 230.685, 326.237, -3.6542, 230.685, 326.237, -123.654, 230.685, 326.237, 116.346, 1.96655e-07, 2.78112e-07, -75.1279, 
2019 Aug 19 (Mon) 6:30, 225.562, 318.992, -3.66942, 225.562, 318.992, -123.669, 225.561, 318.992, 116.331, 1.92212e-07, 2.71829e-07, -75.1543, 
2019 Aug 19 (Mon) 7:00, 226.29, 320.022, -4.00112, 226.29, 320.022, -124.001, 226.29, 320.022, 115.999, 1.92854e-07, 2.72737e-07, -75.493, 
2019 Aug 19 (Mon) 7:30, 225.041, 318.255, -4.26854, 225.041, 318.256, -124.269, 225.04, 318.255, 115.731, 1.91771e-07, 2.71205e-07, -75.7713, 
2019 Aug 19 (Mon) 8:00, 225.796, 319.324, -4.21796, 225.796, 319.324, -124.218, 225.796, 319.324, 115.782, 1.92429e-07, 2.72136e-07, -75.7155, 
2019 Aug 19 (Mon) 8:30, 224.82, 317.943, -3.78965, 224.82, 317.944, -123.79, 224.82, 317.943, 116.21, 1.91569e-07, 2.7092e-07, -75.2796, 
2019 Aug 19 (Mon) 9:00, 225.101, 318.341, -3.7459, 225.101, 318.341, -123.746, 225.101, 318.341, 116.254, 1.91818e-07, 2.71272e-07, -75.2338, 
2019 Aug 19 (Mon) 9:30, 227.563, 321.823, -3.7848, 227.563, 321.823, -123.785, 227.563, 321.822, 116.215, 1.93959e-07, 2.743e-07, -75.2687, 
2019 Aug 19 (Mon) 10:00, 229.55, 324.632, -3.69401, 229.55, 324.632, -123.694, 229.55, 324.632, 116.306, 1.95676e-07, 2.76728e-07, -75.1714, 
2019 Aug 19 (Mon) 10:30, 230.904, 326.548, -3.56844, 230.904, 326.548, -123.568, 230.904, 326.548, 116.432, 1.9684e-07, 2.78374e-07, -75.0399, 
2019 Aug 19 (Mon) 11:00, 229.466, 324.514, -3.5652, 229.466, 324.514, -123.565, 229.466, 324.514, 116.435, 1.95598e-07, 2.76617e-07, -75.0407, 
2019 Aug 19 (Mon) 11:30, 229.282, 324.253, -3.69357, 229.282, 324.254, -123.694, 229.282, 324.253, 116.306, 1.95446e-07, 2.76402e-07, -75.1733, 
