Time, 11 (3), , , , , , , 13 (5), , , , , , , 17 (9), , , , , , , 23 (16), , , , , , , 30 (24), , , , , , , 35 (29), , , , , , , 37 (31), , , , , , , 40 (35), , , , , , , 41 (36), , , , , , , 45 (40), , , , , , , 48 (43), , , , , , , 4 (34), , , , , , , 51 (47), , , , , , , 52 (48), , , , , , , 54 (50), , , , , , , 55 (51), , , , , , , 57 (53), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 5:00, 230.679, 231.134, 0.914822, 100, 0, 0.457411, 0, 230.679, 231.134, 0.91482, 100, 0, 0.45741, 0, 230.305, 230.791, 0.909916, 98.6111, 0.0173611, 0.463638, 0, 230.866, 231.305, 0.917168, 99.1863, 0.0101707, 0.46367, 0, 230.678, 231.133, 0.914801, 98.0929, 0.0238393, 0.46932, 0, 230.584, 231.047, 0.913594, 100, 0, 0.456797, 0, 229.837, 230.362, 0.903405, 100, 0, 0.451703, 0, 229.837, 230.362, 0.903405, 100, 0, 0.451703, 0, 229.837, 230.362, 0.903409, 100, 0, 0.451704, 0, 229.744, 230.276, 0.902057, 98.5178, 0.0185276, 0.460292, 0, 229.744, 230.276, 0.902057, 100, 0, 0.451028, 0, 230.866, 231.305, 0.917167, 100, 0, 0.458583, 0, 231.148, 231.563, 0.920609, 100, 0, 0.460304, 0, 231.147, 231.563, 0.920606, 100, 0, 0.460303, 0, 231.148, 231.563, 0.920609, 99.3753, 0.00780815, 0.464208, 0, 230.959, 231.39, 0.918323, 100, 0, 0.459162, 0, 230.96, 231.391, 0.918327, 99.3928, 0.00758993, 0.462958, 0, 
2019 Aug 19 (Mon) 5:30, 230.819, 231.134, 0.965398, 100, 0, 0.482699, 0, 230.819, 231.134, 0.965398, 100, 0, 0.482699, 0, 230.417, 230.791, 0.962021, 98.6111, 0.0173611, 0.489691, 0, 231.019, 231.305, 0.967014, 99.1863, 0.0101707, 0.488592, 0, 230.818, 231.133, 0.965385, 98.0929, 0.0238393, 0.494612, 0, 230.717, 231.047, 0.964553, 100, 0, 0.482277, 0, 229.916, 230.362, 0.957542, 100, 0, 0.478771, 0, 229.916, 230.362, 0.957542, 100, 0, 0.478771, 0, 229.916, 230.362, 0.957542, 100, 0, 0.478771, 0, 229.815, 230.276, 0.956611, 98.5178, 0.0185276, 0.487569, 0, 229.815, 230.276, 0.956611, 100, 0, 0.478305, 0, 231.019, 231.305, 0.967015, 100, 0, 0.483507, 0, 231.321, 231.563, 0.969384, 100, 0, 0.484692, 0, 231.321, 231.563, 0.969384, 100, 0, 0.484692, 0, 231.321, 231.563, 0.969384, 99.3753, 0.00780815, 0.488596, 0, 231.12, 231.39, 0.967812, 100, 0, 0.483906, 0, 231.12, 231.391, 0.967813, 99.3928, 0.00758993, 0.487701, 0, 
2019 Aug 19 (Mon) 6:00, 230.297, 231.134, 0.976027, 100, 0, 0.488013, 0, 230.297, 231.134, 0.976028, 100, 0, 0.488014, 0, 229.867, 230.791, 0.970808, 98.6111, 0.0173611, 0.494085, 0, 230.511, 231.305, 0.978527, 99.1863, 0.0101707, 0.494349, 0, 230.296, 231.133, 0.976007, 98.0929, 0.0238393, 0.499923, 0, 230.188, 231.047, 0.974723, 100, 0, 0.487362, 0, 229.33, 230.362, 0.963892, 100, 0, 0.481946, 0, 229.33, 230.362, 0.963892, 100, 0, 0.481946, 0, 229.33, 230.362, 0.96389, 100, 0, 0.481945, 0, 229.223, 230.276, 0.962448, 98.5178, 0.0185276, 0.490488, 0, 229.223, 230.276, 0.962448, 100, 0, 0.481224, 0, 230.511, 231.305, 0.978529, 100, 0, 0.489264, 0, 230.834, 231.563, 0.982192, 100, 0, 0.491096, 0, 230.834, 231.563, 0.982194, 100, 0, 0.491097, 0, 230.834, 231.563, 0.982192, 99.3753, 0.00780815, 0.495, 0, 230.619, 231.39, 0.979764, 100, 0, 0.489882, 0, 230.619, 231.391, 0.979761, 99.3928, 0.00758993, 0.493676, 0, 
2019 Aug 19 (Mon) 6:30, 225.153, 231.134, 0.936276, 100, 0, 0.468138, 0, 225.153, 231.134, 0.936277, 100, 0, 0.468138, 0, 224.619, 230.791, 0.927789, 98.6111, 0.0173611, 0.472575, 0, 225.418, 231.305, 0.94034, 99.1863, 0.0101707, 0.475256, 0, 225.151, 231.133, 0.936242, 98.0929, 0.0238393, 0.480041, 0, 225.017, 231.047, 0.934154, 100, 0, 0.467077, 0, 223.952, 230.362, 0.916538, 100, 0, 0.458269, 0, 223.952, 230.362, 0.916538, 100, 0, 0.458269, 0, 223.953, 230.362, 0.916537, 100, 0, 0.458268, 0, 223.82, 230.276, 0.914194, 98.5178, 0.0185276, 0.466361, 0, 223.82, 230.276, 0.914194, 100, 0, 0.457097, 0, 225.418, 231.305, 0.940341, 100, 0, 0.470171, 0, 225.821, 231.563, 0.946299, 100, 0, 0.473149, 0, 225.82, 231.563, 0.9463, 100, 0, 0.47315, 0, 225.821, 231.563, 0.946299, 99.3753, 0.00780815, 0.477053, 0, 225.552, 231.39, 0.942349, 100, 0, 0.471174, 0, 225.552, 231.391, 0.942347, 99.3928, 0.00758993, 0.474969, 0, 
2019 Aug 19 (Mon) 7:00, 225.852, 231.134, 0.544621, 100, 0, 0.27231, 0, 225.852, 231.134, 0.544612, 100, 0, 0.272306, 0, 225.311, 230.791, 0.517498, 98.6111, 0.0173611, 0.26743, 0, 226.121, 231.305, 0.55758, 99.1863, 0.0101707, 0.283875, 0, 225.85, 231.133, 0.544481, 98.0929, 0.0238393, 0.28416, 0, 225.714, 231.047, 0.537805, 100, 0, 0.268902, 0, 224.636, 230.362, 0.481519, 100, 0, 0.240759, 0, 224.636, 230.362, 0.481519, 100, 0, 0.240759, 0, 224.636, 230.362, 0.481529, 100, 0, 0.240764, 0, 224.502, 230.276, 0.47405, 98.5178, 0.0185276, 0.246289, 0, 224.502, 230.276, 0.47405, 100, 0, 0.237025, 0, 226.121, 231.305, 0.557573, 100, 0, 0.278786, 0, 226.528, 231.563, 0.576617, 100, 0, 0.288309, 0, 226.528, 231.563, 0.576605, 100, 0, 0.288303, 0, 226.528, 231.563, 0.576617, 99.3753, 0.00780815, 0.292213, 0, 226.256, 231.39, 0.563974, 100, 0, 0.281987, 0, 226.257, 231.391, 0.563988, 99.3928, 0.00758993, 0.285789, 0, 
2019 Aug 19 (Mon) 7:30, 224.572, 231.134, 0.597855, 100, 0, 0.298928, 0, 224.572, 231.134, 0.597848, 100, 0, 0.298924, 0, 223.989, 230.791, 0.57162, 98.6111, 0.0173611, 0.294491, 0, 224.863, 231.305, 0.610392, 99.1863, 0.0101707, 0.310281, 0, 224.57, 231.133, 0.597721, 98.0929, 0.0238393, 0.31078, 0, 224.423, 231.047, 0.591262, 100, 0, 0.295631, 0, 223.262, 230.362, 0.536821, 100, 0, 0.26841, 0, 223.262, 230.362, 0.536821, 100, 0, 0.26841, 0, 223.262, 230.362, 0.53683, 100, 0, 0.268415, 0, 223.116, 230.276, 0.529596, 98.5178, 0.0185276, 0.274062, 0, 223.116, 230.276, 0.529596, 100, 0, 0.264798, 0, 224.862, 231.305, 0.610386, 100, 0, 0.305193, 0, 225.302, 231.563, 0.628811, 100, 0, 0.314405, 0, 225.302, 231.563, 0.628799, 100, 0, 0.3144, 0, 225.302, 231.563, 0.628811, 99.3753, 0.00780815, 0.318309, 0, 225.008, 231.39, 0.616579, 100, 0, 0.30829, 0, 225.009, 231.391, 0.616592, 99.3928, 0.00758993, 0.312091, 0, 
2019 Aug 19 (Mon) 8:00, 225.336, 231.134, 0.500428, 100, 0, 0.250214, 0, 225.336, 231.134, 0.50042, 100, 0, 0.25021, 0, 224.771, 230.791, 0.468273, 98.6111, 0.0173611, 0.242817, 0, 225.617, 231.305, 0.515791, 99.1863, 0.0101707, 0.262981, 0, 225.334, 231.133, 0.500256, 98.0929, 0.0238393, 0.262048, 0, 225.192, 231.047, 0.492339, 100, 0, 0.246169, 0, 224.066, 230.362, 0.425624, 100, 0, 0.212812, 0, 224.066, 230.362, 0.425624, 100, 0, 0.212812, 0, 224.067, 230.362, 0.425634, 100, 0, 0.212817, 0, 223.926, 230.276, 0.416768, 98.5178, 0.0185276, 0.217648, 0, 223.926, 230.276, 0.416768, 100, 0, 0.208384, 0, 225.617, 231.305, 0.515784, 100, 0, 0.257892, 0, 226.042, 231.563, 0.53837, 100, 0, 0.269185, 0, 226.042, 231.563, 0.538358, 100, 0, 0.269179, 0, 226.042, 231.563, 0.53837, 99.3753, 0.00780815, 0.273089, 0, 225.758, 231.39, 0.523376, 100, 0, 0.261688, 0, 225.758, 231.391, 0.523389, 99.3928, 0.00758993, 0.26549, 0, 
2019 Aug 19 (Mon) 8:30, 224.397, 231.134, 0.558563, 100, 0, 0.279282, 0, 224.397, 231.134, 0.558556, 100, 0, 0.279278, 0, 223.841, 230.791, 0.529406, 98.6111, 0.0173611, 0.273384, 0, 224.674, 231.305, 0.572495, 99.1863, 0.0101707, 0.291333, 0, 224.394, 231.133, 0.55841, 98.0929, 0.0238393, 0.291125, 0, 224.255, 231.047, 0.551232, 100, 0, 0.275616, 0, 223.146, 230.362, 0.490734, 100, 0, 0.245367, 0, 223.146, 230.362, 0.490734, 100, 0, 0.245367, 0, 223.146, 230.362, 0.490743, 100, 0, 0.245372, 0, 223.007, 230.276, 0.482704, 98.5178, 0.0185276, 0.250616, 0, 223.007, 230.276, 0.482704, 100, 0, 0.241352, 0, 224.674, 231.305, 0.572489, 100, 0, 0.286244, 0, 225.093, 231.563, 0.592967, 100, 0, 0.296483, 0, 225.093, 231.563, 0.592956, 100, 0, 0.296478, 0, 225.093, 231.563, 0.592967, 99.3753, 0.00780815, 0.300388, 0, 224.813, 231.39, 0.579372, 100, 0, 0.289686, 0, 224.813, 231.391, 0.579385, 99.3928, 0.00758993, 0.293487, 0, 
2019 Aug 19 (Mon) 9:00, 224.684, 231.134, 0.487067, 100, 0, 0.243534, 0, 224.683, 231.134, 0.487059, 100, 0, 0.24353, 0, 224.135, 230.791, 0.456626, 98.6111, 0.0173611, 0.236994, 0, 224.956, 231.305, 0.501612, 99.1863, 0.0101707, 0.255891, 0, 224.681, 231.133, 0.486908, 98.0929, 0.0238393, 0.255374, 0, 224.544, 231.047, 0.479414, 100, 0, 0.239707, 0, 223.451, 230.362, 0.416245, 100, 0, 0.208122, 0, 223.451, 230.362, 0.416245, 100, 0, 0.208122, 0, 223.451, 230.362, 0.416255, 100, 0, 0.208128, 0, 223.315, 230.276, 0.40786, 98.5178, 0.0185276, 0.213194, 0, 223.315, 230.276, 0.40786, 100, 0, 0.20393, 0, 224.956, 231.305, 0.501604, 100, 0, 0.250802, 0, 225.369, 231.563, 0.522982, 100, 0, 0.261491, 0, 225.369, 231.563, 0.522968, 100, 0, 0.261484, 0, 225.369, 231.563, 0.522982, 99.3753, 0.00780815, 0.265395, 0, 225.093, 231.39, 0.508789, 100, 0, 0.254395, 0, 225.093, 231.391, 0.508804, 99.3928, 0.00758993, 0.258197, 0, 
2019 Aug 19 (Mon) 9:30, 227.151, 231.134, 0.508881, 100, 0, 0.254441, 0, 227.151, 231.134, 0.508873, 100, 0, 0.254436, 0, 226.65, 230.791, 0.479689, 98.6111, 0.0173611, 0.248525, 0, 227.4, 231.305, 0.522829, 99.1863, 0.0101707, 0.2665, 0, 227.149, 231.133, 0.50873, 98.0929, 0.0238393, 0.266284, 0, 227.023, 231.047, 0.501543, 100, 0, 0.250771, 0, 226.024, 230.362, 0.440963, 100, 0, 0.220481, 0, 226.024, 230.362, 0.440963, 100, 0, 0.220481, 0, 226.024, 230.362, 0.440974, 100, 0, 0.220487, 0, 225.899, 230.276, 0.432923, 98.5178, 0.0185276, 0.225725, 0, 225.899, 230.276, 0.432923, 100, 0, 0.216461, 0, 227.4, 231.305, 0.522822, 100, 0, 0.261411, 0, 227.778, 231.563, 0.543321, 100, 0, 0.27166, 0, 227.777, 231.563, 0.543309, 100, 0, 0.271654, 0, 227.778, 231.563, 0.543321, 99.3753, 0.00780815, 0.275565, 0, 227.525, 231.39, 0.529712, 100, 0, 0.264856, 0, 227.526, 231.391, 0.529726, 99.3928, 0.00758993, 0.268658, 0, 
