Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 15:30, 0.254532, 0.263938, 0.250792, 0.256416, 0.271368, 0.284497, 0.288344, 0.264272, 0.277873, 0.283582, 0.262186, 0.260534, 0.254975, 
2019 Aug 19 (Mon) 16:00, 0.26264, 0.272333, 0.258797, 0.2646, 0.280011, 0.293535, 0.297495, 0.272703, 0.286732, 0.29262, 0.270525, 0.268815, 0.263087, 
2019 Aug 19 (Mon) 16:30, 0.293001, 0.303847, 0.28869, 0.295179, 0.312425, 0.327555, 0.331984, 0.304288, 0.320014, 0.326609, 0.301811, 0.299887, 0.293467, 
2019 Aug 19 (Mon) 17:00, 0.320018, 0.331867, 0.315319, 0.322414, 0.341257, 0.357774, 0.362604, 0.332404, 0.349618, 0.356831, 0.329629, 0.327509, 0.32049, 
2019 Aug 19 (Mon) 17:30, 0.369033, 0.382747, 0.363585, 0.371792, 0.393604, 0.412715, 0.418298, 0.383435, 0.403419, 0.411783, 0.380131, 0.377654, 0.369511, 
2019 Aug 19 (Mon) 18:00, 0.409753, 0.42501, 0.403692, 0.412826, 0.437099, 0.458348, 0.464549, 0.425854, 0.448148, 0.457469, 0.422077, 0.419293, 0.410218, 
2019 Aug 19 (Mon) 18:30, 0.955787, 0.970006, 0.945808, 0.950039, 0.968767, 0.993133, 1.00306, 0.949389, 0.953877, 0.958914, 0.97544, 0.981064, 0.976738, 
2019 Aug 19 (Mon) 19:00, 0.950122, 0.9646, 0.939881, 0.944109, 0.963123, 0.988031, 0.99821, 0.943247, 0.947574, 0.952656, 0.970261, 0.976127, 0.971789, 
2019 Aug 19 (Mon) 19:30, 0.984492, 0.998928, 0.974731, 0.97939, 0.998707, 1.02301, 1.03272, 0.979774, 0.985624, 0.991028, 1.00379, 1.00882, 1.0041, 
2019 Aug 19 (Mon) 20:00, 0.987215, 1.00094, 0.97804, 0.982555, 1.00097, 1.02396, 1.0331, 0.983123, 0.98892, 0.994097, 1.00541, 1.01005, 1.00549, 
2019 Aug 19 (Mon) 20:30, 0.938996, 0.953297, 0.928743, 0.932785, 0.951451, 0.976223, 0.986418, 0.931531, 0.93531, 0.940219, 0.959142, 0.965198, 0.961032, 
2019 Aug 19 (Mon) 21:00, 0.956822, 0.97045, 0.947298, 0.951387, 0.969344, 0.992645, 1.00213, 0.950818, 0.955164, 0.959991, 0.975617, 0.980957, 0.976791, 
2019 Aug 19 (Mon) 21:30, 0.944893, 0.957784, 0.935766, 0.939502, 0.956364, 0.978544, 0.987642, 0.938568, 0.942159, 0.946597, 0.962915, 0.968215, 0.964392, 
2019 Aug 19 (Mon) 22:00, 0.92695, 0.938335, 0.918722, 0.92185, 0.936559, 0.956333, 0.964553, 0.920448, 0.922856, 0.926581, 0.943219, 0.948256, 0.945051, 
2019 Aug 19 (Mon) 22:30, 0.911748, 0.922094, 0.904116, 0.906791, 0.91999, 0.938133, 0.945772, 0.90499, 0.906491, 0.909704, 0.926859, 0.931759, 0.929008, 
2019 Aug 19 (Mon) 23:00, 0.893122, 0.902014, 0.886368, 0.888469, 0.899602, 0.915404, 0.922179, 0.88627, 0.886705, 0.889248, 0.906509, 0.911127, 0.908957, 
2019 Aug 19 (Mon) 23:30, 0.866348, 0.873821, 0.86034, 0.861759, 0.870781, 0.884433, 0.890478, 0.858855, 0.857845, 0.859644, 0.878262, 0.88282, 0.881322, 
2019 Aug 20 (Tue) 0:00, 0.867438, 0.873579, 0.862558, 0.86378, 0.871219, 0.882348, 0.887262, 0.861505, 0.860784, 0.862269, 0.877155, 0.880814, 0.879543, 
