Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 32.5914, 46.091, -21.9039, 63.4552, 89.7224, -132.848, 23.3851, 33.0472, 98.4109, 39.125, 55.33, -114.661, 
2019 Aug 19 (Mon) 0:30, 30.8038, 43.5629, -24.6937, 61.4137, 86.8338, -133.853, 22.1063, 31.2357, 95.5948, 38.9316, 55.0565, -115.411, 
2019 Aug 19 (Mon) 1:00, 25.9765, 36.7362, -16.0302, 57.6271, 81.4864, -128.967, 18.6139, 26.3076, 104.235, 37.4581, 52.973, -115.022, 
2019 Aug 19 (Mon) 1:30, 24.219, 34.2507, -17.0622, 55.8508, 78.9742, -129.099, 17.3545, 24.5253, 103.183, 37.1869, 52.5894, -115.519, 
2019 Aug 19 (Mon) 2:00, 25.9816, 36.7433, -26.1075, 56.6594, 80.1102, -133.352, 18.6409, 26.3328, 94.1322, 38.015, 53.7603, -116.392, 
2019 Aug 19 (Mon) 2:30, 22.6406, 32.0185, -17.6934, 54.2815, 76.7548, -129.051, 16.2228, 22.9243, 102.535, 36.9217, 52.2144, -115.925, 
2019 Aug 19 (Mon) 3:00, 22.1298, 31.2962, -14.6975, 53.9958, 76.3535, -127.759, 15.8498, 22.4013, 105.531, 36.6629, 51.8486, -115.695, 
2019 Aug 19 (Mon) 3:30, 23.2612, 32.8962, -17.2027, 54.9164, 77.6529, -128.976, 16.6673, 23.5534, 103.033, 37.013, 52.3435, -115.737, 
2019 Aug 19 (Mon) 4:00, 23.7201, 33.5452, -21.2004, 55.0232, 77.8005, -130.713, 17.0055, 24.026, 99.0308, 37.3142, 52.7693, -116.134, 
2019 Aug 19 (Mon) 4:30, 25.9584, 36.7105, -22.9735, 56.9864, 80.5748, -131.985, 18.6176, 26.3033, 97.2747, 37.8522, 53.5301, -115.959, 
2019 Aug 19 (Mon) 5:00, 26.1878, 37.0351, -19.1075, 57.5798, 81.4168, -130.349, 18.7734, 26.5287, 101.153, 37.6835, 53.2916, -115.388, 
2019 Aug 19 (Mon) 5:30, 28.8505, 40.8006, -14.5234, 60.5237, 85.5835, -128.722, 20.6738, 29.2224, 105.775, 37.8995, 53.5972, -114.216, 
2019 Aug 19 (Mon) 6:00, 31.0672, 43.9355, -13.9442, 62.7192, 88.6885, -128.737, 22.2643, 31.4724, 106.379, 38.273, 54.1253, -113.671, 
2019 Aug 19 (Mon) 6:30, 37.0082, 52.3372, -26.5579, 67.0881, 94.8579, -136.044, 26.5799, 37.5629, 93.7802, 40.328, 57.0314, -114.829, 
