Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 18:00, 233.06, 329.596, -2.02383, 232.725, 329.123, -121.964, 234.346, 331.416, 118.509, 0.254124, 0.359367, 137.851, 
2019 Aug 19 (Mon) 18:30, 232.706, 329.096, -2.17128, 230.728, 326.298, -123.39, 234.046, 330.991, 118.399, 0.29878, 0.422524, 119.969, 
2019 Aug 19 (Mon) 19:00, 232.27, 328.479, -2.1759, 230.298, 325.691, -123.387, 233.709, 330.515, 118.398, 0.30745, 0.434787, 118.987, 
2019 Aug 19 (Mon) 19:30, 233.647, 330.427, -2.26144, 231.627, 327.57, -123.494, 234.76, 332, 118.323, 0.286107, 0.404597, 123.819, 
2019 Aug 19 (Mon) 20:00, 234.409, 331.504, -2.1961, 232.391, 328.651, -123.441, 235.352, 332.838, 118.368, 0.26848, 0.379666, 125.086, 
2019 Aug 19 (Mon) 20:30, 232, 328.097, -2.12947, 230.046, 325.334, -123.337, 233.507, 330.228, 118.436, 0.310418, 0.438986, 117.685, 
2019 Aug 19 (Mon) 21:00, 233.259, 329.878, -2.12313, 231.282, 327.083, -123.351, 234.477, 331.601, 118.432, 0.285651, 0.403955, 120.645, 
2019 Aug 19 (Mon) 21:30, 233.429, 330.118, -2.02835, 231.474, 327.353, -123.26, 234.619, 331.801, 118.503, 0.2774, 0.392284, 119.584, 
2019 Aug 19 (Mon) 22:00, 234.02, 330.954, -1.84573, 232.102, 328.242, -123.089, 235.095, 332.474, 118.638, 0.256563, 0.362814, 118.046, 
2019 Aug 19 (Mon) 22:30, 234.31, 331.364, -1.71088, 232.422, 328.694, -122.96, 235.334, 332.812, 118.739, 0.244247, 0.345394, 116.324, 
2019 Aug 19 (Mon) 23:00, 234.813, 332.076, -1.52235, 232.965, 329.462, -122.781, 235.743, 333.391, 118.879, 0.22543, 0.31878, 113.852, 
2019 Aug 19 (Mon) 23:30, 234.932, 332.244, -1.32465, 233.133, 329.7, -122.587, 235.859, 333.555, 119.029, 0.214937, 0.303941, 109.725, 
2019 Aug 20 (Tue) 0:00, 236.165, 333.988, -1.14807, 234.39, 331.478, -122.432, 236.825, 334.921, 119.154, 0.182052, 0.25743, 108.347, 
