Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 127.421, 180.201, -20.6754, 99.1236, 140.156, -144.271, 99.0658, 140.078, 95.8108, 29.0564, 41.092, -8.55052, 
2019 Aug 19 (Mon) 0:30, 121.645, 172.031, -22.3358, 93.6944, 132.478, -146.845, 93.6387, 132.403, 93.2378, 29.0803, 41.1257, -7.88303, 
2019 Aug 19 (Mon) 1:00, 79.7551, 112.791, -18.0587, 79.773, 112.784, -138.055, 79.7764, 112.793, 101.946, 4.1909e-06, 5.92683e-06, -6.05325, 
2019 Aug 19 (Mon) 1:30, 74.4351, 105.267, -18.9334, 74.4546, 105.26, -138.93, 74.4578, 105.269, 101.071, 4.20578e-06, 5.94787e-06, -5.5727, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.333, 112.161, -147.865, 79.3394, 112.174, 92.1378, 4.12026e-06, 5.82692e-06, -5.18286, 
2019 Aug 19 (Mon) 2:30, 69.6636, 98.5191, -19.4319, 69.6846, 98.5127, -139.428, 69.6874, 98.5212, 100.573, 4.2221e-06, 5.97095e-06, -5.17073, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4923, -16.458, 68.2499, 96.4877, -136.455, 68.2518, 96.4943, 103.546, 4.24843e-06, 6.00819e-06, -5.25496, 
2019 Aug 19 (Mon) 3:30, 71.55, 101.187, -18.9985, 71.5703, 101.181, -138.995, 71.5732, 101.189, 101.006, 4.21719e-06, 5.96401e-06, -5.34587, 
2019 Aug 19 (Mon) 4:00, 72.7755, 102.92, -22.938, 72.7956, 102.911, -142.934, 72.7999, 102.922, 97.0682, 4.18457e-06, 5.91787e-06, -5.14516, 
2019 Aug 19 (Mon) 4:30, 79.3825, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4047, 112.266, 95.1839, 4.1412e-06, 5.85654e-06, -5.46646, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2634, 113.48, 98.9296, 4.16533e-06, 5.89066e-06, -5.85252, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4521, 125.062, -136.807, 88.4558, 125.07, 103.194, 4.1676e-06, 5.89387e-06, -6.83905, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0998, 134.465, -136.414, 95.1038, 134.474, 103.587, 4.14616e-06, 5.86356e-06, -7.40749, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 3.9548e-06, 5.59293e-06, -7.26368, 
2019 Aug 19 (Mon) 7:00, 114.562, 162.014, -25.1651, 114.566, 162.001, -145.162, 114.575, 162.017, 94.8406, 3.97834e-06, 5.62622e-06, -7.98409, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9261, 3.92991e-06, 5.55774e-06, -8.50556, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 3.95806e-06, 5.59755e-06, -8.42759, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.179, 164.288, -149.672, 116.189, 164.303, 90.3306, 3.92629e-06, 5.55261e-06, -7.49021, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 3.93698e-06, 5.56773e-06, -7.41134, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 4.02773e-06, 5.69607e-06, -7.57766, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.984, 139.961, 100.688, 4.10293e-06, 5.80242e-06, -7.45179, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8694, 131.31, -136.329, 92.8732, 131.319, 103.672, 4.15531e-06, 5.87649e-06, -7.23313, 
2019 Aug 19 (Mon) 11:00, 96.8289, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 4.10111e-06, 5.79985e-06, -7.17881, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7526, 141.048, 99.9704, 4.09292e-06, 5.78826e-06, -7.44258, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 4.08161e-06, 5.77227e-06, -7.54377, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 4.02876e-06, 5.69753e-06, -7.41834, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 4.12988e-06, 5.84054e-06, -7.91118, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.455, 137.795, -138.342, 97.4601, 137.805, 101.66, 4.11842e-06, 5.82433e-06, -7.42476, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 4.01815e-06, 5.68253e-06, -7.07862, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.794, -149.521, 105.236, 148.81, 90.4819, 3.98069e-06, 5.62954e-06, -6.76032, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 4.11505e-06, 5.81956e-06, -7.86866, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7407, 111.332, 157.425, -141.737, 111.34, 157.439, 98.2646, 4.02784e-06, 5.69622e-06, -8.16038, 
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 4.05827e-06, 5.73927e-06, -8.92228, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 3.94034e-06, 5.57248e-06, -9.14017, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 3.90981e-06, 5.52931e-06, -10.2126, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.726, 223.052, 92.7448, 3.76316e-06, 5.32191e-06, -10.8701, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 3.67449e-06, 5.19651e-06, -11.7989, 
2019 Aug 19 (Mon) 18:30, 209.932, 296.889, -26.7305, 184.488, 260.901, -148.549, 184.413, 260.795, 91.5271, 25.9868, 36.7508, -14.1242, 
2019 Aug 19 (Mon) 19:00, 213.324, 301.686, -28.2392, 188.357, 266.374, -150.213, 188.28, 266.265, 89.8618, 25.6855, 36.3247, -14.0322, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2994, 3.71553e-06, 5.25455e-06, -13.4327, 
2019 Aug 19 (Mon) 20:00, 173.257, 245.022, -20.8206, 173.257, 245.01, -140.818, 173.267, 245.026, 99.1831, 3.79716e-06, 5.36999e-06, -13.2295, 
2019 Aug 19 (Mon) 20:30, 188.249, 266.224, -31.7028, 188.242, 266.212, -151.701, 188.251, 266.224, 88.3002, 3.56435e-06, 5.04075e-06, -12.1861, 
2019 Aug 19 (Mon) 21:00, 177.385, 250.861, -26.7221, 177.38, 250.847, -146.72, 177.391, 250.863, 93.2817, 3.68639e-06, 5.21334e-06, -12.4645, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9927, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 3.70994e-06, 5.24665e-06, -11.9122, 
2019 Aug 19 (Mon) 22:00, 156.193, 220.89, -26.358, 156.19, 220.876, -146.355, 156.2, 220.892, 93.6464, 3.78221e-06, 5.34886e-06, -10.9177, 
2019 Aug 19 (Mon) 22:30, 146.421, 207.07, -26.6324, 146.418, 207.056, -146.63, 146.428, 207.072, 93.3724, 3.82073e-06, 5.40333e-06, -10.1366, 
2019 Aug 19 (Mon) 23:00, 131.802, 186.396, -26.6098, 131.802, 186.382, -146.607, 131.811, 186.398, 93.3955, 3.88588e-06, 5.49546e-06, -9.0552, 
2019 Aug 19 (Mon) 23:30, 120.12, 169.875, -29.296, 120.12, 169.861, -149.293, 120.129, 169.876, 90.7098, 3.91099e-06, 5.53098e-06, -7.81881, 
2019 Aug 20 (Tue) 0:00, 99.0412, 140.065, -24.2462, 99.051, 140.054, -144.242, 99.0585, 140.068, 95.7599, 4.05636e-06, 5.73656e-06, -6.95104, 
