Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.961232, 0.934616, 0.935132, 0.86111
2019 Aug 19 (Mon) 0:30, 0.951209, 0.915554, 0.91614, 0.860966
2019 Aug 19 (Mon) 1:00, 0.965427, 0.965442, 0.965448, 0.860897
2019 Aug 19 (Mon) 1:30, 0.960235, 0.960252, 0.960259, 0.860786
2019 Aug 19 (Mon) 2:00, 0.904246, 0.904278, 0.904302, 0.860714
2019 Aug 19 (Mon) 2:30, 0.956797, 0.956815, 0.956823, 0.860696
2019 Aug 19 (Mon) 3:00, 0.970694, 0.970706, 0.97071, 0.860708
2019 Aug 19 (Mon) 3:30, 0.959377, 0.959394, 0.959401, 0.860739
2019 Aug 19 (Mon) 4:00, 0.937282, 0.937307, 0.93732, 0.860696
2019 Aug 19 (Mon) 4:30, 0.926439, 0.926467, 0.926483, 0.860778
2019 Aug 19 (Mon) 5:00, 0.949946, 0.949966, 0.949976, 0.860861
2019 Aug 19 (Mon) 5:30, 0.972417, 0.972429, 0.972433, 0.861081
2019 Aug 19 (Mon) 6:00, 0.975055, 0.975066, 0.975069, 0.861196
2019 Aug 19 (Mon) 6:30, 0.903489, 0.903516, 0.903536, 0.861182
2019 Aug 19 (Mon) 7:00, 0.93226, 0.932283, 0.932296, 0.861323
2019 Aug 19 (Mon) 7:30, 0.928108, 0.92813, 0.928144, 0.861433
2019 Aug 19 (Mon) 8:00, 0.935594, 0.935616, 0.935628, 0.861409
2019 Aug 19 (Mon) 8:30, 0.899441, 0.899467, 0.899487, 0.86124
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.861207
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.861234
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.861218
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.861171
2019 Aug 19 (Mon) 11:00, 0.956761, 0.95678, 0.956788, 0.861156
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.86122
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.861232
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.861212
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.861323
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.861218
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.861135
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.861072
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.861299
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.861364
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.861531
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.861566
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.861771
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.861874
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.862041
2019 Aug 19 (Mon) 18:30, 0.943791, 0.925477, 0.926001, 0.862171
2019 Aug 19 (Mon) 19:00, 0.934651, 0.914003, 0.91456, 0.862156
2019 Aug 19 (Mon) 19:30, 0.95579, 0.955802, 0.955809, 0.862309
2019 Aug 19 (Mon) 20:00, 0.968749, 0.96876, 0.968765, 0.862282
2019 Aug 19 (Mon) 20:30, 0.902023, 0.902035, 0.902046, 0.862103
2019 Aug 19 (Mon) 21:00, 0.936413, 0.936427, 0.936436, 0.862096
2019 Aug 19 (Mon) 21:30, 0.933088, 0.933103, 0.933113, 0.86205
2019 Aug 19 (Mon) 22:00, 0.93392, 0.933937, 0.933948, 0.861859
2019 Aug 19 (Mon) 22:30, 0.929769, 0.929788, 0.9298, 0.86176
2019 Aug 19 (Mon) 23:00, 0.926455, 0.926476, 0.926489, 0.861563
2019 Aug 19 (Mon) 23:30, 0.903505, 0.90353, 0.903549, 0.861284
2019 Aug 20 (Tue) 0:00, 0.934764, 0.934788, 0.934801, 0.861103
