Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 0.759789, 0.773522, 0.759829, 0.759875, 0.759919, 0.759969, 0.760021, 0.759949, 0.76, 0.760047, 0.823445, 0.87489, 0.910081, 
2019 Aug 19 (Mon) 0:30, 0.760245, 0.773783, 0.760268, 0.760301, 0.760331, 0.760367, 0.760404, 0.76036, 0.760396, 0.760433, 0.823539, 0.87483, 0.910017, 
2019 Aug 19 (Mon) 1:00, 3.15843e-05, 2.83972e-05, 3.79685e-05, 4.25662e-05, 4.66659e-05, 5.20492e-05, 5.058e-05, 2.81818e-05, 2.97994e-05, 3.11674e-05, 3.27705e-05, 3.41319e-05, 3.46818e-05, 
2019 Aug 19 (Mon) 1:30, 3.02675e-05, 3.05493e-05, 3.92162e-05, 4.28284e-05, 4.87776e-05, 4.94063e-05, 5.15903e-05, 2.97742e-05, 2.97792e-05, 3.11557e-05, 3.22397e-05, 3.61448e-05, 3.75384e-05, 
2019 Aug 19 (Mon) 2:00, 4.9498e-05, 4.85073e-05, 5.99994e-05, 7.03909e-05, 7.63722e-05, 7.86236e-05, 8.12943e-05, 4.63982e-05, 4.78607e-05, 5.10268e-05, 5.42068e-05, 5.61409e-05, 5.87435e-05, 
2019 Aug 19 (Mon) 2:30, 2.98719e-05, 2.95231e-05, 3.66245e-05, 4.41673e-05, 4.58755e-05, 4.76858e-05, 4.87847e-05, 2.59421e-05, 3.01591e-05, 3.07428e-05, 3.19287e-05, 3.27529e-05, 3.32752e-05, 
2019 Aug 19 (Mon) 3:00, 2.18812e-05, 2.04912e-05, 2.9507e-05, 3.40876e-05, 3.4608e-05, 3.86093e-05, 3.9371e-05, 1.99821e-05, 2.32866e-05, 2.3044e-05, 2.40765e-05, 2.45942e-05, 2.51983e-05, 
2019 Aug 19 (Mon) 3:30, 3.21247e-05, 2.82823e-05, 3.77594e-05, 4.41775e-05, 4.60876e-05, 4.97559e-05, 4.90986e-05, 2.89894e-05, 2.94545e-05, 3.0749e-05, 3.30529e-05, 3.38268e-05, 3.55471e-05, 
2019 Aug 19 (Mon) 4:00, 3.79594e-05, 3.60622e-05, 4.66542e-05, 5.43186e-05, 5.81199e-05, 6.19973e-05, 6.3104e-05, 3.64802e-05, 3.6312e-05, 4.03585e-05, 4.09363e-05, 4.37323e-05, 4.42243e-05, 
2019 Aug 19 (Mon) 4:30, 4.66939e-05, 4.27179e-05, 5.56571e-05, 6.32778e-05, 6.93475e-05, 7.14333e-05, 7.19127e-05, 4.1307e-05, 4.3449e-05, 4.62873e-05, 4.81924e-05, 5.00151e-05, 5.31797e-05, 
2019 Aug 19 (Mon) 5:00, 3.69114e-05, 3.74665e-05, 4.77622e-05, 5.26851e-05, 5.81818e-05, 6.21527e-05, 6.29474e-05, 3.60212e-05, 3.76851e-05, 3.74777e-05, 4.17404e-05, 4.26579e-05, 4.34698e-05, 
2019 Aug 19 (Mon) 5:30, 3.14195e-05, 3.05481e-05, 3.77026e-05, 4.32803e-05, 4.67923e-05, 4.89782e-05, 5.03375e-05, 2.91161e-05, 3.06907e-05, 3.15794e-05, 3.28961e-05, 3.41996e-05, 3.58788e-05, 
2019 Aug 19 (Mon) 6:00, 3.18362e-05, 2.9618e-05, 3.89231e-05, 4.65156e-05, 5.05515e-05, 5.06704e-05, 5.28573e-05, 3.09064e-05, 3.06989e-05, 3.15243e-05, 3.28409e-05, 3.62103e-05, 3.79112e-05, 
2019 Aug 19 (Mon) 6:30, 5.81918e-05, 5.61981e-05, 6.88606e-05, 7.9213e-05, 8.50616e-05, 8.85581e-05, 8.86173e-05, 5.50744e-05, 5.82861e-05, 5.82605e-05, 6.30521e-05, 6.62983e-05, 6.6891e-05, 
