Time, 33 (9), , , , , , , 50 (13), , , , , , , 57 (16), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 16:00, 236.314, 0, 0, 100, 0, 0, 0, 235.743, 0, 0, 98.0795, 0, 0, 0, 235.583, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 235.46, 0, 0, 100, 0, 0, 0, 234.663, 0, 0, 98.0795, 0, 0, 0, 234.465, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 235.236, 0, 0, 100, 0, 0, 0, 234.418, 0, 0, 98.0795, 0, 0, 0, 234.208, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 234.118, 0, 0, 100, 0, 0, 0, 233.023, 0, 0, 98.0795, 0, 0, 0, 232.763, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 233.419, 0, 0, 100, 0, 0, 0, 232.171, 0, 0, 98.0795, 0, 0, 0, 231.88, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 225.733, 0, 0, 90.2564, 0, 0, 0, 226.459, 0, 0, 88.3359, 0, 0, 0, 225.477, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 225.4, 0, 0, 95.9848, 0, 0, 0, 226.028, 0, 0, 94.0883, 0, 0, 0, 225.034, 0, 0, 95.9848, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 233.767, 0, 0, 100, 0, 0, 0, 232.67, 0, 0, 99.7595, 0, 0, 0, 232.391, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 234.403, 0, 0, 100, 0, 0, 0, 233.47, 0, 0, 99.7595, 0, 0, 0, 233.218, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:30, 232.519, 0, 0, 100, 0, 0, 0, 231.047, 0, 0, 99.7595, 0, 0, 0, 230.716, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:00, 233.525, 0, 0, 100, 0, 0, 0, 232.329, 0, 0, 99.7595, 0, 0, 0, 232.041, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 233.706, 0, 0, 100, 0, 0, 0, 232.539, 0, 0, 99.7595, 0, 0, 0, 232.259, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 234.266, 0, 0, 100, 0, 0, 0, 233.211, 0, 0, 99.7595, 0, 0, 0, 232.958, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 234.562, 0, 0, 100, 0, 0, 0, 233.559, 0, 0, 99.7595, 0, 0, 0, 233.319, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 235.054, 0, 0, 100, 0, 0, 0, 234.144, 0, 0, 99.7595, 0, 0, 0, 233.928, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:30, 235.247, 0, 0, 100, 0, 0, 0, 234.342, 0, 0, 99.7595, 0, 0, 0, 234.136, 0, 0, 100, 0, 0, 0, 
2019 Aug 20 (Tue) 0:00, 236.311, 0, 0, 100, 0, 0, 0, 235.664, 0, 0, 99.7595, 0, 0, 0, 235.506, 0, 0, 100, 0, 0, 0, 
