Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 17:00, 224.708, 317.785, -5.08526, 224.708, 317.786, -125.085, 224.708, 317.785, 114.915, 1.61788e-07, 2.28803e-07, -158.942, 
2019 Aug 19 (Mon) 17:30, 220.747, 312.183, -5.46436, 220.747, 312.184, -125.464, 220.747, 312.183, 114.536, 1.59466e-07, 2.25519e-07, -159.343, 
2019 Aug 19 (Mon) 18:00, 218.369, 308.821, -5.94791, 218.369, 308.821, -125.948, 218.369, 308.821, 114.052, 1.58092e-07, 2.23576e-07, -159.801, 
2019 Aug 19 (Mon) 18:30, 188.378, 266.407, -21.442, 176.028, 248.942, -144.678, 174.42, 246.667, 93.6283, 1.08325, 1.53195, -173.124, 
2019 Aug 19 (Mon) 19:00, 187.54, 265.221, -21.3528, 175.308, 247.922, -144.583, 173.725, 245.684, 93.7282, 1.07785, 1.52432, -173.045, 
2019 Aug 19 (Mon) 19:30, 219.722, 310.734, -6.70338, 219.722, 310.734, -126.703, 219.722, 310.734, 113.297, 1.59073e-07, 2.24963e-07, -160.421, 
2019 Aug 19 (Mon) 20:00, 221.972, 313.915, -6.56755, 221.972, 313.916, -126.568, 221.972, 313.915, 113.432, 1.60445e-07, 2.26904e-07, -160.259, 
2019 Aug 19 (Mon) 20:30, 215.285, 304.459, -6.18037, 215.285, 304.459, -126.18, 215.285, 304.459, 113.82, 1.56202e-07, 2.20904e-07, -160.059, 
2019 Aug 19 (Mon) 21:00, 218.797, 309.426, -6.25748, 218.797, 309.426, -126.258, 218.797, 309.425, 113.742, 1.58407e-07, 2.24022e-07, -160.055, 
2019 Aug 19 (Mon) 21:30, 219.387, 310.26, -5.98578, 219.387, 310.26, -125.986, 219.387, 310.26, 114.014, 1.58704e-07, 2.24442e-07, -159.816, 
2019 Aug 19 (Mon) 22:00, 221.276, 312.932, -5.47806, 221.276, 312.932, -125.478, 221.276, 312.932, 114.522, 1.59776e-07, 2.25958e-07, -159.344, 
2019 Aug 19 (Mon) 22:30, 222.256, 314.317, -5.08946, 222.256, 314.317, -125.09, 222.255, 314.317, 114.91, 1.60296e-07, 2.26692e-07, -158.995, 
2019 Aug 19 (Mon) 23:00, 223.908, 316.654, -4.54837, 223.908, 316.654, -124.548, 223.908, 316.654, 115.452, 1.61182e-07, 2.27946e-07, -158.51, 
2019 Aug 19 (Mon) 23:30, 224.447, 317.416, -3.9514, 224.447, 317.416, -123.951, 224.447, 317.415, 116.049, 1.6138e-07, 2.28226e-07, -158.001, 
2019 Aug 20 (Tue) 0:00, 228.253, 322.799, -3.47694, 228.254, 322.799, -123.477, 228.253, 322.799, 116.523, 1.63535e-07, 2.31274e-07, -157.538, 
