Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 240.127, 339.591, -17.8373, 388.054, 548.785, -140.699, 340.397, 481.388, 99.8792, 131.083, 185.379, 172.987, 
2019 Aug 19 (Mon) 0:30, 121.865, 172.344, -22.2035, 178.126, 251.894, -138.83, 150.537, 212.878, 100.023, 49.784, 70.4052, -162.372, 
2019 Aug 19 (Mon) 1:00, 79.8424, 112.914, -18.1016, 79.7813, 112.796, -137.98, 109.553, 154.912, 104.823, 29.9459, 42.3499, 112.35, 
2019 Aug 19 (Mon) 1:30, 74.4352, 105.267, -18.9334, 74.4547, 105.261, -138.93, 74.4579, 105.269, 101.071, 1.92061e-05, 2.71615e-05, 163.367, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.3331, 112.161, -147.865, 79.3395, 112.175, 92.1378, 1.88024e-05, 2.65907e-05, 163.78, 
2019 Aug 19 (Mon) 2:30, 69.6637, 98.5192, -19.4319, 69.6847, 98.5128, -139.428, 69.6875, 98.5213, 100.573, 1.9284e-05, 2.72717e-05, 163.782, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4924, -16.458, 68.25, 96.4878, -136.455, 68.2518, 96.4944, 103.546, 1.94088e-05, 2.74481e-05, 163.692, 
2019 Aug 19 (Mon) 3:30, 71.5501, 101.187, -18.9985, 71.5704, 101.181, -138.995, 71.5733, 101.189, 101.006, 1.92608e-05, 2.72389e-05, 163.601, 
2019 Aug 19 (Mon) 4:00, 72.7756, 102.92, -22.938, 72.7957, 102.911, -142.934, 72.8, 102.922, 97.0682, 1.91069e-05, 2.70212e-05, 163.812, 
2019 Aug 19 (Mon) 4:30, 79.3826, 112.264, -24.8228, 79.3992, 112.253, -144.819, 79.4048, 112.266, 95.1839, 1.89009e-05, 2.673e-05, 163.484, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.259, 113.47, -141.072, 80.2635, 113.48, 98.9296, 1.90137e-05, 2.68894e-05, 163.084, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4522, 125.062, -136.807, 88.4559, 125.07, 103.194, 1.90227e-05, 2.69021e-05, 162.06, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0999, 134.465, -136.414, 95.1039, 134.474, 103.587, 1.89199e-05, 2.67568e-05, 161.473, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 1.80154e-05, 2.54777e-05, 161.638, 
2019 Aug 19 (Mon) 7:00, 114.562, 162.014, -25.1651, 114.566, 162.002, -145.162, 114.575, 162.017, 94.8406, 1.81261e-05, 2.56342e-05, 160.887, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9262, 1.7896e-05, 2.53088e-05, 160.353, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 1.80299e-05, 2.54981e-05, 160.434, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.18, 164.288, -149.672, 116.189, 164.303, 90.3306, 1.78808e-05, 2.52872e-05, 161.405, 
