Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 1.79319e-05, 2.53595e-05, 161.489, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 1.83598e-05, 2.59647e-05, 161.308, 
2019 Aug 19 (Mon) 10:00, 98.9653, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 1.87156e-05, 2.64679e-05, 161.43, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8695, 131.31, -136.329, 92.8733, 131.319, 103.672, 1.89638e-05, 2.68188e-05, 161.651, 
2019 Aug 19 (Mon) 11:00, 96.829, 136.937, -20.4242, 96.8421, 136.928, -140.421, 96.8481, 136.94, 99.5809, 1.87072e-05, 2.6456e-05, 161.714, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7467, 141.036, -140.031, 99.7527, 141.048, 99.9704, 1.86682e-05, 2.64008e-05, 161.441, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 1.86147e-05, 2.63252e-05, 161.338, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 1.83663e-05, 2.59739e-05, 161.472, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 1.88411e-05, 2.66454e-05, 160.952, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.4551, 137.795, -138.342, 97.4602, 137.805, 101.66, 1.87888e-05, 2.65714e-05, 161.458, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8788, 1.83156e-05, 2.59021e-05, 161.825, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.795, -149.521, 105.236, 148.81, 90.482, 1.81396e-05, 2.56532e-05, 162.156, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 1.87721e-05, 2.65477e-05, 160.998, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.333, 157.425, -141.737, 111.34, 157.439, 98.2646, 1.83598e-05, 2.59647e-05, 160.705, 
2019 Aug 19 (Mon) 16:00, 115.18, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.892, 102.387, 1.85014e-05, 2.6165e-05, 159.913, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 1.79446e-05, 2.53775e-05, 159.696, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 1.77998e-05, 2.51727e-05, 158.588, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 1.71067e-05, 2.41926e-05, 157.918, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 1.66868e-05, 2.35987e-05, 156.959, 
2019 Aug 19 (Mon) 18:30, 528.298, 747.126, -28.3491, 596.195, 843.146, -150.407, 612.499, 866.204, 88.7191, 77.9848, 110.287, 120.682, 
2019 Aug 19 (Mon) 19:00, 528.599, 747.552, -28.8619, 596.141, 843.07, -150.819, 612.393, 866.053, 88.3312, 77.2948, 109.311, 120.91, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2995, 1.68786e-05, 2.38699e-05, 155.262, 
2019 Aug 19 (Mon) 20:00, 173.257, 245.022, -20.8206, 173.257, 245.01, -140.818, 173.267, 245.026, 99.1831, 1.72631e-05, 2.44137e-05, 155.468, 
2019 Aug 19 (Mon) 20:30, 188.249, 266.224, -31.7028, 188.242, 266.212, -151.701, 188.251, 266.225, 88.3002, 1.61682e-05, 2.28653e-05, 156.575, 
2019 Aug 19 (Mon) 21:00, 177.385, 250.861, -26.7221, 177.38, 250.847, -146.72, 177.391, 250.863, 93.2817, 1.67442e-05, 2.36798e-05, 156.27, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9927, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 1.68544e-05, 2.38357e-05, 156.836, 
2019 Aug 19 (Mon) 22:00, 156.193, 220.89, -26.358, 156.19, 220.876, -146.355, 156.2, 220.892, 93.6465, 1.71948e-05, 2.43172e-05, 157.866, 
2019 Aug 19 (Mon) 22:30, 146.421, 207.07, -26.6324, 146.418, 207.056, -146.63, 146.428, 207.072, 93.3724, 1.7379e-05, 2.45777e-05, 158.675, 
2019 Aug 19 (Mon) 23:00, 131.802, 186.396, -26.6098, 131.802, 186.382, -146.607, 131.811, 186.398, 93.3955, 1.76872e-05, 2.50135e-05, 159.788, 
2019 Aug 19 (Mon) 23:30, 120.12, 169.875, -29.296, 120.12, 169.861, -149.293, 120.129, 169.876, 90.7099, 1.78083e-05, 2.51848e-05, 161.068, 
2019 Aug 20 (Tue) 0:00, 99.0413, 140.065, -24.2462, 99.051, 140.054, -144.242, 99.0586, 140.068, 95.7599, 1.84968e-05, 2.61585e-05, 161.953, 
