Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 3.7226, 3.74655, 3.78842, 3.87084, 4.05165, 4.21039, 4.28037, 3.63835, 3.62556, 3.65241, 3.92337, 4.0463, 4.08085, 
2019 Aug 19 (Mon) 0:30, 1.28086, 1.31005, 1.2802, 1.27632, 1.30214, 1.33031, 1.36055, 1.27789, 1.30402, 1.33361, 1.33857, 1.36746, 1.36753, 
2019 Aug 19 (Mon) 1:00, 0.78633, 0.773058, 0.836172, 0.871388, 0.871459, 0.871528, 0.871596, 0.773118, 0.773179, 0.77324, 0.773121, 0.773182, 0.773244, 
2019 Aug 19 (Mon) 1:30, 3.11705e-05, 2.83828e-05, 4.02345e-05, 4.4863e-05, 4.77155e-05, 5.10992e-05, 5.24932e-05, 2.75789e-05, 3.17338e-05, 3.26078e-05, 3.42263e-05, 3.4107e-05, 3.54803e-05, 
2019 Aug 19 (Mon) 2:00, 5.10967e-05, 4.62571e-05, 6.09936e-05, 6.87739e-05, 7.48047e-05, 8.0109e-05, 7.97252e-05, 4.48573e-05, 4.9832e-05, 5.25044e-05, 5.30559e-05, 5.75579e-05, 5.77524e-05, 
2019 Aug 19 (Mon) 2:30, 3.19469e-05, 2.83562e-05, 3.84076e-05, 4.25703e-05, 4.78881e-05, 4.96534e-05, 5.02403e-05, 2.78455e-05, 2.86463e-05, 2.97168e-05, 3.2863e-05, 3.4115e-05, 3.46952e-05, 
2019 Aug 19 (Mon) 3:00, 2.38529e-05, 2.18952e-05, 2.78314e-05, 3.19126e-05, 3.65852e-05, 3.76042e-05, 3.73332e-05, 2.07813e-05, 2.48642e-05, 2.50027e-05, 2.61137e-05, 2.59486e-05, 2.67421e-05, 
2019 Aug 19 (Mon) 3:30, 2.97662e-05, 3.0296e-05, 3.88166e-05, 4.23008e-05, 4.75254e-05, 4.77181e-05, 5.01768e-05, 2.78512e-05, 3.09498e-05, 2.99891e-05, 3.19331e-05, 3.47359e-05, 3.40903e-05, 
2019 Aug 19 (Mon) 4:00, 3.94352e-05, 3.81186e-05, 4.81779e-05, 5.52439e-05, 6.01007e-05, 6.34963e-05, 6.36978e-05, 3.5473e-05, 3.82342e-05, 3.87661e-05, 4.18499e-05, 4.51673e-05, 4.62063e-05, 
2019 Aug 19 (Mon) 4:30, 4.43543e-05, 4.42061e-05, 5.72137e-05, 6.48227e-05, 7.08788e-05, 7.3421e-05, 7.3339e-05, 4.22383e-05, 4.42983e-05, 4.72255e-05, 4.96592e-05, 5.1998e-05, 5.22256e-05, 
2019 Aug 19 (Mon) 5:00, 3.89388e-05, 3.57872e-05, 4.6677e-05, 5.41755e-05, 5.90631e-05, 6.41603e-05, 6.49401e-05, 3.44056e-05, 3.85907e-05, 3.93708e-05, 4.068e-05, 4.46413e-05, 4.54417e-05, 
2019 Aug 19 (Mon) 5:30, 3.03235e-05, 2.84505e-05, 3.92179e-05, 4.52356e-05, 4.8181e-05, 5.03785e-05, 5.17e-05, 2.81837e-05, 3.22042e-05, 3.01677e-05, 3.49182e-05, 3.62088e-05, 3.72906e-05, 
2019 Aug 19 (Mon) 6:00, 3.33418e-05, 3.10407e-05, 4.03576e-05, 4.54329e-05, 4.8746e-05, 5.26337e-05, 5.43328e-05, 2.87508e-05, 3.21015e-05, 3.35216e-05, 3.43194e-05, 3.71461e-05, 3.59014e-05, 
2019 Aug 19 (Mon) 6:30, 5.97323e-05, 5.71668e-05, 7.09166e-05, 7.82093e-05, 8.35184e-05, 9.00219e-05, 8.99848e-05, 5.29838e-05, 5.91781e-05, 6.02134e-05, 6.51115e-05, 6.82875e-05, 6.87616e-05, 
2019 Aug 19 (Mon) 7:00, 5.66568e-05, 5.50926e-05, 6.92058e-05, 7.82427e-05, 8.46094e-05, 8.73728e-05, 8.78945e-05, 5.36849e-05, 5.73862e-05, 5.73673e-05, 6.19531e-05, 6.51508e-05, 6.5124e-05, 
2019 Aug 19 (Mon) 7:30, 5.85775e-05, 5.62538e-05, 6.83232e-05, 7.92422e-05, 8.44991e-05, 8.90302e-05, 9.12634e-05, 5.27582e-05, 5.83562e-05, 6.00069e-05, 6.30944e-05, 6.81363e-05, 7.03485e-05, 
2019 Aug 19 (Mon) 8:00, 5.76904e-05, 5.44991e-05, 6.83281e-05, 7.83316e-05, 8.32468e-05, 8.68718e-05, 8.85844e-05, 5.16125e-05, 5.5739e-05, 5.74743e-05, 6.04276e-05, 6.69409e-05, 6.57666e-05, 
2019 Aug 19 (Mon) 8:30, 5.70164e-05, 5.72545e-05, 7.16779e-05, 7.9618e-05, 8.57042e-05, 8.98974e-05, 9.01856e-05, 5.42252e-05, 5.94852e-05, 6.03275e-05, 6.54479e-05, 6.77769e-05, 7.14928e-05, 
2019 Aug 19 (Mon) 9:00, 5.97004e-05, 5.76918e-05, 6.89067e-05, 7.98777e-05, 8.53508e-05, 8.84261e-05, 9.1234e-05, 5.53142e-05, 5.91577e-05, 6.14537e-05, 6.36076e-05, 6.74717e-05, 7.11513e-05, 
2019 Aug 19 (Mon) 9:30, 5.17788e-05, 5.00553e-05, 6.54186e-05, 7.44596e-05, 7.79182e-05, 8.26528e-05, 8.54384e-05, 4.87235e-05, 5.34432e-05, 5.28165e-05, 5.67697e-05, 6.20046e-05, 6.08215e-05, 
2019 Aug 19 (Mon) 10:00, 4.24314e-05, 3.98571e-05, 4.95309e-05, 5.91736e-05, 6.37171e-05, 6.58367e-05, 6.75213e-05, 3.83667e-05, 4.23429e-05, 4.11857e-05, 4.35837e-05, 4.7473e-05, 4.91763e-05, 
2019 Aug 19 (Mon) 10:30, 3.06304e-05, 2.99232e-05, 3.99832e-05, 4.47717e-05, 4.97143e-05, 5.01262e-05, 5.32032e-05, 2.88073e-05, 3.21688e-05, 3.12277e-05, 3.35441e-05, 3.44866e-05, 3.64874e-05, 
2019 Aug 19 (Mon) 11:00, 4.49569e-05, 3.99852e-05, 5.17316e-05, 6.12423e-05, 6.70465e-05, 7.05636e-05, 7.11555e-05, 4.06724e-05, 4.36696e-05, 4.41651e-05, 4.57816e-05, 4.87357e-05, 4.96302e-05, 
2019 Aug 19 (Mon) 11:30, 4.22035e-05, 4.14854e-05, 5.32341e-05, 6.12541e-05, 6.5304e-05, 6.91507e-05, 7.19983e-05, 4.0073e-05, 4.33686e-05, 4.30747e-05, 4.57477e-05, 4.85594e-05, 5.13826e-05, 
2019 Aug 19 (Mon) 12:00, 4.60261e-05, 4.29324e-05, 5.63065e-05, 6.29061e-05, 6.95472e-05, 7.31395e-05, 7.33616e-05, 4.0031e-05, 4.30671e-05, 4.61961e-05, 4.87333e-05, 5.25509e-05, 5.30094e-05, 
2019 Aug 19 (Mon) 12:30, 5.38877e-05, 5.00364e-05, 6.35462e-05, 7.39246e-05, 8.04777e-05, 8.4393e-05, 8.57241e-05, 5.07717e-05, 5.19311e-05, 5.56304e-05, 5.66074e-05, 6.05172e-05, 6.10844e-05, 
2019 Aug 19 (Mon) 13:00, 3.37073e-05, 2.95822e-05, 4.10398e-05, 4.73011e-05, 5.07719e-05, 5.18193e-05, 5.26374e-05, 2.9354e-05, 3.33321e-05, 3.35252e-05, 3.5471e-05, 3.64506e-05, 3.64702e-05, 
2019 Aug 19 (Mon) 13:30, 3.82049e-05, 3.73737e-05, 4.81226e-05, 5.37065e-05, 5.95151e-05, 6.17178e-05, 6.3111e-05, 3.65819e-05, 3.81289e-05, 3.89392e-05, 4.18285e-05, 4.44365e-05, 4.52503e-05, 
2019 Aug 19 (Mon) 14:00, 5.48853e-05, 5.38041e-05, 6.72427e-05, 7.54726e-05, 8.33721e-05, 8.77931e-05, 8.79912e-05, 5.1759e-05, 5.5885e-05, 5.61404e-05, 5.86223e-05, 6.33373e-05, 6.38595e-05, 
