Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 99.2966, 140.427, -24.2676, 156.172, 220.845, -138.649, 155.557, 219.976, 100.946, 56.9158, 80.4911, 171.172, 
2019 Aug 19 (Mon) 0:30, 93.8574, 132.734, -26.8399, 150.228, 212.438, -139.799, 149.648, 211.62, 99.7924, 57.018, 80.6356, 171.812, 
2019 Aug 19 (Mon) 1:00, 79.9669, 113.09, -18.0783, 139.459, 197.207, -133.863, 138.889, 196.403, 105.713, 58.8135, 83.1749, 171.855, 
2019 Aug 19 (Mon) 1:30, 74.6335, 105.548, -18.952, 134.212, 189.786, -133.974, 133.667, 189.017, 105.597, 59.0607, 83.5244, 172.296, 
2019 Aug 19 (Mon) 2:00, 79.5262, 112.467, -27.8872, 136.44, 192.937, -139.172, 135.918, 192.201, 100.406, 57.9456, 81.9475, 172.783, 
2019 Aug 19 (Mon) 2:30, 69.85, 98.7827, -19.4495, 129.576, 183.229, -133.875, 129.051, 182.489, 105.691, 59.3196, 83.8906, 172.661, 
2019 Aug 19 (Mon) 3:00, 68.414, 96.7519, -16.4759, 128.808, 182.146, -132.262, 128.277, 181.397, 107.302, 59.6669, 84.3818, 172.546, 
2019 Aug 19 (Mon) 3:30, 71.7412, 101.457, -19.0166, 131.459, 185.892, -133.797, 130.925, 185.139, 105.771, 59.2372, 83.774, 172.499, 
2019 Aug 19 (Mon) 4:00, 72.9687, 103.193, -22.9556, 131.695, 186.224, -135.941, 131.173, 185.489, 103.629, 58.817, 83.1798, 172.734, 
2019 Aug 19 (Mon) 4:30, 79.5913, 112.559, -24.8411, 137.416, 194.317, -137.518, 136.879, 193.56, 102.06, 58.2008, 82.3084, 172.483, 
2019 Aug 19 (Mon) 5:00, 80.4531, 113.778, -21.0951, 139.225, 196.874, -135.542, 138.667, 196.087, 104.036, 58.4874, 82.7136, 172.083, 
2019 Aug 19 (Mon) 5:30, 88.6699, 125.398, -16.831, 147.998, 209.284, -133.669, 147.386, 208.42, 105.916, 58.423, 82.6226, 171.131, 
2019 Aug 19 (Mon) 6:00, 95.3352, 134.824, -16.4397, 154.427, 218.377, -133.773, 153.785, 217.471, 105.817, 58.0794, 82.1366, 170.614, 
