Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.926, 323.751, -3.44448, 225.573, 319.008, -125.909, 225.45, 318.834, 114.139, 0.676218, 0.956316, -8.1477, 
2019 Aug 19 (Mon) 0:30, 228.889, 323.698, -3.13541, 225.587, 319.028, -125.607, 225.471, 318.864, 114.44, 0.676136, 0.956201, -7.56625, 
2019 Aug 19 (Mon) 1:00, 232.22, 328.409, -2.95617, 228.818, 323.598, -125.466, 228.69, 323.417, 114.575, 0.694841, 0.982653, -7.25738, 
2019 Aug 19 (Mon) 1:30, 232.517, 328.828, -2.72837, 229.142, 324.055, -125.247, 229.017, 323.879, 114.793, 0.696606, 0.98515, -6.83108, 
2019 Aug 19 (Mon) 2:00, 230.275, 325.659, -2.59794, 227.008, 321.038, -125.097, 226.897, 320.881, 114.946, 0.684074, 0.967427, -6.56684, 
2019 Aug 19 (Mon) 2:30, 232.861, 329.315, -2.53512, 229.505, 324.569, -125.062, 229.383, 324.397, 114.977, 0.698629, 0.988011, -6.47009, 
2019 Aug 19 (Mon) 3:00, 233.54, 330.276, -2.55913, 230.154, 325.487, -125.093, 230.028, 325.309, 114.945, 0.702463, 0.993433, -6.52099, 
2019 Aug 19 (Mon) 3:30, 232.768, 329.183, -2.61794, 229.402, 324.423, -125.142, 229.278, 324.249, 114.897, 0.69807, 0.98722, -6.62526, 
2019 Aug 19 (Mon) 4:00, 231.908, 327.968, -2.54442, 228.587, 323.272, -125.062, 228.47, 323.105, 114.979, 0.693254, 0.980409, -6.47966, 
2019 Aug 19 (Mon) 4:30, 230.858, 326.482, -2.71586, 227.549, 321.803, -125.218, 227.432, 321.638, 114.824, 0.687287, 0.971971, -6.79359, 
2019 Aug 19 (Mon) 5:00, 231.534, 327.439, -2.87826, 228.172, 322.684, -125.383, 228.049, 322.51, 114.659, 0.691014, 0.977242, -7.10492, 
2019 Aug 19 (Mon) 5:30, 231.759, 327.756, -3.32934, 228.313, 322.883, -125.826, 228.179, 322.694, 114.218, 0.692088, 0.97876, -7.9557, 
2019 Aug 19 (Mon) 6:00, 231.306, 327.117, -3.6015, 227.833, 322.205, -126.086, 227.696, 322.011, 113.959, 0.689432, 0.975004, -8.46374, 
2019 Aug 19 (Mon) 6:30, 226.33, 320.078, -3.64763, 223.044, 315.431, -126.08, 222.929, 315.27, 113.972, 0.661793, 0.935917, -8.50705, 
2019 Aug 19 (Mon) 7:00, 227.069, 321.124, -3.96429, 223.705, 316.366, -126.397, 223.581, 316.191, 113.656, 0.665735, 0.941492, -9.10841, 
2019 Aug 19 (Mon) 7:30, 225.881, 319.444, -4.23092, 222.521, 314.692, -126.645, 222.397, 314.518, 113.411, 0.659101, 0.932109, -9.59866, 
2019 Aug 19 (Mon) 8:00, 226.611, 320.476, -4.17729, 223.23, 315.695, -126.6, 223.104, 315.517, 113.454, 0.663126, 0.937801, -9.50444, 
2019 Aug 19 (Mon) 8:30, 225.621, 319.076, -3.7687, 222.343, 314.44, -126.191, 222.23, 314.28, 113.863, 0.657858, 0.930352, -8.72833, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 3.18196e-08, 4.49998e-08, -82.9572, 
2019 Aug 19 (Mon) 9:30, 228.319, 322.892, -3.73801, 228.319, 322.892, -123.738, 228.319, 322.892, 116.262, 3.21675e-08, 4.54917e-08, -84.2981, 
2019 Aug 19 (Mon) 10:00, 230.236, 325.603, -3.63794, 230.236, 325.604, -123.638, 230.236, 325.603, 116.362, 3.26044e-08, 4.61096e-08, -85.243, 
2019 Aug 19 (Mon) 10:30, 231.537, 327.443, -3.50824, 231.537, 327.443, -123.508, 231.537, 327.443, 116.492, 3.29871e-08, 4.66507e-08, -85.8053, 
2019 Aug 19 (Mon) 11:00, 230.143, 325.471, -3.51394, 230.143, 325.471, -123.514, 230.143, 325.471, 116.486, 3.27452e-08, 4.63087e-08, -85.0481, 
2019 Aug 19 (Mon) 11:30, 229.977, 325.236, -3.63916, 229.977, 325.236, -123.639, 229.976, 325.236, 116.361, 3.25618e-08, 4.60493e-08, -85.1016, 
2019 Aug 19 (Mon) 12:00, 229.704, 324.851, -3.69158, 229.704, 324.851, -123.692, 229.704, 324.851, 116.308, 3.24508e-08, 4.58923e-08, -85.0131, 
2019 Aug 19 (Mon) 12:30, 228.327, 322.903, -3.66573, 228.327, 322.903, -123.666, 228.327, 322.902, 116.334, 3.22576e-08, 4.56192e-08, -84.2238, 
2019 Aug 19 (Mon) 13:00, 230.997, 326.679, -3.83224, 230.997, 326.679, -123.832, 230.997, 326.679, 116.168, 3.24859e-08, 4.5942e-08, -85.891, 
2019 Aug 19 (Mon) 13:30, 230.628, 326.157, -3.61606, 230.628, 326.157, -123.616, 230.628, 326.157, 116.384, 3.26976e-08, 4.62413e-08, -85.4321, 
2019 Aug 19 (Mon) 14:00, 227.989, 322.425, -3.51667, 227.989, 322.425, -123.517, 227.989, 322.425, 116.483, 3.23886e-08, 4.58044e-08, -83.8708, 
2019 Aug 19 (Mon) 14:30, 226.966, 320.979, -3.3945, 226.966, 320.979, -123.395, 226.966, 320.979, 116.605, 3.23744e-08, 4.57843e-08, -83.1685, 
2019 Aug 19 (Mon) 15:00, 230.616, 326.14, -3.82114, 230.616, 326.141, -123.821, 230.616, 326.14, 116.179, 3.24384e-08, 4.58749e-08, -85.6658, 
2019 Aug 19 (Mon) 15:30, 228.421, 323.037, -4.00405, 228.421, 323.037, -124.004, 228.421, 323.037, 115.996, 3.1855e-08, 4.50497e-08, -84.6591, 
2019 Aug 19 (Mon) 16:00, 229.331, 324.323, -4.33397, 229.331, 324.323, -124.334, 229.331, 324.323, 115.666, 3.15907e-08, 4.46759e-08, -85.5394, 
2019 Aug 19 (Mon) 16:30, 226.301, 320.038, -4.50415, 226.301, 320.038, -124.504, 226.301, 320.038, 115.496, 3.09237e-08, 4.37327e-08, -84.0201, 
2019 Aug 19 (Mon) 17:00, 225.678, 319.157, -5.01179, 225.678, 319.157, -125.012, 225.678, 319.157, 114.988, 3.0231e-08, 4.27531e-08, -84.2046, 
2019 Aug 19 (Mon) 17:30, 221.874, 313.777, -5.40251, 221.874, 313.778, -125.403, 221.874, 313.777, 114.597, 2.92684e-08, 4.13917e-08, -82.4148, 
2019 Aug 19 (Mon) 18:00, 219.615, 310.582, -5.884, 219.615, 310.582, -125.884, 219.615, 310.582, 114.116, 2.84524e-08, 4.02378e-08, -81.5592, 
2019 Aug 19 (Mon) 18:30, 211.201, 298.684, -10.7973, 213.131, 301.413, -129.721, 215.013, 304.074, 111.465, 0.1769, 0.250174, -80.181, 
2019 Aug 19 (Mon) 19:00, 210.116, 297.149, -10.7619, 212.02, 299.842, -129.691, 213.883, 302.476, 111.489, 0.176611, 0.249766, -79.4835, 
2019 Aug 19 (Mon) 19:30, 213.395, 301.787, -11.1499, 215.401, 304.623, -130.065, 217.343, 307.369, 111.13, 0.175455, 0.24813, -81.7778, 
2019 Aug 19 (Mon) 20:00, 215.432, 304.667, -11.0568, 217.474, 307.555, -129.959, 219.442, 310.338, 111.247, 0.177181, 0.250571, -83.0234, 
2019 Aug 19 (Mon) 20:30, 209.527, 296.316, -10.6063, 211.407, 298.974, -129.537, 213.249, 301.58, 111.641, 0.17741, 0.250895, -79.0272, 
2019 Aug 19 (Mon) 21:00, 212.658, 300.743, -10.7265, 214.612, 303.508, -129.641, 216.512, 306.194, 111.553, 0.178155, 0.251949, -81.0511, 
2019 Aug 19 (Mon) 21:30, 213.24, 301.567, -10.4847, 215.187, 304.321, -129.392, 217.079, 306.996, 111.806, 0.180233, 0.254888, -81.2622, 
2019 Aug 19 (Mon) 22:00, 215.036, 304.106, -10.0437, 216.984, 306.862, -128.935, 218.87, 309.529, 112.275, 0.184563, 0.261012, -82.0841, 
2019 Aug 19 (Mon) 22:30, 215.994, 305.462, -9.69941, 217.933, 308.204, -128.581, 219.808, 310.856, 112.636, 0.187795, 0.265582, -82.4278, 
2019 Aug 19 (Mon) 23:00, 217.591, 307.72, -9.22395, 219.523, 310.452, -128.091, 221.385, 313.085, 113.138, 0.192594, 0.272369, -83.0425, 
2019 Aug 19 (Mon) 23:30, 218.203, 308.585, -8.68039, 220.099, 311.268, -127.537, 221.929, 313.855, 113.698, 0.197364, 0.279115, -82.9611, 
2019 Aug 20 (Tue) 0:00, 221.728, 313.57, -8.29754, 223.662, 316.306, -127.128, 225.511, 318.921, 114.127, 0.203393, 0.287642, -84.7585, 
