Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.934682, 0.975379, 0.973608, 0.999929
2019 Aug 19 (Mon) 0:30, 0.915631, 0.969479, 0.9675, 0.999941
2019 Aug 19 (Mon) 1:00, 0.965372, 0.98928, 0.988063, 0.99988
2019 Aug 19 (Mon) 1:30, 0.960179, 0.988423, 0.987149, 0.999884
2019 Aug 19 (Mon) 2:00, 0.904162, 0.969978, 0.967972, 0.999936
2019 Aug 19 (Mon) 2:30, 0.95674, 0.988193, 0.986896, 0.999885
2019 Aug 19 (Mon) 3:00, 0.970646, 0.992181, 0.991116, 0.999867
2019 Aug 19 (Mon) 3:30, 0.959321, 0.988612, 0.987341, 0.999883
2019 Aug 19 (Mon) 4:00, 0.937214, 0.982025, 0.980444, 0.999906
2019 Aug 19 (Mon) 4:30, 0.926363, 0.977047, 0.975285, 0.99992
2019 Aug 19 (Mon) 5:00, 0.94988, 0.984324, 0.982862, 0.999899
2019 Aug 19 (Mon) 5:30, 0.972363, 0.990645, 0.989519, 0.999873
2019 Aug 19 (Mon) 6:00, 0.975001, 0.991013, 0.989919, 0.999871
2019 Aug 19 (Mon) 6:30, 0.903389, 0.959634, 0.957423, 0.999965
2019 Aug 19 (Mon) 7:00, 0.93217, 0.971339, 0.969469, 0.999944
2019 Aug 19 (Mon) 7:30, 0.928012, 0.967872, 0.965918, 0.999954
2019 Aug 19 (Mon) 8:00, 0.935503, 0.97185, 0.970008, 0.999944
2019 Aug 19 (Mon) 8:30, 0.899336, 0.956591, 0.954315, 0.999971
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.707718
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.691024
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.675878
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.664805
2019 Aug 19 (Mon) 11:00, 0.956761, 0.95678, 0.956788, 0.675095
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.677784
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.68037
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.690055
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.672554
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.67277
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.690674
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.69656
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.675238
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.693398
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.690724
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.714661
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.725263
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.75654
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.777727
2019 Aug 19 (Mon) 18:30, 0.971544, 0.965651, 0.955916, 0.871437
2019 Aug 19 (Mon) 19:00, 0.966504, 0.959641, 0.9485, 0.876987
2019 Aug 19 (Mon) 19:30, 0.98329, 0.9799, 0.973973, 0.863391
2019 Aug 19 (Mon) 20:00, 0.98866, 0.98633, 0.982041, 0.849943
2019 Aug 19 (Mon) 20:30, 0.961668, 0.953772, 0.941106, 0.878249
2019 Aug 19 (Mon) 21:00, 0.9765, 0.971516, 0.9631, 0.862232
2019 Aug 19 (Mon) 21:30, 0.976064, 0.970821, 0.961947, 0.855714
2019 Aug 19 (Mon) 22:00, 0.978239, 0.973131, 0.964317, 0.839149
2019 Aug 19 (Mon) 22:30, 0.978251, 0.972876, 0.963524, 0.828683
2019 Aug 19 (Mon) 23:00, 0.979492, 0.974016, 0.964293, 0.812227
2019 Aug 19 (Mon) 23:30, 0.975558, 0.968503, 0.955957, 0.801203
2019 Aug 20 (Tue) 0:00, 0.98668, 0.982453, 0.97429, 0.772166
