Time, Deviation
2019 Aug 19 (Mon) 0:00, 32.7973
2019 Aug 19 (Mon) 0:30, 34.747
2019 Aug 19 (Mon) 1:00, 36.9073
2019 Aug 19 (Mon) 1:30, 38.7763
2019 Aug 19 (Mon) 2:00, 39.1931
2019 Aug 19 (Mon) 2:30, 40.5419
2019 Aug 19 (Mon) 3:00, 40.5419
2019 Aug 19 (Mon) 3:30, 39.7835
2019 Aug 19 (Mon) 4:00, 40.1593
2019 Aug 19 (Mon) 4:30, 38.3877
2019 Aug 19 (Mon) 5:00, 37.303
2019 Aug 19 (Mon) 5:30, 34.2038
2019 Aug 19 (Mon) 6:00, 32.4363
2019 Aug 19 (Mon) 6:30, 31.0423
2019 Aug 19 (Mon) 7:00, 29.5681
2019 Aug 19 (Mon) 7:30, 28.0832
2019 Aug 19 (Mon) 8:00, 28.4683
2019 Aug 19 (Mon) 8:30, 30.2461
2019 Aug 19 (Mon) 9:00, 0
2019 Aug 19 (Mon) 9:30, 0
2019 Aug 19 (Mon) 10:00, 0
2019 Aug 19 (Mon) 10:30, 0
2019 Aug 19 (Mon) 11:00, 0
2019 Aug 19 (Mon) 11:30, 1.34661e-14
2019 Aug 19 (Mon) 12:00, 0
2019 Aug 19 (Mon) 12:30, 0
2019 Aug 19 (Mon) 13:00, 0
2019 Aug 19 (Mon) 13:30, 0
2019 Aug 19 (Mon) 14:00, 0
2019 Aug 19 (Mon) 14:30, 0
2019 Aug 19 (Mon) 15:00, 0
2019 Aug 19 (Mon) 15:30, 0
2019 Aug 19 (Mon) 16:00, 0
2019 Aug 19 (Mon) 16:30, 0
2019 Aug 19 (Mon) 17:00, 0
2019 Aug 19 (Mon) 17:30, 0
2019 Aug 19 (Mon) 18:00, 0
2019 Aug 19 (Mon) 18:30, 12.0782
2019 Aug 19 (Mon) 19:00, 12.0173
2019 Aug 19 (Mon) 19:30, 11.8806
2019 Aug 19 (Mon) 20:00, 12.1752
2019 Aug 19 (Mon) 20:30, 12.1444
2019 Aug 19 (Mon) 21:00, 12.3003
2019 Aug 19 (Mon) 21:30, 12.6553
2019 Aug 19 (Mon) 22:00, 13.431
2019 Aug 19 (Mon) 22:30, 14.0451
2019 Aug 19 (Mon) 23:00, 15.015
2019 Aug 19 (Mon) 23:30, 16.1141
2019 Aug 20 (Tue) 0:00, 17.4458
