Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.245, 322.787, -3.48917, 224.879, 318.027, -125.942, 224.732, 317.819, 114.095, 0.652121, 0.922238, -6.93872, 
2019 Aug 19 (Mon) 0:30, 228.238, 322.778, -3.16892, 224.924, 318.09, -125.63, 224.786, 317.895, 114.407, 0.653307, 0.923915, -6.51222, 
2019 Aug 19 (Mon) 1:00, 231.696, 327.667, -3.00473, 228.269, 322.821, -125.505, 228.126, 322.619, 114.524, 0.667127, 0.943461, -6.57916, 
2019 Aug 19 (Mon) 1:30, 232.025, 328.134, -2.77091, 228.624, 323.323, -125.281, 228.487, 323.13, 114.747, 0.66929, 0.946519, -6.2954, 
2019 Aug 19 (Mon) 2:00, 229.725, 324.88, -2.62158, 226.44, 320.234, -125.112, 226.314, 320.057, 114.921, 0.66106, 0.934881, -5.90821, 
2019 Aug 19 (Mon) 2:30, 232.401, 328.665, -2.57316, 229.017, 323.879, -125.092, 228.886, 323.693, 114.935, 0.671493, 0.949635, -6.06335, 
2019 Aug 19 (Mon) 3:00, 233.1, 329.653, -2.60229, 229.683, 324.82, -125.128, 229.549, 324.631, 114.898, 0.674063, 0.953269, -6.15877, 
2019 Aug 19 (Mon) 3:30, 232.296, 328.517, -2.65825, 228.902, 323.717, -125.174, 228.769, 323.528, 114.854, 0.670763, 0.948602, -6.16782, 
2019 Aug 19 (Mon) 4:00, 231.416, 327.272, -2.57672, 228.071, 322.541, -125.086, 227.943, 322.359, 114.944, 0.667705, 0.944277, -5.98773, 
2019 Aug 19 (Mon) 4:30, 230.314, 325.714, -2.74737, 226.985, 321.005, -125.241, 226.854, 320.82, 114.791, 0.662831, 0.937384, -6.12392, 
2019 Aug 19 (Mon) 5:00, 230.996, 326.677, -2.91976, 227.611, 321.89, -125.416, 227.473, 321.695, 114.615, 0.664775, 0.940134, -6.40895, 
2019 Aug 19 (Mon) 5:30, 231.181, 326.939, -3.38803, 227.713, 322.034, -125.874, 227.559, 321.817, 114.158, 0.66369, 0.938599, -7.04658, 
2019 Aug 19 (Mon) 6:00, 230.686, 326.239, -3.6669, 227.193, 321.299, -126.14, 227.032, 321.072, 113.893, 0.660737, 0.934423, -7.37693, 
2019 Aug 19 (Mon) 6:30, 225.543, 318.966, -3.68266, 222.255, 314.316, -126.104, 222.11, 314.111, 113.94, 0.641148, 0.90672, -6.96944, 
2019 Aug 19 (Mon) 7:00, 226.274, 320, -4.01556, 222.906, 315.237, -126.435, 222.749, 315.014, 113.607, 0.642674, 0.908879, -7.47445, 
2019 Aug 19 (Mon) 7:30, 225.021, 318.228, -4.2841, 221.662, 313.477, -126.684, 221.501, 313.249, 113.361, 0.636941, 0.900771, -7.72633, 
2019 Aug 19 (Mon) 8:00, 225.779, 319.3, -4.23327, 222.397, 314.517, -126.642, 222.236, 314.289, 113.402, 0.639993, 0.905087, -7.72276, 
2019 Aug 19 (Mon) 8:30, 224.799, 317.914, -3.80343, 221.522, 313.279, -126.214, 221.376, 313.072, 113.831, 0.637885, 0.902106, -7.06713, 
2019 Aug 19 (Mon) 9:00, 225.101, 318.341, -3.7459, 225.101, 318.341, -123.746, 225.101, 318.341, 116.254, 3.34971e-08, 4.73721e-08, -90.2674, 
2019 Aug 19 (Mon) 9:30, 227.563, 321.823, -3.7848, 227.563, 321.823, -123.785, 227.563, 321.822, 116.215, 3.40032e-08, 4.80877e-08, -90.6233, 
2019 Aug 19 (Mon) 10:00, 229.55, 324.632, -3.69401, 229.55, 324.632, -123.694, 229.55, 324.632, 116.306, 3.4436e-08, 4.86998e-08, -90.7432, 
2019 Aug 19 (Mon) 10:30, 230.904, 326.548, -3.56844, 230.904, 326.548, -123.568, 230.904, 326.548, 116.432, 3.47596e-08, 4.91575e-08, -90.735, 
2019 Aug 19 (Mon) 11:00, 229.466, 324.514, -3.5652, 229.466, 324.514, -123.565, 229.466, 324.514, 116.435, 3.44605e-08, 4.87346e-08, -90.5512, 
2019 Aug 19 (Mon) 11:30, 229.282, 324.253, -3.69357, 229.282, 324.254, -123.694, 229.282, 324.253, 116.306, 3.4382e-08, 4.86235e-08, -90.714, 
2019 Aug 19 (Mon) 12:00, 228.995, 323.849, -3.74596, 228.996, 323.849, -123.746, 228.995, 323.848, 116.254, 3.43055e-08, 4.85152e-08, -90.7432, 
2019 Aug 19 (Mon) 12:30, 227.578, 321.844, -3.71009, 227.578, 321.844, -123.71, 227.578, 321.844, 116.29, 3.40201e-08, 4.81117e-08, -90.5192, 
2019 Aug 19 (Mon) 13:00, 230.313, 325.712, -3.89986, 230.313, 325.712, -123.9, 230.313, 325.712, 116.1, 3.45363e-08, 4.88417e-08, -91.1208, 
2019 Aug 19 (Mon) 13:30, 229.955, 325.206, -3.67396, 229.955, 325.206, -123.674, 229.955, 325.206, 116.326, 3.45305e-08, 4.88335e-08, -90.7693, 
2019 Aug 19 (Mon) 14:00, 227.246, 321.374, -3.55368, 227.246, 321.374, -123.554, 227.246, 321.374, 116.446, 3.3994e-08, 4.80748e-08, -90.2604, 
2019 Aug 19 (Mon) 14:30, 226.205, 319.902, -3.42042, 226.205, 319.902, -123.42, 226.205, 319.902, 116.58, 3.38196e-08, 4.78282e-08, -89.9538, 
2019 Aug 19 (Mon) 15:00, 229.922, 325.159, -3.8859, 229.922, 325.159, -123.886, 229.922, 325.158, 116.114, 3.44585e-08, 4.87316e-08, -91.0555, 
2019 Aug 19 (Mon) 15:30, 227.64, 321.932, -4.06064, 227.64, 321.932, -124.061, 227.64, 321.932, 115.939, 3.39325e-08, 4.79878e-08, -91.0165, 
