Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 1.55957, 1.53157, 1.70112, 1.778, 1.79979, 1.79992, 1.80005, 1.53167, 1.53178, 1.53189, 1.53168, 1.53179, 1.53189, 
2019 Aug 19 (Mon) 0:30, 1.55987, 1.53215, 1.7014, 1.77857, 1.80048, 1.80058, 1.80067, 1.53223, 1.53231, 1.53239, 1.53224, 1.53232, 1.5324, 
2019 Aug 19 (Mon) 1:00, 1.5855, 1.558, 1.72726, 1.80474, 1.82681, 1.82695, 1.82709, 1.55812, 1.55824, 1.55836, 1.55812, 1.55824, 1.55836, 
2019 Aug 19 (Mon) 1:30, 1.58819, 1.5609, 1.72995, 1.80766, 1.82982, 1.82995, 1.83007, 1.561, 1.56112, 1.56122, 1.56101, 1.56112, 1.56123, 
2019 Aug 19 (Mon) 2:00, 1.57143, 1.54422, 1.71301, 1.79074, 1.81291, 1.81298, 1.81304, 1.54427, 1.54433, 1.54439, 1.54428, 1.54434, 1.5444, 
2019 Aug 19 (Mon) 2:30, 1.59119, 1.56407, 1.73295, 1.81085, 1.8331, 1.83321, 1.83333, 1.56417, 1.56427, 1.56436, 1.56417, 1.56427, 1.56437, 
2019 Aug 19 (Mon) 3:00, 1.5963, 1.56917, 1.73811, 1.81602, 1.83827, 1.8384, 1.83854, 1.56928, 1.56939, 1.5695, 1.56929, 1.5694, 1.56951, 
2019 Aug 19 (Mon) 3:30, 1.59032, 1.56313, 1.73208, 1.8099, 1.83212, 1.83224, 1.83236, 1.56323, 1.56333, 1.56343, 1.56323, 1.56334, 1.56344, 
2019 Aug 19 (Mon) 4:00, 1.58393, 1.5568, 1.72563, 1.80348, 1.82571, 1.8258, 1.8259, 1.55688, 1.55696, 1.55704, 1.55688, 1.55697, 1.55705, 
2019 Aug 19 (Mon) 4:30, 1.57563, 1.54832, 1.71726, 1.79491, 1.81704, 1.81713, 1.81723, 1.54839, 1.54847, 1.54855, 1.5484, 1.54848, 1.54855, 
2019 Aug 19 (Mon) 5:00, 1.58044, 1.553, 1.72214, 1.79967, 1.82176, 1.82188, 1.822, 1.5531, 1.55321, 1.55331, 1.5531, 1.55321, 1.55331, 
2019 Aug 19 (Mon) 5:30, 1.58128, 1.55343, 1.72304, 1.80015, 1.82205, 1.82223, 1.82239, 1.55357, 1.55372, 1.55386, 1.55358, 1.55372, 1.55387, 
2019 Aug 19 (Mon) 6:00, 1.57733, 1.54923, 1.71907, 1.7959, 1.81769, 1.81788, 1.81807, 1.54938, 1.54955, 1.54971, 1.54939, 1.54955, 1.54972, 
2019 Aug 19 (Mon) 6:30, 1.53947, 1.51126, 1.68084, 1.75741, 1.77906, 1.77916, 1.77925, 1.51134, 1.51141, 1.51149, 1.51134, 1.51142, 1.5115, 
2019 Aug 19 (Mon) 7:00, 1.5445, 1.51602, 1.68595, 1.76225, 1.78379, 1.78393, 1.78407, 1.51613, 1.51625, 1.51637, 1.51614, 1.51626, 1.51638, 
2019 Aug 19 (Mon) 7:30, 1.535, 1.50626, 1.67637, 1.75236, 1.77376, 1.7739, 1.77405, 1.50638, 1.5065, 1.50662, 1.50638, 1.50651, 1.50663, 
2019 Aug 19 (Mon) 8:00, 1.54064, 1.51195, 1.68205, 1.75813, 1.77957, 1.77972, 1.77988, 1.51208, 1.51221, 1.51233, 1.51208, 1.51222, 1.51234, 
2019 Aug 19 (Mon) 8:30, 1.53387, 1.50554, 1.67519, 1.75161, 1.77319, 1.77329, 1.77337, 1.50561, 1.50569, 1.50577, 1.50562, 1.5057, 1.50577, 
2019 Aug 19 (Mon) 9:00, 5.79258e-05, 5.59672e-05, 6.77328e-05, 7.86778e-05, 8.38954e-05, 8.728e-05, 8.98377e-05, 5.36109e-05, 5.74913e-05, 6.05625e-05, 6.24403e-05, 6.61061e-05, 6.94633e-05, 
2019 Aug 19 (Mon) 9:30, 5.05808e-05, 4.83557e-05, 6.36674e-05, 7.24953e-05, 7.96762e-05, 8.38933e-05, 8.32412e-05, 4.7835e-05, 5.20231e-05, 5.4829e-05, 5.5861e-05, 6.05731e-05, 6.00011e-05, 
2019 Aug 19 (Mon) 10:00, 4.09163e-05, 3.8666e-05, 5.06754e-05, 5.82284e-05, 6.19671e-05, 6.75555e-05, 6.58694e-05, 3.61906e-05, 4.11555e-05, 4.28519e-05, 4.46281e-05, 4.62987e-05, 4.77603e-05, 
2019 Aug 19 (Mon) 10:30, 3.2357e-05, 2.87328e-05, 3.84533e-05, 4.3827e-05, 4.7933e-05, 4.92987e-05, 5.15158e-05, 2.65564e-05, 3.02046e-05, 3.01082e-05, 3.2611e-05, 3.60217e-05, 3.56168e-05, 
2019 Aug 19 (Mon) 11:00, 4.31734e-05, 4.21765e-05, 5.34039e-05, 5.98213e-05, 6.58591e-05, 6.88778e-05, 7.02843e-05, 3.94932e-05, 4.22554e-05, 4.27768e-05, 4.76372e-05, 4.97835e-05, 5.08721e-05, 
2019 Aug 19 (Mon) 11:30, 4.41952e-05, 4.0582e-05, 5.18206e-05, 5.9549e-05, 6.67825e-05, 7.06751e-05, 7.05991e-05, 3.86928e-05, 4.20001e-05, 4.42906e-05, 4.65172e-05, 5.03033e-05, 4.96884e-05, 
2019 Aug 19 (Mon) 12:00, 4.42623e-05, 4.2002e-05, 5.53211e-05, 6.1489e-05, 6.76079e-05, 7.22512e-05, 7.19872e-05, 4.21375e-05, 4.48378e-05, 4.52987e-05, 4.75269e-05, 5.11052e-05, 5.13402e-05, 
