Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.934764, 0.934788, 0.934801, 0.856306
2019 Aug 19 (Mon) 0:30, 0.915718, 0.915747, 0.915766, 0.856807
2019 Aug 19 (Mon) 1:00, 0.965427, 0.965442, 0.965448, 0.857502
2019 Aug 19 (Mon) 1:30, 0.960235, 0.960252, 0.960259, 0.857912
2019 Aug 19 (Mon) 2:00, 0.904246, 0.904278, 0.904302, 0.857859
2019 Aug 19 (Mon) 2:30, 0.956797, 0.956815, 0.956823, 0.858265
2019 Aug 19 (Mon) 3:00, 0.970694, 0.970706, 0.97071, 0.858304
2019 Aug 19 (Mon) 3:30, 0.959377, 0.959394, 0.959401, 0.858115
2019 Aug 19 (Mon) 4:00, 0.937282, 0.937307, 0.93732, 0.858138
2019 Aug 19 (Mon) 4:30, 0.926439, 0.926467, 0.926483, 0.857728
2019 Aug 19 (Mon) 5:00, 0.949946, 0.949966, 0.949976, 0.857554
2019 Aug 19 (Mon) 5:30, 0.972417, 0.972429, 0.972433, 0.856838
2019 Aug 19 (Mon) 6:00, 0.975055, 0.975066, 0.975069, 0.856343
2019 Aug 19 (Mon) 6:30, 0.903489, 0.903516, 0.903536, 0.855633
2019 Aug 19 (Mon) 7:00, 0.93226, 0.932283, 0.932296, 0.855214
2019 Aug 19 (Mon) 7:30, 0.928108, 0.92813, 0.928144, 0.854614
2019 Aug 19 (Mon) 8:00, 0.935594, 0.935616, 0.935628, 0.854808
2019 Aug 19 (Mon) 8:30, 0.899441, 0.899467, 0.899487, 0.855347
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.855454
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.855727
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.856137
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.856502
2019 Aug 19 (Mon) 11:00, 0.956761, 0.95678, 0.956788, 0.856331
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.856105
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.855975
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.855851
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.855907
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.856217
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.856052
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.856119
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.855876
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.855307
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.85488
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.854203
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.853276
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.852098
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.850951
2019 Aug 19 (Mon) 18:30, 0.925385, 0.926136, 0.943753, 0.8501
2019 Aug 19 (Mon) 19:00, 0.913906, 0.914704, 0.934609, 0.849938
2019 Aug 19 (Mon) 19:30, 0.955579, 0.956173, 0.966737, 0.849946
2019 Aug 19 (Mon) 20:00, 0.968569, 0.969076, 0.976832, 0.850512
2019 Aug 19 (Mon) 20:30, 0.901727, 0.902571, 0.925242, 0.850083
2019 Aug 19 (Mon) 21:00, 0.936165, 0.936869, 0.952502, 0.850517
2019 Aug 19 (Mon) 21:30, 0.932835, 0.933558, 0.950584, 0.851045
2019 Aug 19 (Mon) 22:00, 0.933668, 0.934395, 0.952636, 0.852146
2019 Aug 19 (Mon) 22:30, 0.92951, 0.930263, 0.950778, 0.852912
2019 Aug 19 (Mon) 23:00, 0.92619, 0.926967, 0.95045, 0.854013
2019 Aug 19 (Mon) 23:30, 0.903207, 0.904093, 0.937246, 0.855038
2019 Aug 20 (Tue) 0:00, 0.934513, 0.935264, 0.961303, 0.856303
