Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 16:30, 226.301, 320.038, -4.50415, 226.301, 320.038, -124.504, 226.301, 320.038, 115.496, 4.4631e-08, 6.31177e-08, -37.9186, 
2019 Aug 19 (Mon) 17:00, 225.678, 319.157, -5.01179, 225.678, 319.157, -125.012, 225.678, 319.157, 114.988, 4.4254e-08, 6.25846e-08, -38.9123, 
2019 Aug 19 (Mon) 17:30, 221.874, 313.777, -5.40251, 221.874, 313.778, -125.403, 221.874, 313.777, 114.597, 4.26351e-08, 6.02951e-08, -39.4119, 
2019 Aug 19 (Mon) 18:00, 219.615, 310.582, -5.884, 219.615, 310.582, -125.884, 219.615, 310.582, 114.116, 4.16315e-08, 5.88758e-08, -40.2161, 
2019 Aug 19 (Mon) 18:30, 218.475, 308.971, -6.28988, 218.538, 309.059, -126.295, 216.791, 306.589, 112.577, 0.295272, 0.417577, -42.3388, 
2019 Aug 19 (Mon) 19:00, 217.294, 307.3, -6.27826, 217.356, 307.388, -126.284, 215.636, 304.955, 112.595, 0.292032, 0.412996, -42.2096, 
2019 Aug 19 (Mon) 19:30, 220.961, 312.485, -6.60658, 221.025, 312.576, -126.61, 219.198, 309.992, 112.251, 0.301624, 0.42656, -43.2067, 
2019 Aug 19 (Mon) 20:00, 223.13, 315.554, -6.46206, 223.193, 315.643, -126.465, 221.332, 313.011, 112.382, 0.307982, 0.435552, -43.1001, 
2019 Aug 19 (Mon) 20:30, 216.609, 306.332, -6.12983, 216.671, 306.419, -126.136, 214.977, 304.023, 112.745, 0.290407, 0.410698, -41.8443, 
2019 Aug 19 (Mon) 21:00, 220.023, 311.159, -6.18211, 220.084, 311.246, -126.186, 218.314, 308.743, 112.675, 0.29976, 0.423925, -42.2552, 
2019 Aug 19 (Mon) 21:30, 220.571, 311.934, -5.91636, 220.63, 312.018, -125.921, 218.872, 309.531, 112.934, 0.301763, 0.426757, -41.7595, 
2019 Aug 19 (Mon) 22:00, 222.357, 314.46, -5.4147, 222.412, 314.539, -125.418, 220.661, 312.062, 113.419, 0.307694, 0.435145, -40.8892, 
2019 Aug 19 (Mon) 22:30, 223.271, 315.752, -5.03344, 223.324, 315.827, -125.037, 221.587, 313.372, 113.79, 0.310985, 0.4398, -40.1886, 
2019 Aug 19 (Mon) 23:00, 224.823, 317.948, -4.50057, 224.872, 318.017, -124.504, 223.153, 315.585, 114.307, 0.316416, 0.44748, -39.2327, 
2019 Aug 19 (Mon) 23:30, 225.289, 318.607, -3.92031, 225.333, 318.669, -123.924, 223.658, 316.301, 114.877, 0.318843, 0.450912, -38.0862, 
2019 Aug 20 (Tue) 0:00, 228.937, 323.765, -3.43806, 228.975, 323.82, -123.44, 227.274, 321.413, 115.332, 0.330419, 0.467283, -37.4098, 
