Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 0:00, 5.05423e-05, 4.74796e-05, 6.12544e-05, 6.95118e-05, 7.85681e-05, 8.00333e-05, 8.19437e-05, 4.75679e-05, 5.11743e-05, 5.28503e-05, 5.5979e-05, 5.73725e-05, 5.90696e-05, 
2019 Aug 19 (Mon) 0:30, 5.21227e-05, 4.96851e-05, 6.55344e-05, 7.1418e-05, 7.91626e-05, 8.39626e-05, 8.55926e-05, 4.91601e-05, 5.42088e-05, 5.55547e-05, 5.71839e-05, 6.22259e-05, 6.35912e-05, 
2019 Aug 19 (Mon) 1:00, 3.15843e-05, 2.83955e-05, 3.79685e-05, 4.25662e-05, 4.72476e-05, 5.26303e-05, 5.11026e-05, 2.81757e-05, 2.97994e-05, 3.11674e-05, 3.27705e-05, 3.4713e-05, 3.52635e-05, 
2019 Aug 19 (Mon) 1:30, 3.02675e-05, 3.05493e-05, 3.92162e-05, 4.42008e-05, 4.93209e-05, 4.9988e-05, 5.18808e-05, 3.00156e-05, 2.97792e-05, 3.11557e-05, 3.22397e-05, 3.61448e-05, 3.75384e-05, 
2019 Aug 19 (Mon) 2:00, 4.9498e-05, 4.85073e-05, 5.99994e-05, 7.03909e-05, 7.66353e-05, 7.86236e-05, 8.12943e-05, 4.63982e-05, 4.83763e-05, 5.13022e-05, 5.474e-05, 5.61409e-05, 5.87435e-05, 
2019 Aug 19 (Mon) 2:30, 3.03968e-05, 3.00622e-05, 3.66245e-05, 4.41673e-05, 4.63758e-05, 4.76858e-05, 4.87847e-05, 2.59421e-05, 3.01591e-05, 3.1233e-05, 3.19287e-05, 3.32502e-05, 3.38563e-05, 
2019 Aug 19 (Mon) 3:00, 2.18812e-05, 2.04912e-05, 2.9507e-05, 3.40876e-05, 3.5117e-05, 3.86093e-05, 3.9371e-05, 1.99821e-05, 2.32866e-05, 2.35446e-05, 2.40765e-05, 2.45942e-05, 2.51983e-05, 
2019 Aug 19 (Mon) 3:30, 3.21247e-05, 2.9293e-05, 3.77594e-05, 4.41775e-05, 4.63749e-05, 4.97559e-05, 4.90986e-05, 2.89894e-05, 3.00362e-05, 3.12732e-05, 3.35288e-05, 3.38268e-05, 3.61281e-05, 
2019 Aug 19 (Mon) 4:00, 3.79594e-05, 3.60622e-05, 4.66542e-05, 5.43186e-05, 5.81199e-05, 6.19973e-05, 6.3104e-05, 3.64802e-05, 3.68931e-05, 4.08485e-05, 4.09363e-05, 4.4233e-05, 4.42243e-05, 
2019 Aug 19 (Mon) 4:30, 4.66939e-05, 4.27179e-05, 5.56571e-05, 6.41263e-05, 6.93475e-05, 7.2015e-05, 7.24943e-05, 4.1307e-05, 4.64751e-05, 4.62744e-05, 4.81924e-05, 5.00151e-05, 5.31797e-05, 
