Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2634, 113.48, 98.9296, 4.14186e-06, 5.85748e-06, 114.077, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4521, 125.062, -136.807, 88.4558, 125.07, 103.194, 4.14245e-06, 5.85831e-06, 113.052, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0998, 134.465, -136.414, 95.1038, 134.474, 103.587, 4.11948e-06, 5.82582e-06, 112.472, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 3.92283e-06, 5.54772e-06, 112.689, 
2019 Aug 19 (Mon) 7:00, 114.561, 162.014, -25.1651, 114.566, 162.001, -145.162, 114.575, 162.017, 94.8406, 3.94613e-06, 5.58067e-06, 111.933, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9262, 3.8955e-06, 5.50907e-06, 111.413, 
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 3.92455e-06, 5.55016e-06, 111.485, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.179, 164.288, -149.672, 116.189, 164.303, 90.3306, 3.89347e-06, 5.5062e-06, 112.465, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 3.90424e-06, 5.52143e-06, 112.545, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 3.99721e-06, 5.65291e-06, 112.34, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.984, 139.961, 100.688, 4.07493e-06, 5.76282e-06, 112.441, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8694, 131.31, -136.329, 92.8732, 131.319, 103.672, 4.12915e-06, 5.83949e-06, 112.648, 
2019 Aug 19 (Mon) 11:00, 96.8289, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 4.07336e-06, 5.7606e-06, 112.726, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 4.0646e-06, 5.74822e-06, 112.455, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 4.05281e-06, 5.73153e-06, 112.354, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 3.99899e-06, 5.65542e-06, 112.504, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 4.10164e-06, 5.80059e-06, 111.956, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.455, 137.795, -138.342, 97.4601, 137.805, 101.66, 4.09085e-06, 5.78534e-06, 112.465, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 3.98843e-06, 5.64049e-06, 112.859, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.794, -149.521, 105.236, 148.81, 90.4819, 3.95065e-06, 5.58707e-06, 113.201, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 4.08664e-06, 5.77938e-06, 112.004, 
