Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 227.27, 321.409, -4.68633, 228.953, 323.789, -123.436, 228.961, 323.8, 116.563, 0.0922895, 0.130517, -168.413, 
2019 Aug 19 (Mon) 0:30, 228.92, 323.742, -3.12787, 228.92, 323.742, -123.128, 228.92, 323.742, 116.872, 1.27757e-08, 1.80676e-08, -165.852, 
2019 Aug 19 (Mon) 1:00, 232.243, 328.441, -2.9487, 232.243, 328.441, -122.949, 232.243, 328.441, 117.051, 1.34774e-08, 1.90599e-08, -164.918, 
2019 Aug 19 (Mon) 1:30, 232.538, 328.859, -2.72146, 232.538, 328.859, -122.721, 232.538, 328.859, 117.279, 1.35254e-08, 1.91278e-08, -164.047, 
2019 Aug 19 (Mon) 2:00, 230.302, 325.697, -2.59158, 230.302, 325.697, -122.592, 230.302, 325.697, 117.408, 1.30333e-08, 1.84319e-08, -163.711, 
2019 Aug 19 (Mon) 2:30, 232.881, 329.344, -2.52867, 232.881, 329.344, -122.529, 232.881, 329.344, 117.471, 1.35887e-08, 1.92173e-08, -163.298, 
2019 Aug 19 (Mon) 3:00, 233.559, 330.302, -2.55254, 233.559, 330.302, -122.553, 233.559, 330.302, 117.447, 1.37391e-08, 1.943e-08, -163.344, 
2019 Aug 19 (Mon) 3:30, 232.789, 329.213, -2.61128, 232.789, 329.213, -122.611, 232.789, 329.213, 117.389, 1.35729e-08, 1.9195e-08, -163.614, 
2019 Aug 19 (Mon) 4:00, 231.931, 328, -2.53804, 231.931, 328, -122.538, 231.931, 328, 117.462, 1.33819e-08, 1.89249e-08, -163.397, 
2019 Aug 19 (Mon) 4:30, 230.884, 326.519, -2.70914, 230.884, 326.519, -122.709, 230.884, 326.519, 117.291, 1.31662e-08, 1.86198e-08, -164.111, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 1.33225e-08, 1.88409e-08, -164.677, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 1.3403e-08, 1.89547e-08, -166.346, 
2019 Aug 19 (Mon) 6:00, 231.333, 327.154, -3.5925, 231.333, 327.154, -123.593, 231.333, 327.154, 116.407, 1.3326e-08, 1.88458e-08, -167.405, 
2019 Aug 19 (Mon) 6:30, 226.367, 320.132, -3.63917, 226.368, 320.132, -123.639, 226.367, 320.132, 116.361, 1.22824e-08, 1.73699e-08, -168.032, 
2019 Aug 19 (Mon) 7:00, 227.106, 321.177, -3.95499, 227.106, 321.177, -123.955, 227.106, 321.177, 116.045, 1.24612e-08, 1.76229e-08, -169.154, 
2019 Aug 19 (Mon) 7:30, 225.921, 319.501, -4.22115, 225.921, 319.501, -124.221, 225.921, 319.501, 115.779, 1.2242e-08, 1.73128e-08, -170.292, 
2019 Aug 19 (Mon) 8:00, 226.649, 320.53, -4.16755, 226.649, 320.53, -124.168, 226.649, 320.53, 115.832, 1.23878e-08, 1.7519e-08, -170.001, 
2019 Aug 19 (Mon) 8:30, 225.66, 319.132, -3.76005, 225.661, 319.132, -123.76, 225.66, 319.132, 116.24, 1.21476e-08, 1.71793e-08, -168.564, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 1.21985e-08, 1.72513e-08, -168.364, 
2019 Aug 19 (Mon) 9:30, 228.319, 322.892, -3.73801, 228.319, 322.892, -123.738, 228.319, 322.892, 116.262, 1.26993e-08, 1.79595e-08, -168.218, 
2019 Aug 19 (Mon) 10:00, 230.236, 325.603, -3.63794, 230.236, 325.604, -123.638, 230.236, 325.603, 116.362, 1.30955e-08, 1.85198e-08, -167.662, 
2019 Aug 19 (Mon) 10:30, 231.537, 327.443, -3.50824, 231.537, 327.443, -123.508, 231.537, 327.443, 116.492, 1.33643e-08, 1.88999e-08, -167.061, 
2019 Aug 19 (Mon) 11:00, 230.143, 325.471, -3.51394, 230.143, 325.471, -123.514, 230.143, 325.471, 116.486, 1.30655e-08, 1.84774e-08, -167.2, 
2019 Aug 19 (Mon) 11:30, 229.977, 325.236, -3.63916, 229.977, 325.236, -123.639, 229.976, 325.236, 116.361, 1.30398e-08, 1.84411e-08, -167.685, 
2019 Aug 19 (Mon) 12:00, 229.704, 324.851, -3.69158, 229.704, 324.851, -123.692, 229.704, 324.851, 116.308, 1.2986e-08, 1.8365e-08, -167.911, 
2019 Aug 19 (Mon) 12:30, 228.327, 322.903, -3.66573, 228.327, 322.903, -123.666, 228.327, 322.902, 116.334, 1.26933e-08, 1.7951e-08, -167.944, 
