Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 4.10476e-06, 5.80501e-06, -8.67673, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 3.99256e-06, 5.64633e-06, -8.9437, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 3.96625e-06, 5.60912e-06, -9.97163, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.726, 223.052, 92.7448, 3.82715e-06, 5.41241e-06, -10.6676, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 3.74398e-06, 5.29479e-06, -11.5941, 
2019 Aug 19 (Mon) 18:30, 184.382, 260.756, -28.5212, 184.376, 260.743, -148.519, 184.386, 260.757, 91.4822, 3.70268e-06, 5.23639e-06, -12.3928, 
2019 Aug 19 (Mon) 19:00, 188.251, 266.227, -30.1858, 188.244, 266.214, -150.184, 188.253, 266.227, 89.8174, 3.6617e-06, 5.17843e-06, -12.3363, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2994, 3.78705e-06, 5.3557e-06, -13.1088, 
2019 Aug 19 (Mon) 20:00, 173.257, 245.022, -20.8206, 173.257, 245.01, -140.818, 173.267, 245.026, 99.1831, 3.86501e-06, 5.46595e-06, -12.869, 
2019 Aug 19 (Mon) 20:30, 188.249, 266.224, -31.7028, 188.242, 266.212, -151.701, 188.251, 266.224, 88.3002, 3.63936e-06, 5.14683e-06, -12.0041, 
2019 Aug 19 (Mon) 21:00, 177.385, 250.861, -26.7221, 177.38, 250.847, -146.72, 177.391, 250.863, 93.2817, 3.75765e-06, 5.31412e-06, -12.2134, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9927, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 3.77873e-06, 5.34393e-06, -11.6866, 
2019 Aug 19 (Mon) 22:00, 156.193, 220.89, -26.358, 156.19, 220.876, -146.355, 156.2, 220.892, 93.6464, 3.84535e-06, 5.43815e-06, -10.7016, 
2019 Aug 19 (Mon) 22:30, 146.421, 207.07, -26.6324, 146.418, 207.056, -146.63, 146.428, 207.072, 93.3724, 3.8808e-06, 5.48828e-06, -9.94622, 
2019 Aug 19 (Mon) 23:00, 131.802, 186.396, -26.6098, 131.802, 186.382, -146.607, 131.811, 186.398, 93.3955, 3.94042e-06, 5.5726e-06, -8.89225, 
2019 Aug 19 (Mon) 23:30, 147.3, 208.313, -25.4505, 120.142, 169.893, -149.303, 120.137, 169.887, 90.7246, 28.5444, 40.3679, -9.08529, 
2019 Aug 20 (Tue) 0:00, 127.738, 180.649, -20.578, 99.072, 140.083, -144.253, 99.0642, 140.076, 95.7758, 29.5302, 41.7619, -8.21547, 
