Time, 10_EV, 11_EV, 14_EV, 17_EV, 18_EV, 1_EV, 20_EV, 21_EV, 22_EV, 23_EV, 24_EV, 25_EV, 27_EV, 31_EV, 32_EV, 33_EV, 34_EV, 35_EV, 36_EV, 39_EV, 3_EV, 43_EV, 44_EV, 46_EV, 48_EV, 4_EV, 50_EV, 53_EV, 56_EV, 57_EV, 60_EV, 64_EV, 66_EV, 7_EV, 
2019 Aug 19 (Mon) 10:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 11:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 11:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 12:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 12:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 13:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 13:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 14:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 14:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 15:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 15:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 16:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 16:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 17:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 17:30, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 18:00, 100, 99.7641, 100, 99.6562, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.3488, 100, 100, 98.3386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98.8891, 100, 100, 
2019 Aug 19 (Mon) 18:30, 92.0513, 91.8154, 92.0513, 91.7074, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4001, 92.0513, 92.0513, 90.3899, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.9404, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 19:00, 97.7543, 97.5213, 97.7543, 97.4149, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 96.1259, 97.7543, 97.7543, 96.1169, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 96.6592, 97.7543, 97.7543, 
2019 Aug 19 (Mon) 19:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 20:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 20:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 21:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 21:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 22:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 22:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 23:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 23:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 20 (Tue) 0:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
