Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 318.126, 449.898, -18.8689, 267.086, 377.708, -138.133, 213.055, 301.295, 102.425, 92.2448, 130.454, -52.3903, 
2019 Aug 19 (Mon) 0:30, 121.758, 172.192, -22.2744, 178.355, 252.219, -138.767, 150.261, 212.487, 99.9726, 50.0064, 70.7197, -161.676, 
2019 Aug 19 (Mon) 1:00, 79.7551, 112.791, -18.0587, 79.7731, 112.784, -138.055, 79.7765, 112.793, 101.946, 1.66729e-05, 2.3579e-05, -125.473, 
2019 Aug 19 (Mon) 1:30, 74.4351, 105.267, -18.9334, 74.4547, 105.261, -138.93, 74.4578, 105.269, 101.071, 1.67411e-05, 2.36755e-05, -125.028, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.3331, 112.161, -147.865, 79.3395, 112.175, 92.1378, 1.64223e-05, 2.32247e-05, -124.557, 
2019 Aug 19 (Mon) 2:30, 69.6637, 98.5192, -19.4319, 69.6847, 98.5128, -139.428, 69.6875, 98.5213, 100.573, 1.68129e-05, 2.37771e-05, -124.659, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4924, -16.458, 68.25, 96.4878, -136.455, 68.2518, 96.4943, 103.546, 1.69122e-05, 2.39174e-05, -124.769, 
2019 Aug 19 (Mon) 3:30, 71.5501, 101.187, -18.9985, 71.5704, 101.181, -138.995, 71.5733, 101.189, 101.006, 1.67902e-05, 2.3745e-05, -124.822, 
2019 Aug 19 (Mon) 4:00, 72.7756, 102.92, -22.938, 72.7957, 102.911, -142.934, 72.7999, 102.922, 97.0682, 1.66699e-05, 2.35748e-05, -124.593, 
2019 Aug 19 (Mon) 4:30, 79.3826, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4048, 112.266, 95.1839, 1.64962e-05, 2.33292e-05, -124.853, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2635, 113.48, 98.9296, 1.65793e-05, 2.34467e-05, -125.25, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4522, 125.062, -136.807, 88.4558, 125.07, 103.194, 1.65652e-05, 2.34268e-05, -126.204, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0999, 134.465, -136.414, 95.1039, 134.474, 103.587, 1.64698e-05, 2.32918e-05, -126.728, 
2019 Aug 19 (Mon) 6:30, 111.559, 157.768, -29.0186, 111.561, 157.754, -149.015, 111.57, 157.77, 90.9876, 1.574e-05, 2.22597e-05, -126.368, 
2019 Aug 19 (Mon) 7:00, 114.562, 162.014, -25.1651, 114.566, 162.002, -145.162, 114.575, 162.017, 94.8406, 1.58145e-05, 2.23651e-05, -127.092, 
2019 Aug 19 (Mon) 7:30, 123.279, 174.343, -26.0794, 123.281, 174.329, -146.076, 123.29, 174.345, 93.9262, 1.56168e-05, 2.20855e-05, -127.533, 
