Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 213.7, 302.218, -12.7513, 217.631, 307.777, -130.574, 221.764, 313.621, 111.689, 0.854844, 1.20893, 157.656, 
2019 Aug 19 (Mon) 0:30, 227.265, 321.402, -4.37161, 223.733, 316.406, -126.798, 225.491, 318.893, 114.405, 0.313335, 0.443122, 42.0945, 
2019 Aug 19 (Mon) 1:00, 232.243, 328.441, -2.9487, 232.243, 328.441, -122.949, 232.243, 328.441, 117.051, 1.98666e-07, 2.80956e-07, 50.8229, 
2019 Aug 19 (Mon) 1:30, 232.538, 328.859, -2.72146, 232.538, 328.859, -122.721, 232.538, 328.859, 117.279, 1.99043e-07, 2.81489e-07, 51.2498, 
2019 Aug 19 (Mon) 2:00, 230.302, 325.697, -2.59158, 230.302, 325.697, -122.592, 230.302, 325.697, 117.408, 1.95482e-07, 2.76454e-07, 51.4253, 
2019 Aug 19 (Mon) 2:30, 232.881, 329.344, -2.52867, 232.881, 329.344, -122.529, 232.881, 329.344, 117.471, 1.99507e-07, 2.82146e-07, 51.6146, 
2019 Aug 19 (Mon) 3:00, 233.559, 330.302, -2.55254, 233.559, 330.302, -122.553, 233.559, 330.302, 117.447, 2.00589e-07, 2.83675e-07, 51.5899, 
2019 Aug 19 (Mon) 3:30, 232.789, 329.213, -2.61128, 232.789, 329.213, -122.611, 232.789, 329.213, 117.389, 1.99394e-07, 2.81985e-07, 51.4596, 
2019 Aug 19 (Mon) 4:00, 231.931, 328, -2.53804, 231.931, 328, -122.538, 231.931, 328, 117.462, 1.98013e-07, 2.80033e-07, 51.5705, 
2019 Aug 19 (Mon) 4:30, 230.884, 326.519, -2.70915, 230.884, 326.519, -122.709, 230.884, 326.519, 117.291, 1.96439e-07, 2.77807e-07, 51.2257, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 1.9756e-07, 2.79392e-07, 50.947, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 1.98088e-07, 2.80138e-07, 50.1255, 
2019 Aug 19 (Mon) 6:00, 231.333, 327.154, -3.5925, 231.333, 327.154, -123.593, 231.333, 327.154, 116.407, 1.97482e-07, 2.79281e-07, 49.6135, 
2019 Aug 19 (Mon) 6:30, 226.367, 320.132, -3.63917, 226.368, 320.132, -123.639, 226.367, 320.132, 116.361, 1.89793e-07, 2.68407e-07, 49.391, 
2019 Aug 19 (Mon) 7:00, 227.106, 321.177, -3.95499, 227.106, 321.177, -123.955, 227.106, 321.177, 116.045, 1.91044e-07, 2.70177e-07, 48.8333, 
2019 Aug 19 (Mon) 7:30, 225.921, 319.501, -4.22116, 225.921, 319.501, -124.221, 225.921, 319.501, 115.779, 1.89317e-07, 2.67735e-07, 48.3138, 
2019 Aug 19 (Mon) 8:00, 226.649, 320.53, -4.16755, 226.649, 320.53, -124.168, 226.649, 320.53, 115.832, 1.90415e-07, 2.69288e-07, 48.4317, 
