Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 211.754, 299.466, -12.8927, 214.894, 303.905, -130.964, 220.145, 311.332, 111.345, 0.914105, 1.29274, -170.437, 
2019 Aug 19 (Mon) 0:30, 227.288, 321.434, -4.20764, 221.047, 312.608, -126.958, 224.492, 317.479, 114.011, 0.722477, 1.02174, -135.509, 
2019 Aug 19 (Mon) 1:00, 231.692, 327.661, -2.99481, 231.692, 327.661, -122.995, 231.691, 327.661, 117.005, 1.40483e-07, 1.98673e-07, 151.472, 
2019 Aug 19 (Mon) 1:30, 232.02, 328.126, -2.76198, 232.02, 328.126, -122.762, 232.02, 328.126, 117.238, 1.40896e-07, 1.99256e-07, 151.665, 
2019 Aug 19 (Mon) 2:00, 229.73, 324.887, -2.61294, 229.73, 324.887, -122.613, 229.73, 324.887, 117.387, 1.39695e-07, 1.97559e-07, 152.026, 
2019 Aug 19 (Mon) 2:30, 232.395, 328.656, -2.56508, 232.395, 328.656, -122.565, 232.395, 328.656, 117.435, 1.41302e-07, 1.99831e-07, 151.819, 
2019 Aug 19 (Mon) 3:00, 233.091, 329.64, -2.59418, 233.091, 329.64, -122.594, 233.091, 329.64, 117.406, 1.41679e-07, 2.00364e-07, 151.725, 
2019 Aug 19 (Mon) 3:30, 232.29, 328.508, -2.6498, 232.29, 328.508, -122.65, 232.29, 328.508, 117.35, 1.41162e-07, 1.99633e-07, 151.748, 
2019 Aug 19 (Mon) 4:00, 231.414, 327.269, -2.56849, 231.414, 327.269, -122.569, 231.414, 327.269, 117.431, 1.40722e-07, 1.99011e-07, 151.909, 
2019 Aug 19 (Mon) 4:30, 230.316, 325.716, -2.73831, 230.316, 325.716, -122.738, 230.316, 325.716, 117.262, 1.39921e-07, 1.97878e-07, 151.852, 
2019 Aug 19 (Mon) 5:00, 230.994, 326.675, -2.9101, 230.994, 326.675, -122.91, 230.994, 326.675, 117.09, 1.40155e-07, 1.98209e-07, 151.621, 
2019 Aug 19 (Mon) 5:30, 231.178, 326.935, -3.3765, 231.178, 326.935, -123.377, 231.178, 326.935, 116.623, 1.39823e-07, 1.97739e-07, 151.154, 
2019 Aug 19 (Mon) 6:00, 230.685, 326.237, -3.6542, 230.685, 326.237, -123.654, 230.685, 326.237, 116.346, 1.39281e-07, 1.96973e-07, 150.936, 
