Time, V_PhaseA_RMS, V_PhaseA_Mag, V_PhaseA_Pha, V_PhaseB_RMS, V_PhaseB_Mag, V_PhaseB_Pha, V_PhaseC_RMS, V_PhaseC_Mag, V_PhaseC_Pha, V_Neutral_RMS, V_Neutral_Mag, V_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 228.929, 323.754, -3.44007, 227.297, 321.447, -124.692, 227.266, 321.403, 115.35, 0.478471, 0.676661, -25.5807, 
2019 Aug 19 (Mon) 0:30, 228.924, 323.747, -3.12875, 227.261, 321.395, -124.381, 228.916, 323.736, 116.872, 0.0920722, 0.13021, 72.7478, 
2019 Aug 19 (Mon) 1:00, 232.243, 328.441, -2.9487, 232.243, 328.441, -122.949, 232.243, 328.441, 117.051, 6.1237e-08, 8.66022e-08, -95.3073, 
2019 Aug 19 (Mon) 1:30, 232.538, 328.859, -2.72146, 232.538, 328.859, -122.721, 232.538, 328.859, 117.279, 6.14453e-08, 8.68967e-08, -95.0234, 
2019 Aug 19 (Mon) 2:00, 230.302, 325.697, -2.59158, 230.302, 325.697, -122.592, 230.302, 325.697, 117.408, 6.06871e-08, 8.58245e-08, -94.6122, 
2019 Aug 19 (Mon) 2:30, 232.881, 329.344, -2.52867, 232.881, 329.344, -122.529, 232.881, 329.344, 117.471, 6.16579e-08, 8.71974e-08, -94.7921, 
2019 Aug 19 (Mon) 3:00, 233.559, 330.302, -2.55254, 233.559, 330.302, -122.553, 233.559, 330.302, 117.447, 6.18957e-08, 8.75338e-08, -94.8943, 
2019 Aug 19 (Mon) 3:30, 232.789, 329.213, -2.61128, 232.789, 329.213, -122.611, 232.789, 329.213, 117.389, 6.15875e-08, 8.70979e-08, -94.8959, 
2019 Aug 19 (Mon) 4:00, 231.931, 328, -2.53804, 231.931, 328, -122.538, 231.931, 328, 117.462, 6.13057e-08, 8.66993e-08, -94.7068, 
2019 Aug 19 (Mon) 4:30, 230.884, 326.519, -2.70914, 230.884, 326.519, -122.709, 230.884, 326.519, 117.291, 6.08466e-08, 8.60502e-08, -94.8352, 
2019 Aug 19 (Mon) 5:00, 231.559, 327.473, -2.87107, 231.559, 327.473, -122.871, 231.558, 327.473, 117.129, 6.10218e-08, 8.62978e-08, -95.1306, 
2019 Aug 19 (Mon) 5:30, 231.784, 327.791, -3.32098, 231.784, 327.791, -123.321, 231.783, 327.791, 116.679, 6.09025e-08, 8.61291e-08, -95.7772, 
2019 Aug 19 (Mon) 6:00, 231.333, 327.154, -3.5925, 231.333, 327.154, -123.593, 231.333, 327.154, 116.407, 6.06202e-08, 8.57299e-08, -96.1064, 
2019 Aug 19 (Mon) 6:30, 226.367, 320.132, -3.63917, 226.368, 320.132, -123.639, 226.367, 320.132, 116.361, 5.88049e-08, 8.31626e-08, -95.6507, 
2019 Aug 19 (Mon) 7:00, 227.106, 321.177, -3.95499, 227.106, 321.177, -123.955, 227.106, 321.177, 116.045, 5.89345e-08, 8.33459e-08, -96.169, 
2019 Aug 19 (Mon) 7:30, 225.921, 319.501, -4.22115, 225.921, 319.501, -124.221, 225.921, 319.501, 115.779, 5.83959e-08, 8.25843e-08, -96.4096, 
2019 Aug 19 (Mon) 8:00, 226.649, 320.53, -4.16755, 226.649, 320.53, -124.168, 226.649, 320.53, 115.832, 5.86802e-08, 8.29863e-08, -96.414, 
2019 Aug 19 (Mon) 8:30, 225.66, 319.132, -3.76005, 225.661, 319.132, -123.76, 225.66, 319.132, 116.24, 5.84971e-08, 8.27275e-08, -95.7454, 
2019 Aug 19 (Mon) 9:00, 225.929, 319.511, -3.71599, 225.929, 319.512, -123.716, 225.929, 319.511, 116.284, 5.86141e-08, 8.28928e-08, -95.7128, 
2019 Aug 19 (Mon) 9:30, 228.319, 322.892, -3.73801, 228.319, 322.892, -123.738, 228.319, 322.892, 116.262, 5.94639e-08, 8.40946e-08, -95.9953, 
2019 Aug 19 (Mon) 10:00, 230.236, 325.603, -3.63794, 230.236, 325.604, -123.638, 230.236, 325.603, 116.362, 6.02015e-08, 8.51378e-08, -96.0545, 
2019 Aug 19 (Mon) 10:30, 231.537, 327.443, -3.50824, 231.537, 327.443, -123.508, 231.537, 327.443, 116.492, 6.07312e-08, 8.58869e-08, -96.0105, 
2019 Aug 19 (Mon) 11:00, 230.143, 325.471, -3.51394, 230.143, 325.471, -123.514, 230.143, 325.471, 116.486, 6.02231e-08, 8.51684e-08, -95.8735, 
2019 Aug 19 (Mon) 11:30, 229.977, 325.236, -3.63916, 229.977, 325.236, -123.639, 229.976, 325.236, 116.361, 6.01079e-08, 8.50054e-08, -96.0306, 
2019 Aug 19 (Mon) 12:00, 229.704, 324.851, -3.69158, 229.704, 324.851, -123.692, 229.704, 324.851, 116.308, 5.99846e-08, 8.4831e-08, -96.075, 
2019 Aug 19 (Mon) 12:30, 228.327, 322.903, -3.66573, 228.327, 322.903, -123.666, 228.327, 322.902, 116.334, 5.94983e-08, 8.41433e-08, -95.8937, 
2019 Aug 19 (Mon) 13:00, 230.997, 326.679, -3.83224, 230.997, 326.679, -123.832, 230.997, 326.679, 116.168, 6.03919e-08, 8.5407e-08, -96.4031, 
2019 Aug 19 (Mon) 13:30, 230.628, 326.157, -3.61606, 230.628, 326.157, -123.616, 230.628, 326.157, 116.384, 6.03539e-08, 8.53533e-08, -96.0659, 
2019 Aug 19 (Mon) 14:00, 227.989, 322.425, -3.51667, 227.989, 322.425, -123.517, 227.989, 322.425, 116.483, 5.94399e-08, 8.40607e-08, -95.6528, 
2019 Aug 19 (Mon) 14:30, 226.966, 320.979, -3.3945, 226.966, 320.979, -123.395, 226.966, 320.979, 116.605, 5.91245e-08, 8.36147e-08, -95.3754, 
2019 Aug 19 (Mon) 15:00, 230.616, 326.14, -3.82114, 230.616, 326.141, -123.821, 230.616, 326.14, 116.179, 6.02585e-08, 8.52183e-08, -96.3494, 
2019 Aug 19 (Mon) 15:30, 228.421, 323.037, -4.00405, 228.421, 323.037, -124.004, 228.421, 323.037, 115.996, 5.93874e-08, 8.39865e-08, -96.3736, 
2019 Aug 19 (Mon) 16:00, 229.331, 324.323, -4.33397, 229.331, 324.323, -124.334, 229.331, 324.323, 115.666, 5.95725e-08, 8.42483e-08, -96.9261, 
2019 Aug 19 (Mon) 16:30, 226.301, 320.038, -4.50415, 226.301, 320.038, -124.504, 226.301, 320.038, 115.496, 5.84112e-08, 8.26059e-08, -96.8441, 
2019 Aug 19 (Mon) 17:00, 225.678, 319.157, -5.01179, 225.678, 319.157, -125.012, 225.678, 319.157, 114.988, 5.79757e-08, 8.199e-08, -97.4823, 
2019 Aug 19 (Mon) 17:30, 221.874, 313.777, -5.40251, 221.874, 313.778, -125.403, 221.874, 313.777, 114.597, 5.64624e-08, 7.98499e-08, -97.6189, 
2019 Aug 19 (Mon) 18:00, 219.615, 310.582, -5.884, 219.615, 310.582, -125.884, 219.615, 310.582, 114.116, 5.54716e-08, 7.84487e-08, -98.0478, 
2019 Aug 19 (Mon) 18:30, 216.724, 306.495, -7.4, 216.755, 306.538, -127.467, 216.862, 306.689, 112.588, 0.387713, 0.548309, -100.167, 
2019 Aug 19 (Mon) 19:00, 215.57, 304.862, -7.38155, 215.595, 304.897, -127.45, 215.707, 305.056, 112.606, 0.384909, 0.544344, -100.016, 
2019 Aug 19 (Mon) 19:30, 220.997, 312.536, -6.60365, 220.997, 312.537, -126.604, 220.997, 312.536, 113.396, 5.56712e-08, 7.87309e-08, -99.1911, 
2019 Aug 19 (Mon) 20:00, 223.165, 315.603, -6.45879, 223.165, 315.603, -126.459, 223.165, 315.603, 113.541, 5.64826e-08, 7.98784e-08, -99.2254, 
2019 Aug 19 (Mon) 20:30, 216.646, 306.384, -6.12805, 216.646, 306.384, -126.128, 216.646, 306.384, 113.872, 5.4341e-08, 7.68498e-08, -98.0666, 
2019 Aug 19 (Mon) 21:00, 220.058, 311.209, -6.17966, 220.058, 311.21, -126.18, 220.058, 311.209, 113.82, 5.5508e-08, 7.85002e-08, -98.4996, 
2019 Aug 19 (Mon) 21:30, 220.605, 311.982, -5.91399, 220.605, 311.983, -125.914, 220.605, 311.982, 114.086, 5.58111e-08, 7.89289e-08, -98.1926, 
2019 Aug 19 (Mon) 22:00, 222.389, 314.505, -5.41236, 222.389, 314.505, -125.412, 222.388, 314.505, 114.588, 5.66424e-08, 8.01045e-08, -97.6879, 
2019 Aug 19 (Mon) 22:30, 223.301, 315.795, -5.03123, 223.301, 315.795, -125.031, 223.301, 315.795, 114.969, 5.71197e-08, 8.07794e-08, -97.2579, 
2019 Aug 19 (Mon) 23:00, 224.851, 317.987, -4.49851, 224.851, 317.987, -124.499, 224.851, 317.987, 115.501, 5.7896e-08, 8.18774e-08, -96.6844, 
2019 Aug 19 (Mon) 23:30, 225.314, 318.643, -3.91865, 225.315, 318.643, -123.919, 225.314, 318.643, 116.081, 5.8308e-08, 8.24599e-08, -95.9273, 
2019 Aug 20 (Tue) 0:00, 228.958, 323.796, -3.43618, 228.958, 323.796, -123.436, 228.958, 323.795, 116.564, 5.98274e-08, 8.46087e-08, -95.6425, 
