Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 15:00, 3.59884e-05, 3.31754e-05, 4.41948e-05, 5.01857e-05, 5.43117e-05, 5.82068e-05, 5.93105e-05, 3.28701e-05, 3.51436e-05, 3.62395e-05, 3.75676e-05, 4.03474e-05, 4.19604e-05, 
2019 Aug 19 (Mon) 15:30, 5.11483e-05, 4.76299e-05, 5.97207e-05, 7.00092e-05, 7.57559e-05, 7.93455e-05, 8.24776e-05, 4.50612e-05, 5.1019e-05, 5.09233e-05, 5.22599e-05, 5.63615e-05, 5.91842e-05, 
2019 Aug 19 (Mon) 16:00, 4.132e-05, 3.91399e-05, 4.91284e-05, 5.60765e-05, 6.35792e-05, 6.66133e-05, 6.80159e-05, 3.91951e-05, 4.16305e-05, 4.02013e-05, 4.25862e-05, 4.56112e-05, 4.64942e-05, 
2019 Aug 19 (Mon) 16:30, 5.61787e-05, 5.18926e-05, 6.57721e-05, 7.77853e-05, 8.47828e-05, 8.64673e-05, 8.98512e-05, 5.34348e-05, 5.52402e-05, 5.64045e-05, 5.96808e-05, 6.46947e-05, 6.63664e-05, 
2019 Aug 19 (Mon) 17:00, 5.47888e-05, 5.40157e-05, 6.61753e-05, 7.65124e-05, 8.4105e-05, 8.61202e-05, 8.80322e-05, 5.14929e-05, 5.68183e-05, 5.59817e-05, 5.9223e-05, 6.37114e-05, 6.62087e-05, 
2019 Aug 19 (Mon) 17:30, 5.72463e-05, 5.49948e-05, 6.82247e-05, 7.50391e-05, 8.10187e-05, 8.47121e-05, 8.66894e-05, 5.35938e-05, 5.86598e-05, 6.17695e-05, 6.42634e-05, 6.93549e-05, 6.94363e-05, 
2019 Aug 19 (Mon) 18:00, 5.45635e-05, 5.36268e-05, 6.39112e-05, 6.9056e-05, 7.53352e-05, 7.73701e-05, 7.68599e-05, 5.13878e-05, 5.62475e-05, 5.95693e-05, 6.06894e-05, 6.50218e-05, 6.78112e-05, 
2019 Aug 19 (Mon) 18:30, 0.0375095, 0.0173367, 0.0859779, 0.143827, 0.203628, 0.262025, 0.264954, 0.0399455, 0.0716394, 0.0716468, 0.0173424, 0.0173463, 0.017345, 
2019 Aug 19 (Mon) 19:00, 0.0370527, 0.0176557, 0.0852394, 0.143033, 0.202809, 0.261202, 0.264153, 0.0406155, 0.0722721, 0.0722766, 0.0176619, 0.0176635, 0.0176662, 
2019 Aug 19 (Mon) 19:30, 5.73696e-05, 5.54219e-05, 6.86669e-05, 7.72645e-05, 8.49046e-05, 8.94763e-05, 9.00958e-05, 5.43016e-05, 5.99572e-05, 6.05824e-05, 6.47057e-05, 7.06309e-05, 7.15551e-05, 
2019 Aug 19 (Mon) 20:00, 5.7665e-05, 5.51244e-05, 6.74821e-05, 8.01596e-05, 8.55245e-05, 8.92747e-05, 9.07345e-05, 5.26687e-05, 5.6596e-05, 5.81164e-05, 6.16078e-05, 6.63707e-05, 6.75723e-05, 
2019 Aug 19 (Mon) 20:30, 4.53254e-05, 4.55805e-05, 5.24818e-05, 5.52074e-05, 5.70341e-05, 5.87326e-05, 5.98665e-05, 4.64557e-05, 5.04186e-05, 5.18645e-05, 5.32432e-05, 5.8416e-05, 6.03953e-05, 
2019 Aug 19 (Mon) 21:00, 5.4979e-05, 5.4691e-05, 6.52284e-05, 7.29198e-05, 7.83725e-05, 8.17967e-05, 8.2687e-05, 5.22011e-05, 5.84314e-05, 6.01014e-05, 6.34373e-05, 6.91141e-05, 7.02649e-05, 
2019 Aug 19 (Mon) 21:30, 5.69845e-05, 5.40441e-05, 6.64959e-05, 7.41949e-05, 7.90781e-05, 8.33335e-05, 8.20851e-05, 5.29219e-05, 5.99942e-05, 5.92414e-05, 6.22569e-05, 6.87315e-05, 6.80455e-05, 
2019 Aug 19 (Mon) 22:00, 5.90325e-05, 5.57573e-05, 6.72978e-05, 7.88793e-05, 8.23183e-05, 8.60209e-05, 8.85388e-05, 5.30106e-05, 5.94294e-05, 6.14085e-05, 6.41895e-05, 6.73297e-05, 7.01331e-05, 
2019 Aug 19 (Mon) 22:30, 5.64747e-05, 5.71364e-05, 6.96338e-05, 7.8999e-05, 8.45842e-05, 8.71528e-05, 8.78092e-05, 5.54902e-05, 5.9282e-05, 6.10208e-05, 6.48748e-05, 6.85091e-05, 6.88707e-05, 
2019 Aug 19 (Mon) 23:00, 5.76866e-05, 5.69905e-05, 6.87959e-05, 7.89462e-05, 8.61889e-05, 9.04446e-05, 8.95593e-05, 5.3453e-05, 5.87917e-05, 6.18807e-05, 6.23347e-05, 6.71579e-05, 7.02292e-05, 
2019 Aug 19 (Mon) 23:30, 5.70618e-05, 5.78436e-05, 6.90083e-05, 7.94591e-05, 8.4668e-05, 8.74611e-05, 8.77596e-05, 5.39798e-05, 5.78794e-05, 6.21208e-05, 6.40953e-05, 6.78616e-05, 6.92377e-05, 
2019 Aug 20 (Tue) 0:00, 5.05423e-05, 4.74796e-05, 6.12544e-05, 6.95118e-05, 7.85681e-05, 8.00333e-05, 8.19437e-05, 4.75679e-05, 5.11743e-05, 5.28503e-05, 5.5979e-05, 5.73725e-05, 5.87638e-05, 
