Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 0:00, 99.2087, 140.302, -24.2949, 127.777, 180.684, -140.488, 127.059, 179.671, 99.2304, 28.7141, 40.6079, 173.408, 
2019 Aug 19 (Mon) 0:30, 93.6205, 132.399, -26.804, 121.953, 172.448, -142.23, 93.6531, 132.423, 93.1763, 29.5407, 41.7769, -127.582, 
2019 Aug 19 (Mon) 1:00, 79.7551, 112.791, -18.0587, 79.773, 112.784, -138.055, 79.7764, 112.793, 101.946, 1.05082e-07, 1.48607e-07, -112.549, 
2019 Aug 19 (Mon) 1:30, 74.4351, 105.267, -18.9334, 74.4546, 105.26, -138.93, 74.4578, 105.269, 101.071, 9.84644e-08, 1.39249e-07, -113.151, 
2019 Aug 19 (Mon) 2:00, 79.3185, 112.173, -27.8697, 79.3331, 112.161, -147.865, 79.3394, 112.174, 92.1378, 1.03615e-07, 1.46523e-07, -121.735, 
2019 Aug 19 (Mon) 2:30, 69.6636, 98.5191, -19.4319, 69.6846, 98.5127, -139.428, 69.6874, 98.5212, 100.573, 9.23609e-08, 1.30617e-07, -113.402, 
2019 Aug 19 (Mon) 3:00, 68.2305, 96.4923, -16.458, 68.2499, 96.4877, -136.455, 68.2518, 96.4943, 103.546, 9.08086e-08, 1.28423e-07, -110.528, 
2019 Aug 19 (Mon) 3:30, 71.55, 101.187, -18.9985, 71.5703, 101.181, -138.995, 71.5732, 101.189, 101.006, 9.47119e-08, 1.33942e-07, -113.098, 
2019 Aug 19 (Mon) 4:00, 72.7755, 102.92, -22.938, 72.7956, 102.911, -142.934, 72.7999, 102.922, 97.0682, 9.60088e-08, 1.35773e-07, -116.858, 
2019 Aug 19 (Mon) 4:30, 79.3825, 112.264, -24.8228, 79.3991, 112.253, -144.819, 79.4047, 112.266, 95.1839, 1.03954e-07, 1.4701e-07, -118.911, 
2019 Aug 19 (Mon) 5:00, 80.2411, 113.478, -21.0759, 80.2589, 113.47, -141.072, 80.2634, 113.48, 98.9296, 1.05416e-07, 1.49066e-07, -115.337, 
2019 Aug 19 (Mon) 5:30, 88.4364, 125.068, -16.8095, 88.4521, 125.062, -136.807, 88.4558, 125.07, 103.194, 1.16188e-07, 1.6431e-07, -111.682, 
2019 Aug 19 (Mon) 6:00, 95.0854, 134.471, -16.417, 95.0998, 134.465, -136.414, 95.1038, 134.474, 103.587, 1.24294e-07, 1.75771e-07, -111.585, 
